Time frequency,Duration,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Albania,24.5
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Austria,29.2
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Belgium,22.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Bulgaria,17.5
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Switzerland,22.3
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Cyprus,23.1
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Czechia,33.1
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Denmark,23.9
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Estonia,29.9
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Greece,28.0
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Spain,17.9
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),23.6 u
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Finland,23.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,France,20.6
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Croatia,26.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Hungary,20.9
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Ireland,22.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Lithuania,31.5
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Luxembourg,24.1
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Latvia,29.2
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Montenegro,31.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,North Macedonia,26.2
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Malta,24.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Netherlands,26.9
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Norway,26.6
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Poland,30.5
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Portugal,25.1
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Romania,20.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Serbia,21.3
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Sweden,23.4
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Slovenia,20.2
Annual,From 3 to 6 months,Median equivalised income,Above 60%,Percentage,Slovakia,34.9
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Albania,16.4
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Austria,19.9
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Belgium,12.2
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Bulgaria,4.0
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Switzerland,17.7
Annual,From 3 to 6 months,Median equivalised income,Below 60%,Percentage,Cyprus,14.5
