Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Austria,:,18.5 e,15.4 e,13.8 e,14.7 e,13.5 e,13.4 e,14.2 e,13.5 e,12.5 e,11.6 e,11.4 e,11.2 e,11.9 e,11.8 e,11.1 p
Annual,Percentage of gross domestic product (GDP),Belgium,23.4 e,30.5 e,22.2 e,20.1 e,21.7 e,17.4 e,15.7 e,15.1 e,14.7 e,14.2 e,13.2 e,13.1 e,13.4 e,14.2 e,13.8 e,14.2 p
Annual,Percentage of gross domestic product (GDP),Bulgaria,9.5 e,8.8 e,7.5 e,7.4 e,7.4 e,7.6 e,7.8 e,7.9 e,7.7 e,7.7 e,7.7 e,7.5 e,8.2 e,7.9 e,8.0 e,8.8 p
Annual,Percentage of gross domestic product (GDP),Cyprus,:,16.9 e,17.2 e,15.2 e,19.9 e,26.0 e,16.2 e,10.3 e,10.7 e,10.7 e,12.1 e,14.1 e,12.8 e,13.6 e,16.0 e,17.0 p
Annual,Percentage of gross domestic product (GDP),Czechia,14.0 e,13.6 e,12.1 e,11.9 e,11.8 e,10.4 e,10.8 e,10.0 e,10.1 e,10.7 e,12.4 e,12.5 e,12.1 e,12.1 e,12.3 e,13.0 p
Annual,Percentage of gross domestic product (GDP),Germany,:,34.2 e,26.6 e,25.8 e,25.7 e,23.5 e,20.3 e,19.2 e,18.6 e,18.4 e,14.1 e,13.9 e,13.7 e,14.4 e,14.1 e,14.3 p
Annual,Percentage of gross domestic product (GDP),Denmark,:,23.9 e,22.2 e,21.8 e,21.1 e,20.3 e,18.4 e,18.4 e,16.7 e,16.7 e,16.4 e,16.4 e,16.7 e,17.4 e,16.2 e,16.4 p
Annual,Percentage of gross domestic product (GDP),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,16.6 e,15.6 e,15.2 e,13.7 e,13.8 e,13.7 e,14.8 e,14.7 e,14.7 p
Annual,Percentage of gross domestic product (GDP),Estonia,:,12.2 e,14.2 e,12.4 e,8.1 e,7.1 e,6.8 e,6.6 e,7.7 e,7.7 e,6.8 e,6.9 e,7.5 e,8.8 e,9.4 e,9.0 p
Annual,Percentage of gross domestic product (GDP),Greece,:,18.5 e,14.6 e,15.4 e,:,26.6 e,14.0 e,12.8 e,11.0 e,10.1 e,8.8 e,11.5 e,10.9 e,13.8 e,17.0 e,15.0 p
Annual,Percentage of gross domestic product (GDP),Spain,:,18.0 e,16.4 e,17.2 e,17.4 e,17.9 e,14.9 e,14.0 e,13.7 e,13.2 e,13.5 e,13.6 e,13.5 e,15.8 e,15.8 e,16.0 p
