Time frequency,Country of citizenship,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 0 to 17 years,Total,Person,Austria,:,1.0,1.0,16.0
Annual,Total,From 0 to 17 years,Total,Person,Belgium,:,136.0,138.0,153.0
Annual,Total,From 0 to 17 years,Total,Person,Bulgaria,:,225.0,178.0,178.0
Annual,Total,From 0 to 17 years,Total,Person,Cyprus,:,65.0,187.0,598.0
Annual,Total,From 0 to 17 years,Total,Person,Czechia,:,433.0,1260.0,1570.0
Annual,Total,From 0 to 17 years,Total,Person,Germany,:,5613.0,5769.0,8679.0
Annual,Total,From 0 to 17 years,Total,Person,Denmark,:,414.0,374.0,327.0
Annual,Total,From 0 to 17 years,Total,Person,Estonia,:,9.0,35.0,70.0
Annual,Total,From 0 to 17 years,Total,Person,Greece,:,159.0,272.0,202.0
Annual,Total,From 0 to 17 years,Total,Person,Spain,:,1611.0,2244.0,2988.0
Annual,Total,From 0 to 17 years,Total,Person,Finland,:,2286.0,2095.0,273.0
Annual,Total,From 0 to 17 years,Total,Person,France,115.0,63.0,263.0,374.0
Annual,Total,From 0 to 17 years,Total,Person,Croatia,:,113.0,86.0,84.0
Annual,Total,From 0 to 17 years,Total,Person,Hungary,:,106.0,38.0,71.0
Annual,Total,From 0 to 17 years,Total,Person,Ireland,:,71 u,552 u,68 u
Annual,Total,From 0 to 17 years,Total,Person,Iceland,:,51.0,56.0,49.0
Annual,Total,From 0 to 17 years,Total,Person,Italy,:,894.0,1248.0,1731.0
Annual,Total,From 0 to 17 years,Total,Person,Liechtenstein,:,60.0,66.0,68.0
Annual,Total,From 0 to 17 years,Total,Person,Lithuania,:,66.0,848.0,815.0
Annual,Total,From 0 to 17 years,Total,Person,Luxembourg,:,149.0,250.0,267.0
Annual,Total,From 0 to 17 years,Total,Person,Latvia,:,347.0,56.0,115.0
Annual,Total,From 0 to 17 years,Total,Person,Netherlands,:,552.0,487.0,520.0
Annual,Total,From 0 to 17 years,Total,Person,Norway,:,24.0,119.0,92.0
Annual,Total,From 0 to 17 years,Total,Person,Poland,:,0.0,0.0,3250.0
Annual,Total,From 0 to 17 years,Total,Person,Portugal,:,247.0,205.0,162.0
Annual,Total,From 0 to 17 years,Total,Person,Romania,:,15.0,5.0,19.0
Annual,Total,From 0 to 17 years,Total,Person,Sweden,:,699.0,782.0,689.0
Annual,Total,From 0 to 17 years,Total,Person,Slovenia,:,184.0,114.0,152.0
