Time frequency,Unit of measure,Direction of flow,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Number,Inwards,Algeria,8763.0,8976.0,10220.0,10190.0,10154.0,10201.0,10114.0,9973.0,10407.0,10647.0,10390.0,10040.0,10486.0,10696.0,10793.0,11224.0
Annual,Number,Inwards,Egypt,10908.0,11074.0,11104.0,12492.0,13580.0,16341.0,18389.0,19665.0,20301.0,20278.0,20343.0,18159.0,17795.0,17513.0,16332.0,:
Annual,Number,Inwards,Israel,:,:,:,:,:,6229.0,5571.0,5324.0,5310.0,5884.0,6197.0,6421.0,6827.0,6316.0,5703.0,5893.0
Annual,Number,Inwards,Jordan,1253.0,1337.0,1395.0,1347.0,1444.0,1467.0,1442.0,1471.0,1512.0,1450.0,1451.0,1446.0,1544.0,1442.0,1347.0,1338.0
Annual,Number,Inwards,Lebanon,3073 d,3200 d,3037 d,2886 d,2989 d,2720 d,2186 d,2665 d,2859 d,3234 d,2285 d,2167 d,2125 d,2114 d,1962 d,1807 d
Annual,Number,Inwards,Morocco,15078.0,15375.0,16181.0,18105.0,19388.0,20194.0,19076.0,19799.0,19035.0,18051.0,16158.0,12605.0,:,:,:,:
Annual,Number,Inwards,Syria,2798.0,2827.0,2979.0,3012.0,3711.0,4397.0,4496.0,4225.0,:,:,:,:,:,:,:,:
Annual,Number,Inwards,Tunisia,6184.0,6756.0,6950.0,6643.0,6528.0,6690.0,7253.0,7898.0,7871.0,7832.0,7405.0,5955.0,5903.0,5971.0,5580.0,5101.0
Annual,Number,Outwards,Algeria,9744.0,8995.0,10167.0,10109.0,10134.0,10187.0,10117.0,9961.0,10349.0,10680.0,10384.0,10048.0,10458.0,10706.0,10801.0,11185.0
Annual,Number,Outwards,Egypt,10863.0,11081.0,11101.0,12487.0,13444.0,16298.0,18349.0,19640.0,20231.0,20278.0,20343.0,18159.0,17795.0,17513.0,16332.0,:
Annual,Number,Outwards,Israel,6041.0,5840.0,5984.0,5465.0,5362.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Outwards,Jordan,1252.0,1336.0,1394.0,1347.0,1444.0,1466.0,1442.0,1470.0,1512.0,1450.0,1451.0,1446.0,1544.0,1442.0,1347.0,1338.0
Annual,Number,Outwards,Lebanon,3073 d,3200 d,3037 d,2886 d,2989 d,2720 d,2186 d,2659 d,2797 d,3234 d,2285 d,2167 d,2125 d,2114 d,1962 d,1807 d
Annual,Number,Outwards,Morocco,15078.0,15375.0,16181.0,18105.0,19388.0,20193.0,19076.0,19799.0,19035.0,18051.0,16158.0,12605.0,:,:,:,:
Annual,Number,Outwards,Syria,2696.0,2791.0,2900.0,2928.0,3524.0,3927.0,4362.0,4112.0,:,:,:,:,:,:,:,:
Annual,Number,Outwards,Tunisia,6178.0,6750.0,6953.0,6639.0,6521.0,6683.0,7245.0,7857.0,7856.0,7834.0,7392.0,5918.0,5886.0,5947.0,5557.0,5100.0
