Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Total,Females,Mean age at first marriage,Algeria,:,29.8,:,29.3,:,:,:,28.0,:,:,:,:,:,:,:
Annual,Total,Females,Mean age at first marriage,Egypt,23.2,23.0,23.0 i,23.2,23.1,23.1,23.8,24.1,24.1,24.1,24.5,24.4,24.4,24.8,:
Annual,Total,Females,Mean age at first marriage,Israel,28.8,28.9,28.8,28.7,28.5,28.4,28.5,28.5,28.6,28.5,28.5,28.5,:,:,:
Annual,Total,Females,Mean age at first marriage,Jordan,26.7,26.4,26.4,:,:,:,25.8,25.8,25.6,26.1,26.9,26.9,:,26.3,:
Annual,Total,Females,Mean age at first marriage,Lebanon,:,:,:,:,27.7 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Females,Mean age at first marriage,Morocco,:,:,27.2 e,:,:,26.6,:,:,:,25.7,:,:,:,25.5,:
Annual,Total,Females,Mean age at first marriage,Palestine*,20.4,20.5,20.5,20.6,20.7,20.8,20.9,20.1,20.2,20.3,20.3,20.4,20.5,20.5,:
Annual,Total,Females,Mean age at first marriage,Tunisia,26.8,26.6,:,:,:,:,:,:,:,22.5 d,:,:,:,:,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Algeria,33.0,29.8,28.9,28.1,27.1,26.0,25.2,24.7,24.9,23.9,24.2,22.3,22.2,:,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Egypt,24.3,23.7,21.1,19.6,16.2,18.0,17.8,18.3,18.0,:,:,:,:,18.6,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Israel,5.0,4.6,4.6,4.2,4.4,4.2,4.2,4.0,3.6,3.6,3.5,3.5,3.6,3.6,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Lebanon,:,:,:,:,9.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Morocco,:,:,:,:,:,5.8,:,:,:,:,:,:,:,4.0,:
Annual,Total,Females,Under 5 mortality rate (per 1000 live birth),Palestine*,:,26.3 e,:,:,20.1 e,:,:,:,:,20.9,:,:,:,:,:
Annual,Total,Females,Infant mortality rate,Algeria,28.2,25.3,24.4,23.9,22.9,22.2,21.6,21.2,21.2,20.4,20.7,19.3,19.3,:,:
Annual,Total,Females,Infant mortality rate,Egypt,18.7,18.1,16.5,15.0,11.1,13.5,14.4,14.0,:,13.9,15.0,14.4,14.2,14.4,:
Annual,Total,Females,Infant mortality rate,Israel,4.1,3.6,3.7,3.3,3.6,3.5,3.3,3.3,2.9,2.9,3.0,2.9,2.9,3.0,:
Annual,Total,Females,Infant mortality rate,Jordan,22.6 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Females,Infant mortality rate,Lebanon,:,:,:,:,8.0 e,:,:,:,:,:,:,:,:,:,:
Annual,Total,Females,Infant mortality rate,Morocco,:,:,:,:,:,27.4,23.5,:,:,:,:,:,:,17.7,:
Annual,Total,Females,Infant mortality rate,Palestine*,:,23.7 e,:,:,17.1 e,:,:,:,:,17.2,:,:,:,:,:
Annual,Total,Females,Infant mortality rate,Tunisia,19.0,:,:,:,15.8,15.0,14.8,15.3,13.6,14.7,13.9 e,12.6 e,:,:,:
