Time frequency,Activity and employment status,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,38.8,37.1,39.2,37.8,38.9,:,:
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Austria,46.0,43.6,41.6,47.3 b,39.4,39.2,40.3,45.4,45.8,44.6,41.4,47.8,45.1,46.4,43.3,48.0,45.7,40.7,50.3
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Belgium,30.7,31.4,34.2,34.8,33.4,30.4,37.9,34.8,46.2 b,42.9,40.7,46.4,49.1,50.4,48.1 b,50.2,38.0,48.3,41.5
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Bulgaria,:,47.7,55.9,55.0,52.2,48.3,52.2,48.5,47.6,50.2,53.3,54.6 b,58.7,56.1,58.9,61.1,50.2,56.9,56.8
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Switzerland,:,:,36.1,39.8,37.5,33.3,30.1,38.9,32.8,24.6 b,27.1,38.1,33.9,36.9,39.9,35.2,25.3,43.0,37.6
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Cyprus,37.1,30.9,28.1,21.3 b,38.3,35.8,36.9,31.5,33.6,32.6,42.0,37.2,36.5,41.3,35.7,38.3,36.5,34.5,34.8
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Czechia,51.1 b,43.3,48.6,47.8,46.9,40.6,46.4,46.7,44.5,47.8,48.7,52.2,48.6,53.2,52.7,52.9,51.1,49.0,54.4
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Germany,40.6 b,43.3,51.7,56.8,62.0,70.3,67.8,69.3,69.3,67.4,69.1,70.5,70.6,69.4,73.7,49.7 b,48.1,42.4,46.5
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Denmark,26.0,25.2,31.4,33.9,41.1,36.3,28.3 b,27.6,33.1,27.5,37.6,38.5,43.8,44.7,47.1,45.6 b,42.7,38.1,39.6
Annual,Unemployed persons,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,18 years or over,Percentage,Euro area - 19 countries  (2015-2022),37.3,39.0,42.0,44.6,44.8,45.5,45.9,46.2,47.0,46.9,47.4,48.7,47.4,48.9,49.3,46.9 b,44.6,:,:
