Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Austria,6.4,9.8,6.6,2.7,2.5,2.8,-1.6,-2.2,-2.6,-1.7,-1.2,-0.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Bosnia and Herzegovina,7.8,5.5,5.9,3.1,2.6,2.3,1.9,2.3,1.4,2.5,2.3,2.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Belgium,6.3,5.1,5.2,3.9,2.9,2.7 p,1.2 p,0.6 p,0.6 p,0.7 p,1.0 p,1.2 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Bulgaria,10.4,5.2,4.2,3.3,3.8,2.2,2.0,1.6,1.8,1.9 p,2.3 p,2.6 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Switzerland,5.5,5.6,3.9,1.5,1.4,1.7,0.3,0.2,0.5,0.4,1.5,2.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Cyprus,10.5,10.2,8.4,7.0,4.2,3.2,2.4,2.4,2.5,3.6,3.7,3.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Czechia,4.1,5.1,3.7,2.0,0.7,0.6,-0.2,-0.6,0.1,0.0,0.8,2.1
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Germany,2.1 p,3.7 p,0.9 p,1.3 p,-0.4 p,0.6 p,-0.4 p,-0.7 p,-0.4 p,-0.8 p,0.1 p,0.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Denmark,10.4,7.0,2.0,0.5,-2.6,1.6,1.3,2.1,4.9,2.0,4.6,2.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.5,5.6,4.2,2.8,1.6,1.7,0.2,-0.3,0.0,0.2,0.7,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Euro area - 19 countries  (2015-2022),5.5,5.6,4.2,2.8,1.6,1.7,0.2,-0.3,0.0,0.2,0.7,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Euro area – 20 countries (from 2023),5.5,5.6,4.2,2.8,1.6,1.7,0.2,-0.3,0.0,0.2,0.7,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Estonia,5.6,4.0,-0.2,-0.2,-2.8,-5.1,-2.4,-2.8,-1.9,-2.2,-0.7,-0.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Greece,10.5,8.0 p,7.0 p,4.4 p,4.1 p,1.6 p,3.4 p,2.0 p,2.3 p,1.6 p,2.6 p,2.5 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Spain,7.1,7.4 p,7.3 p,6.0 p,4.3 p,4.6 p,2.3 p,1.7 p,2.3 p,2.8 p,3.5 p,3.4 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),European Union - 27 countries (from 2020),5.8,5.7,4.1,2.8,1.4,1.5,0.2,-0.1,0.2,0.3,0.9,1.3
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Finland,2.9,3.1,1.7,0.3,-1.6,0.3,-0.9,-2.5,-1.8,-1.8,-1.1,0.8
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),France,4.7,4.7,4.0,1.4,0.4,1.4,0.8,0.5,1.0,1.2,0.5,1.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Croatia,10.8,7.9,9.9,7.8,3.6,2.2 p,3.9 p,2.0 p,5.3 p,4.0 p,3.5 p,3.9 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Hungary,7.4,7.6,6.4,4.0,-0.1,-1.3 p,-2.6 p,-0.1 p,0.1 p,1.1 p,1.5 p,-0.8 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Ireland,15.3,8.3,8.2,9.2,8.8,-0.2,-3.9,-8.4,-9.1,-4.8,-3.2,2.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Iceland,6.2,9.6,10.1,8.1,8.3,9.7,6.4,3.0,1.5,-2.8,0.2,-0.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Italy,7.8,7.2,6.2,3.3,2.2,2.5,0.2,0.1,0.2,0.3,0.9,0.8
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Lithuania,6.8,5.7,2.6,1.9,0.3,-1.9,1.5,1.2,0.4,2.9,1.7,2.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Luxembourg,7.6,3.8,2.3,2.1,-2.4,-1.3,-0.5,-2.0,-0.7,-0.7 p,0.0 p,1.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Latvia,5.1,12.2,3.5,-4.0,-2.2,3.9,-0.8,3.6,0.3,0.8,-0.5,-1.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Montenegro,9.3,4.8,13.9,3.1,5.0,4.9,5.7,7.5,6.5,5.7 p,4.4 p,2.7 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),North Macedonia,1.5,2.5,4.0,2.0,2.5,0.2 p,2.0 p,2.7 p,3.1 p,1.9 e,2.8 e,3.0 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Malta,16.0,3.0,6.4,3.0,4.7,7.3,6.0,7.4,6.0,8.1,8.0,4.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Netherlands,7.6,6.9,5.7,3.7,3.8,1.9,-0.3,-0.7,-0.5,-0.6,0.8,1.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Norway,6.1,4.4,4.2,2.4,1.2,3.2,0.3,-2.0,0.4,-0.9,4.2,:
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Poland,9.6,10.8,5.6,5.0,0.9,-0.8,-1.2,0.8,1.5,1.5,4.3,1.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Portugal,8.0,11.1,8.3,5.6,3.4,2.9 e,2.5 e,2.0 e,2.8 e,1.5 e,1.7 e,1.8 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Romania,2.6,5.2,3.6,3.1,4.3,1.6 p,3.0 p,2.9 p,2.0 p,2.3 p,0.9 p,-0.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Serbia,7.7,4.7 p,4.2 p,0.9 p,1.0 p,2.3 p,3.0 p,4.8 p,5.1 p,4.7 e,4.2 e,3.1 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Sweden,6.6,2.8,1.9,2.4,-1.0,1.9,-1.0,-0.9,-0.8,-0.4,1.0,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Slovenia,10.4,5.3,4.7,1.2,0.1,1.6,2.2,1.9,2.7,2.2,0.7,1.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Slovakia,4.0,1.8,0.1,0.2,-0.1,0.0,1.6,1.8,2.0,3.3,2.0,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Türkiye,9.7,7.8,7.6,4.1,3.3,4.5,4.6,6.5,4.6,5.3,2.4,2.1
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Kosovo*,7.9,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Albania,6.2,5.6,2.9,6.3,4.6,2.6 p,4.5 p,4.3 p,4.2 p,4.0 p,4.2 p,3.9 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Austria,6.9,8.7,6.9,3.1,3.1,2.0,-1.1,-1.8,-2.4,-1.5,-1.4,-0.8
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Belgium,6.1,5.2,5.0,3.7,3.1,2.5 p,1.3 p,0.6 p,0.6 p,0.8 p,0.9 p,1.2 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Bulgaria,9.8,5.2,4.7,3.5,3.1,2.4,2.0,1.8,1.7,2.0 p,2.2 p,2.4 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Switzerland,5.8,5.4,3.9,1.8,1.5,1.7,0.5,0.3,0.5,0.6,1.4,1.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Cyprus,10.6,9.3,8.7,7.1,4.6,2.8,2.7,2.3,2.7,3.8,3.5,3.8
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Czechia,3.9,4.8,3.6,2.1,1.0,0.3,0.2,-0.3,0.1,0.5,0.5,1.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Germany,2.1 p,3.4 p,0.8 p,1.4 p,0.2 p,0.2 p,0.1 p,-0.3 p,-0.2 p,-0.1 p,-0.2 p,-0.3 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Denmark,10.4,6.6,2.3,0.6,-2.9,1.5,1.4,2.3,4.8,2.3,3.7,3.1
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.5,5.5,4.1,2.8,2.0,1.4,0.6,0.0,0.1,0.4,0.5,0.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Euro area - 19 countries  (2015-2022),5.5,5.5,4.1,2.8,2.0,1.4,0.6,0.0,0.1,0.4,0.5,0.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Euro area – 20 countries (from 2023),5.6,5.5,4.1,2.9,2.0,1.4,0.6,0.0,0.1,0.4,0.5,0.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Estonia,6.3,3.7,-0.6,-0.5,-2.6,-4.3,-2.9,-2.9,-2.3,-1.4,-1.1,-0.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Greece,10.3,8.0 p,6.7 p,4.7 p,4.1 p,2.0 p,3.0 p,2.2 p,2.1 p,2.2 p,2.3 p,2.4 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Spain,6.7,6.9 p,7.3 p,6.1 p,4.6 p,3.9 p,2.4 p,2.2 p,2.3 p,2.6 p,3.2 p,3.3 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),European Union - 27 countries (from 2020),5.8,5.6,4.1,2.8,1.7,1.2,0.5,0.1,0.3,0.6,0.8,1.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Finland,2.8,2.8,1.5,0.3,-1.4,-0.5,-0.7,-2.1,-1.7,-1.5,-1.5,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),France,5.2,4.6,3.8,1.4,0.9,1.1,1.3,0.9,1.2,1.4,0.9,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Croatia,10.9,7.9,9.5,8.1,3.7,2.2 p,3.4 p,2.4 p,5.2 p,4.2 p,3.2 p,4.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Hungary,7.4,7.4,6.1,3.6,0.3,-1.4 p,-2.3 p,0.1 p,0.6 p,1.6 p,1.3 p,-0.7 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Ireland,15.4,8.9,8.1,8.4,9.3,-0.3,-3.9,-8.3,-9.9,-4.2,-3.2,2.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Italy,8.3,7.1,6.3,3.6,2.4,2.3,0.5,0.1,0.3,0.3,0.7,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Lithuania,6.8,5.5,2.6,1.8,0.3,-1.5,1.6,0.9,0.7,2.7,1.5,2.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Luxembourg,7.8,3.7,2.2,2.1,-2.2,-1.3,-0.6,-2.0,-0.5,-0.7 p,-0.1 p,1.2 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Latvia,7.2,7.1,5.4,-2.2,-0.8,0.3,1.0,2.3,1.1,0.2,0.0,-1.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),North Macedonia,1.2,2.8,3.5,2.0,2.3,1.2 p,1.7 p,2.5 p,2.7 p,2.6 e,2.8 e,2.8 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Malta,14.6,8.1,5.2,2.1,3.3,5.3,9.2,7.2,6.4,7.0,5.8,5.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Netherlands,7.0,7.1,5.8,3.8,3.5,2.4,-0.5,-0.9,-0.6,-0.7,0.6,1.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Norway,5.0,3.6,4.5,2.3,1.6,2.6,0.9,-1.6,1.0,1.0,2.6,:
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Poland,9.3,10.2,6.3,4.7,1.1,-1.2,-0.8,0.4,2.0,1.7,3.7,1.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Portugal,7.2,12.2,7.7,5.0,3.6,3.3 e,2.9 e,1.8 e,2.1 e,1.4 e,1.6 e,1.9 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Romania,2.5,4.2,3.4,3.5,4.6,1.5 p,2.8 p,3.2 p,2.1 p,2.0 p,0.8 p,-0.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Serbia,7.9,4.6,4.2,1.0,0.9,2.3,2.9,5.0,5.2,4.5,4.2,3.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Sweden,6.1,2.2,2.5,2.2,-0.7,1.1,-0.4,-0.5,-0.1,0.0,0.5,0.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Slovenia,9.9,5.1,4.5,1.9,1.0,1.8,2.4,2.5,2.8,1.9,0.7,1.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Slovakia,3.2,1.9,0.4,-0.1,-0.3,0.0,1.3,1.9,2.2,2.7,2.1,1.7
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (SCA),Türkiye,9.3,7.3,7.0,3.8,3.4,3.2,5.9,5.6,5.6,6.7,2.4,1.9
