Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Albania,1.5,2.5,-0.9,3.2,-0.2,0.5 p,0.9 p,3.1 p,-0.3 p,0.4 p,1.1 p,2.8 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Austria,0.0,0.3,2.8,-0.1,0.0,-0.7,-0.3,-0.8,-0.6,0.2,-0.2,-0.1
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Belgium,0.9,0.7,1.3,0.8,0.3,0.2 p,0.1 p,0.0 p,0.3 p,0.3 p,0.3 p,0.3 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Bulgaria,1.0,1.0,0.8,0.7,0.6,0.3,0.4,0.4,0.6,0.6 p,0.6 p,0.6 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Switzerland,0.4,0.1,1.0,0.3,0.1,0.3,-0.2,0.1,0.3,0.3,0.6,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Cyprus,2.9,2.3,0.5,1.1,0.6,0.6,0.4,0.7,1.0,1.7,0.1,1.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Czechia,1.0,0.7,0.2,0.2,-0.1,0.0,0.2,-0.4,0.3,0.4,0.2,0.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Germany,0.6 p,0.2 p,0.0 p,0.6 p,-0.5 p,0.1 p,-0.2 p,0.2 p,-0.4 p,0.2 p,-0.3 p,0.1 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Denmark,2.7,-2.5,-0.2,0.6,-0.8,1.9,-0.2,1.4,1.6,-0.6,1.2,0.9
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.8,0.5,0.9,0.6,-0.1,0.0,0.1,0.0,0.0,0.3,0.2,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Euro area - 19 countries  (2015-2022),0.8,0.5,0.9,0.6,-0.1,0.0,0.1,0.0,0.0,0.3,0.2,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Euro area – 20 countries (from 2023),0.8,0.5,0.9,0.6,-0.1,0.0,0.1,0.0,0.0,0.3,0.2,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Estonia,1.1,0.5,-1.7,-0.4,-1.1,-1.2,-0.2,-0.4,-0.5,-0.2,0.1,0.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Greece,1.4,2.1 p,0.2 p,1.0 p,0.9 p,0.0 p,1.2 p,0.1 p,0.8 p,0.1 p,1.2 p,0.3 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Spain,2.0,1.3 p,1.7 p,0.9 p,0.6 p,0.7 p,0.2 p,0.7 p,0.7 p,0.9 p,0.8 p,0.8 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),European Union - 27 countries (from 2020),0.9,0.5,0.8,0.6,-0.2,0.1,0.0,0.1,0.1,0.3,0.2,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Finland,0.8,-0.8,0.4,-0.1,-0.9,0.2,0.2,-1.5,-0.5,0.4,0.1,0.3
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),France,0.6,-0.2,0.5,0.5,0.1,0.1,0.7,0.1,0.4,0.2,0.2,0.4
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Croatia,3.3,2.9,0.9,0.8,-0.9,1.4 p,2.0 p,-0.1 p,1.8 p,0.5 p,1.0 p,0.8 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Hungary,2.6,1.1,1.0,-1.1,-0.7,-0.6 p,0.1 p,1.3 p,-0.3 p,0.4 p,-0.2 p,-0.7 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Ireland,-0.5,3.7,2.5,2.5,0.3,-5.4,-1.2,-2.2,-1.4,0.6,-0.3,3.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Italy,0.9,0.5,1.6,0.6,-0.2,0.3,-0.2,0.2,0.0,0.3,0.2,0.0
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Lithuania,1.4,1.0,-1.6,1.0,-0.1,-0.8,1.5,0.4,-0.3,1.1,0.3,1.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Luxembourg,3.0,-0.4,-0.8,0.4,-1.4,0.5,0.0,-1.1,0.1,0.3 p,0.6 p,0.2 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Latvia,-0.7,-0.3,-0.7,-0.6,0.7,0.9,0.0,0.7,-0.4,-0.1,-0.3,-0.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),North Macedonia,0.3,1.4,0.4,-0.1,0.6,0.3 p,0.9 p,0.7 p,0.8 p,0.2 e,1.1 e,0.7 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Malta,0.6,0.4,-1.7,2.8,1.7,2.4,2.0,1.0,0.9,3.0,0.8,0.6
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Netherlands,0.2,1.0,2.7,0.0,-0.1,-0.2,-0.2,-0.4,0.2,-0.3,1.1,0.8
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Norway,-0.2,-0.8,1.5,1.8,-0.9,0.2,-0.2,-0.7,1.7,0.3,1.4,:
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Poland,2.0,3.2,-1.1,0.5,-1.5,0.9,-0.7,1.8,0.0,0.6,1.2,-0.1
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Portugal,1.9,1.7,0.4,1.0,0.5,1.4 e,0.0 e,-0.1 e,0.8 e,0.6 e,0.2 e,0.2 e
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Romania,0.2,2.8,0.1,0.5,1.2,-0.3 p,1.3 p,0.9 p,0.2 p,-0.4 p,0.1 p,0.0 p
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Serbia,1.2,-0.3,0.6,-0.6,1.1,1.2,1.2,1.4,1.3,0.5,0.9,0.5
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Sweden,2.3,-1.2,1.0,0.2,-0.6,0.5,-0.5,0.1,-0.2,0.6,0.0,0.3
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Slovenia,1.3,0.1,0.6,-0.1,0.4,0.8,1.2,0.0,0.8,-0.2,0.1,0.3
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Slovakia,0.4,-0.2,-0.4,0.1,0.2,0.2,0.9,0.7,0.5,0.7,0.2,0.3
Quarterly,Gross domestic product at market prices,Percentage change q/q-1 (SCA),Türkiye,1.6,0.2,1.4,0.5,1.1,0.1,4.0,0.2,1.2,1.2,-0.2,-0.2
Quarterly,Gross domestic product at market prices,Percentage change q/q-4 (NSA),Albania,6.2,5.5,2.7,6.7,4.6,2.5 p,4.3 p,4.5 p,4.2 p,4.0 p,4.0 p,4.1 p
