Time frequency,Legal status,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Convicted person,Females,Number,Albania,20.0,9.0,10.0,5.0,1.0,2.0,:
Annual,Convicted person,Females,Number,Austria,0.0,1.0,2.0,25.0,2.0,10.0,3.0
Annual,Convicted person,Females,Number,Bosnia and Herzegovina,8.0,13.0,0.0,6.0,2.0,4.0,10.0
Annual,Convicted person,Females,Number,Belgium,1.0,2.0,:,0.0,3.0,:,:
Annual,Convicted person,Females,Number,Bulgaria,9.0,5.0,4.0,10.0,7.0,4.0,4.0
Annual,Convicted person,Females,Number,Switzerland,6.0,1.0,2.0,1.0,1.0,1.0,0.0
Annual,Convicted person,Females,Number,Czechia,11.0,3.0,14.0,8.0,9.0,10.0,11.0
Annual,Convicted person,Females,Number,Germany,:,44.0,34.0,40.0,41.0,41.0,41.0
Annual,Convicted person,Females,Number,Denmark,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Annual,Convicted person,Females,Number,Estonia,3.0,11.0,2.0,4.0,1.0,3.0,0.0
Annual,Convicted person,Females,Number,Greece,:,:,:,:,:,0.0,:
Annual,Convicted person,Females,Number,Spain,22.0,6.0,6.0,6.0,3.0,9.0,3.0
Annual,Convicted person,Females,Number,Finland,0.0,1.0,0.0,:,0.0,1.0,1.0
Annual,Convicted person,Females,Number,France,13.0,23.0,11.0,11.0,12.0,19.0,:
Annual,Convicted person,Females,Number,Croatia,11.0,6.0,3.0,1.0,12.0,3.0,10.0
Annual,Convicted person,Females,Number,Hungary,35.0,38.0,26.0,43.0,31.0,44.0,49.0
Annual,Convicted person,Females,Number,Italy,42.0,54.0,53.0,:,:,:,:
Annual,Convicted person,Females,Number,Lithuania,32.0,22.0,14.0,14.0,11.0,5.0,5.0
Annual,Convicted person,Females,Number,Luxembourg,0.0,1.0,0.0,2.0,0.0,1.0,1.0
Annual,Convicted person,Females,Number,Latvia,5.0,6.0,2.0,2.0,4.0,4.0,11.0
Annual,Convicted person,Females,Number,Montenegro,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Annual,Convicted person,Females,Number,North Macedonia,:,:,:,:,:,2.0,0.0
Annual,Convicted person,Females,Number,Malta,:,:,0.0,0.0,0.0,:,0.0
Annual,Convicted person,Females,Number,Netherlands,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Annual,Convicted person,Females,Number,Poland,230.0,163.0,139.0,148.0,139.0,:,:
Annual,Convicted person,Females,Number,Portugal,9.0,19.0,6.0,25.0,7.0,2.0,10.0
Annual,Convicted person,Females,Number,Romania,31.0,35.0,35.0,38.0,23.0,27.0,27.0
Annual,Convicted person,Females,Number,Serbia,22.0,2.0,11.0,15.0,32.0,17.0,7.0
Annual,Convicted person,Females,Number,Sweden,3.0,5.0,3.0,3.0,7.0,3.0,6.0
Annual,Convicted person,Females,Number,Slovenia,5.0,3.0,2.0,2.0,4.0,1.0,0.0
Annual,Convicted person,Females,Number,Slovakia,:,18.0,16.0,11.0,23.0,25.0,13.0
Annual,Convicted person,Females,Number,Türkiye,19.0,6.0,6.0,12.0,21.0,22.0,23.0
Annual,Convicted person,Females,Number,Kosovo*,0.0,0.0,1.0,4.0,:,:,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Albania,1.41,0.63,0.7,0.35,0.07,0.14,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Austria,0.0,0.02,0.04,0.56,0.04,0.22,0.07
Annual,Convicted person,Females,Per hundred thousand inhabitants,Belgium,0.02,0.03,:,0.0,0.05,:,:
Annual,Convicted person,Females,Per hundred thousand inhabitants,Bulgaria,0.24,0.14,0.11,0.28,0.2,0.11,0.11
