Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,64.7,63.9,61.6,59.0,58.9,:,:
Annual,Percentage,Total,Total,Total,Austria,14.1,15.1,15.4,15.3,15.6,15.2,13.5,15.4,14.5,14.8,16.4,15.0
Annual,Percentage,Total,Total,Total,Belgium,1.4,1.8,1.9,1.5,3.7 b,4.9,5.7,5.8 b,5.8,6.1,6.4,5.8
Annual,Percentage,Total,Total,Total,Bulgaria,47.0,47.2,46.2,45.1,46.8 b,46.2,46.3,45.9,44.5,43.0,41.5,40.7
Annual,Percentage,Total,Total,Total,Switzerland,5.8,6.5,6.6 b,6.0,6.7,5.9,5.8,6.2,6.1,5.4,5.3,6.7
Annual,Percentage,Total,Total,Total,Cyprus,2.8,2.5,2.3,1.4,2.5,3.0,2.6,2.2,2.6,2.3,2.3,2.2
Annual,Percentage,Total,Total,Total,Czechia,22.2,22.1,20.9,19.4,18.5,16.5,16.3,16.1,16.0,16.2,15.9,16.6
Annual,Percentage,Total,Total,Total,Germany,5.5,5.6,5.6,5.9,6.1,6.2,6.3,6.7,9.6 b,10.3,10.9,11.1
Annual,Percentage,Total,Total,Total,Denmark,6.8,7.1,7.7,7.1,7.5,8.4,8.8,10.1,9.2,8.7,9.6,8.5
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),12.2,12.5,12.4,12.8,12.9,12.7,12.9,13.2,13.9,13.9,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,12.7,13.2,13.3,13.1,13.3,13.6,14.2,14.4,14.0,14.4
Annual,Percentage,Total,Total,Total,Estonia,15.5,24.2,15.7 b,14.9,15.0,14.9,14.0,15.4,13.8,15.5,16.4,17.7
Annual,Percentage,Total,Total,Total,Greece,27.7,29.2,29.3,30.2,31.1,31.7,31.8,31.2,31.5,30.9,30.5,30.1
Annual,Percentage,Total,Total,Total,Spain,6.0,5.5,5.7,5.9,5.9,5.6,5.0,6.4,8.3,6.9,7.2,8.3
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),17.7,17.9,17.5,17.6,17.5,16.6,16.4,16.5 e,:,:,:,:
