Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Classifications of environmental activities: environmental protection activities (CEPA) and resource management activities (CReMA),National accounts indicator (ESA 2010),Type of expenditure,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Austria,:,:,:,:,:,:,:,:,13772.03,12805.61,13223.67,13062.01,13600.14,13667.59,13307.14,12753.08,13606.82,14114.08,15256.39,15615.23,14947.35,15726.51,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5884.49,6047.74,6227.46,6441.68,6540.15,6667.19,6645.63,6942.2 p,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,928.71,611.0,734.5,797.21,825.81,836.91,1022.17 b,1098.68,1112.44,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Switzerland,8637.14,8851.87,9491.77,9341.44,9563.98,10400.84,10766.54,11562.87,12684.84,13350.81,15245.11,16470.13,17358.11,18127.9,17856.13,18443.76,18250.29,18207.31,17311.51,16683.65,17064.39,17911.26,17721.92 p
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,417.95,436.28,392.32,437.98,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4213.05,4226.06,4218.32,4310.24,4405.65 b,4565.65,5134.3,5692.03,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50115.75,50264.27,52471.29,56090.71,57590.98,58191.99,63225.35,68355.48,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Denmark,:,:,:,:,:,:,:,:,:,:,:,:,6942.69,7844.14,7031.76,7703.37 b,8438.46,8890.75,9094.09,9696.31,8961.79,9978.77,10220.71
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,670.46,770.47,876.81,899.78,901.15,898.53,995.37,998.68,:
Annual,Total - all NACE activities,Total environmental protection and resource management activities,"Value added, gross",Total environmental goods and services sector,"Chain linked volumes (2010), million euro",Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3140.63,3235.69,3200.53,3173.91,3442.92,3963.52,4050.15,4230.98 p,:
