Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2015.0
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Austria,21.2
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Belgium,17.7
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Bulgaria,20.8
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Switzerland,5.5
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Cyprus,23.4
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Czechia,33.5
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Germany,19.3
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Denmark,11.5
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Estonia,15.6
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Greece,58.6
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Spain,14.3
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,European Union - 27 countries (from 2020),17.9 e
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Finland,1.7
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,France,17.6
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Croatia,9.9
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Hungary,38.5
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Ireland,11.9 u
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Iceland,4.0
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Italy,18.9
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Lithuania,15.4
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Luxembourg,10.1
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Latvia,21.5
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Malta,24.8
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Netherlands,0.0
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Norway,1.3
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Poland,7.5 u
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Portugal,17.6
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Romania,24.3
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Serbia,24.0
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Sweden,4.0
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Slovenia,9.6
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,Slovakia,22.4
Annual,Informal voluntary activities,Total,Total,Total,No interest,Percentage,United Kingdom,16.5 u
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Austria,28.2
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Belgium,21.6
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Bulgaria,11.9
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Switzerland,19.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Cyprus,21.7
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Czechia,11.8
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Germany,25.7
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Denmark,16.2
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Estonia,23.4
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Greece,21.2
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Spain,18.9
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,European Union - 27 countries (from 2020),20.6 e
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Finland,3.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,France,24.4
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Croatia,9.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Hungary,18.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Ireland,20.1 u
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Iceland,10.6
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Italy,27.9
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Lithuania,24.1
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Luxembourg,16.2
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Latvia,22.6
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Malta,40.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Netherlands,1.5
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Norway,1.9
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Poland,10.7 u
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Portugal,23.7
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Romania,20.6
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Serbia,23.7
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Sweden,5.1
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Slovenia,16.2
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,Slovakia,22.1
Annual,Informal voluntary activities,Total,Total,Total,No time,Percentage,United Kingdom,28.6 u
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Austria,22.4
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Belgium,39.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Bulgaria,61.0
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Switzerland,26.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Cyprus,52.3
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Czechia,38.1
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Germany,43.6
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Denmark,30.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Estonia,35.6
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Greece,5.8
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Spain,56.1
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,European Union - 27 countries (from 2020),39.0 e
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Finland,20.8
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,France,34.7
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Croatia,63.4
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Hungary,35.2
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Ireland,30.8 u
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Iceland,20.6
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Italy,42.0
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Lithuania,44.2
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Luxembourg,43.4
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Latvia,27.6
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Malta,33.8
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Netherlands,16.2
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Norway,22.3
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Poland,31.3 u
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Portugal,38.1
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Romania,51.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Serbia,39.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Sweden,20.9
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Slovenia,19.6
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,Slovakia,36.7
Annual,Informal voluntary activities,Total,Total,Total,Other reason,Percentage,United Kingdom,35.5 u
