Time frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical (including threats and not sexual),Percentage,Austria,12.0
Annual,Physical (including threats and not sexual),Percentage,Belgium,12.9
Annual,Physical (including threats and not sexual),Percentage,Bulgaria,8.5
Annual,Physical (including threats and not sexual),Percentage,Cyprus,21.5
Annual,Physical (including threats and not sexual),Percentage,Czechia,10.6
Annual,Physical (including threats and not sexual),Percentage,Germany,10.8
Annual,Physical (including threats and not sexual),Percentage,Denmark,14.2
Annual,Physical (including threats and not sexual),Percentage,Estonia,15.1
Annual,Physical (including threats and not sexual),Percentage,Greece,18.4
Annual,Physical (including threats and not sexual),Percentage,Spain,10.6
Annual,Physical (including threats and not sexual),Percentage,European Union (aggregate changing according to the context),13.5 e
Annual,Physical (including threats and not sexual),Percentage,Finland,19.7
Annual,Physical (including threats and not sexual),Percentage,France,12.9
Annual,Physical (including threats and not sexual),Percentage,Croatia,11.9
Annual,Physical (including threats and not sexual),Percentage,Hungary,31.2
Annual,Physical (including threats and not sexual),Percentage,Ireland,19.0
Annual,Physical (including threats and not sexual),Percentage,Italy,12.9 d
Annual,Physical (including threats and not sexual),Percentage,Lithuania,15.0
Annual,Physical (including threats and not sexual),Percentage,Luxembourg,15.4
Annual,Physical (including threats and not sexual),Percentage,Latvia,16.0
Annual,Physical (including threats and not sexual),Percentage,Montenegro,10.2
Annual,Physical (including threats and not sexual),Percentage,Malta,13.3
Annual,Physical (including threats and not sexual),Percentage,Netherlands,12.6
Annual,Physical (including threats and not sexual),Percentage,Poland,11.6
Annual,Physical (including threats and not sexual),Percentage,Portugal,13.2
Annual,Physical (including threats and not sexual),Percentage,Romania,28.2
Annual,Physical (including threats and not sexual),Percentage,Serbia,13.4
Annual,Physical (including threats and not sexual),Percentage,Sweden,11.5
Annual,Physical (including threats and not sexual),Percentage,Slovenia,13.0
Annual,Physical (including threats and not sexual),Percentage,Slovakia,20.3
Annual,Physical (including threats and not sexual),Percentage,Kosovo*,9.4
Annual,Physical (including threats) or sexual,Percentage,Austria,35.7
Annual,Physical (including threats) or sexual,Percentage,Belgium,29.1
Annual,Physical (including threats) or sexual,Percentage,Bulgaria,11.9
Annual,Physical (including threats) or sexual,Percentage,Cyprus,36.1
Annual,Physical (including threats) or sexual,Percentage,Czechia,19.7
Annual,Physical (including threats) or sexual,Percentage,Germany,25.6
Annual,Physical (including threats) or sexual,Percentage,Denmark,47.5
Annual,Physical (including threats) or sexual,Percentage,Estonia,33.1
Annual,Physical (including threats) or sexual,Percentage,Greece,36.5
Annual,Physical (including threats) or sexual,Percentage,Spain,28.2
Annual,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),30.7 e
Annual,Physical (including threats) or sexual,Percentage,Finland,57.1
Annual,Physical (including threats) or sexual,Percentage,France,34.5
Annual,Physical (including threats) or sexual,Percentage,Croatia,25.3
Annual,Physical (including threats) or sexual,Percentage,Hungary,49.1
Annual,Physical (including threats) or sexual,Percentage,Ireland,40.7
Annual,Physical (including threats) or sexual,Percentage,Italy,31.7 d
Annual,Physical (including threats) or sexual,Percentage,Lithuania,25.2
Annual,Physical (including threats) or sexual,Percentage,Luxembourg,45.4
Annual,Physical (including threats) or sexual,Percentage,Latvia,25.1
Annual,Physical (including threats) or sexual,Percentage,Montenegro,11.7
Annual,Physical (including threats) or sexual,Percentage,Malta,24.4
Annual,Physical (including threats) or sexual,Percentage,Netherlands,41.2
Annual,Physical (including threats) or sexual,Percentage,Poland,16.7
Annual,Physical (including threats) or sexual,Percentage,Portugal,19.7
Annual,Physical (including threats) or sexual,Percentage,Romania,42.2
Annual,Physical (including threats) or sexual,Percentage,Serbia,17.5
Annual,Physical (including threats) or sexual,Percentage,Sweden,52.5
Annual,Physical (including threats) or sexual,Percentage,Slovenia,22.5
Annual,Physical (including threats) or sexual,Percentage,Slovakia,37.9
Annual,Physical (including threats) or sexual,Percentage,Kosovo*,10.3
Annual,Sexual,Percentage,Austria,23.7
Annual,Sexual,Percentage,Belgium,16.1
Annual,Sexual,Percentage,Bulgaria,3.4
Annual,Sexual,Percentage,Cyprus,14.6
Annual,Sexual,Percentage,Czechia,9.2
Annual,Sexual,Percentage,Germany,14.8
Annual,Sexual,Percentage,Denmark,33.3
Annual,Sexual,Percentage,Estonia,18.0
Annual,Sexual,Percentage,Greece,18.1
Annual,Sexual,Percentage,Spain,17.6
Annual,Sexual,Percentage,European Union (aggregate changing according to the context),17.2 e
Annual,Sexual,Percentage,Finland,37.3
Annual,Sexual,Percentage,France,21.6
Annual,Sexual,Percentage,Croatia,13.4
Annual,Sexual,Percentage,Hungary,17.9
Annual,Sexual,Percentage,Ireland,21.7
Annual,Sexual,Percentage,Italy,18.8 d
Annual,Sexual,Percentage,Lithuania,10.2
Annual,Sexual,Percentage,Luxembourg,30.0
Annual,Sexual,Percentage,Latvia,9.0
Annual,Sexual,Percentage,Montenegro,1.5 u
Annual,Sexual,Percentage,Malta,11.1
Annual,Sexual,Percentage,Netherlands,28.6
Annual,Sexual,Percentage,Poland,5.0
Annual,Sexual,Percentage,Portugal,6.4
Annual,Sexual,Percentage,Romania,13.9
Annual,Sexual,Percentage,Serbia,4.1
Annual,Sexual,Percentage,Sweden,41.0
Annual,Sexual,Percentage,Slovenia,9.6
Annual,Sexual,Percentage,Slovakia,17.6
Annual,Sexual,Percentage,Kosovo*,0.9 u
