Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Austria,101.0,96.0,109.0,110.0,98.0,106.0,97.0,102.0,114.0,125.0,93.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bosnia and Herzegovina,93.0,93.0,92.0,91.0,91.0,91.0,91.0,92.0,91.0,91.0,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Belgium,128.0,126.0,125.0,128.0,132.0,130.0,131.0,130.0,135.0,136.0,135.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,66.0,66.0,64.0,58.0,55.0,55.0,55.0,55.0,55.0,54.0,52.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,101.0,102.0,103.0,106.0,108.0,110.0,111.0,114.0,119.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Czechia,85.0,72.0,84.0,77.0,70.0,71.0,72.0,76.0,76.0,68.0,87.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,620.0,628.0,638.0,647.0,656.0,662.0,665.0,664.0,660.0,655.0,651.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,95.0,89.0,91.0,94.0,106.0,105.0,102.0,96.0,106.0,102.0,101.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),5491.0,5503.0,5499.0,5457.0,5443.0,5402.0,5262.0,5214.0,5225.0,5235.0,5214.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,29.0,29.0,31.0,31.0,29.0,28.0,29.0,29.0,30.0,27.0,27.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,302.0,299.0,287.0,284.0,280.0,244.0,257.0,240.0,240.0,255.0,265.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,1520.0,1508.0,1505.0,1510.0,1508.0,1493.0,1471.0,1447.0,1434.0,1436.0,1437.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,European Union - 27 countries (from 2020),6506.0,6474.0,6492.0,6407.0,6402.0,6369.0,6257.0,6224.0,6276.0,6260.0,6257.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Finland,96.0,98.0,103.0,98.0,100.0,101.0,94.0,106.0,106.0,108.0,122.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,France,1111.0,1109.0,1114.0,1125.0,1140.0,1141.0,1115.0,1096.0,1106.0,1131.0,1151.0,:
