Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Dobova Meja -  Dobova,Goods trains,Number,3623.0
Annual,Dobova Meja -  Dobova,Passenger trains,Number,1163.0
Annual,Dobova -  Sevnica,Goods trains,Number,4304.0
Annual,Dobova -  Sevnica,Passenger trains,Number,5926.0
Annual,Sevnica -  Zidani Most,Goods trains,Number,4427.0
Annual,Sevnica -  Zidani Most,Passenger trains,Number,6540.0
Annual,Zidani Most -  Ljubljana Zalog,Goods trains,Number,11340.0
Annual,Zidani Most -  Ljubljana Zalog,Passenger trains,Number,9783.0
Annual,Ljubljana Zalog -  Ljubljana Moste,Goods trains,Number,13749.0
Annual,Ljubljana Zalog -  Ljubljana Moste,Passenger trains,Number,10428.0
Annual,Ljubljana Moste -  Ljubljana,Goods trains,Number,13923.0
Annual,Ljubljana Moste -  Ljubljana,Passenger trains,Number,12514.0
Annual,Ljubljana -  Ljubljana Siska,Goods trains,Number,4250.0
Annual,Ljubljana -  Ljubljana Siska,Passenger trains,Number,9326.0
Annual,Ljubljana Siska -  Kranj,Goods trains,Number,3757.0
Annual,Ljubljana Siska -  Kranj,Passenger trains,Number,5245.0
Annual,Kranj -  Jesenice,Goods trains,Number,3526.0
Annual,Kranj -  Jesenice,Passenger trains,Number,4713.0
Annual,Jesenice -  Jesenice Meja,Goods trains,Number,3288.0
Annual,Jesenice -  Jesenice Meja,Passenger trains,Number,1277.0
Annual,Metlika Meja -  Metlika,Goods trains,Number,2.0
Annual,Metlika Meja -  Metlika,Passenger trains,Number,700.0
Annual,Metlika -  Novo Mesto,Goods trains,Number,76.0
Annual,Metlika -  Novo Mesto,Passenger trains,Number,2516.0
Annual,Novo Mesto -  Trebnje,Goods trains,Number,226.0
Annual,Novo Mesto -  Trebnje,Passenger trains,Number,3598.0
Annual,Trebnje -  Grosuplje,Goods trains,Number,183.0
Annual,Trebnje -  Grosuplje,Passenger trains,Number,3385.0
Annual,Grosuplje -  Ljubljana,Goods trains,Number,331.0
Annual,Grosuplje -  Ljubljana,Passenger trains,Number,3982.0
Annual,Sevnica -  Trebnje,Goods trains,Number,6.0
Annual,Sevnica -  Trebnje,Passenger trains,Number,1190.0
Annual,Zidani Most -  Celje,Goods trains,Number,8761.0
