Time frequency,Unit of measure,Internet speed,Territorial typology,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,:,:,:,:,:,:,13.8,36.9,45.4,54.8,65.1
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,:,:,:,:,:,:,49.2,49.4,69.0,78.0,95.7
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,:,:,:,:,:,:,6.5,8.6,16.3,21.4,28.4
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,:,:,:,:,:,:,40.3,62.9,63.7,65.6,68.3
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Cyprus,:,:,:,:,:,:,10.1,26.2,41.4,60.0,77.1
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Czechia,:,:,:,:,:,:,2.4,7.6,38.1,42.5,40.3
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Germany,:,:,:,:,:,:,34.1,55.9,62.1,68.6,73.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Denmark,:,:,:,:,:,:,80.3,86.5,90.7,91.6,94.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Estonia,:,:,:,:,:,:,28.7,35.4,36.7,56.5,67.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Greece,:,:,:,:,:,:,7.0,10.2,19.0,27.9,39.5
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Spain,:,:,:,:,:,:,89.0,91.7,92.5,86.7,92.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,39.9,50.9,62.3,69.0,75.6
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Finland,:,:,:,:,:,:,40.0,47.0,51.0,60.0,71.0
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,France,:,:,:,:,:,:,43.8,52.2,63.8,73.2,81.7
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Croatia,:,:,:,:,:,:,5.9,21.8,52.3,57.6,67.8
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Hungary,:,:,:,:,:,:,33.1,35.9,44.8,81.9,82.4
Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Ireland,:,:,:,:,:,:,15.9,58.1,67.4,72.3,73.2
