Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Denmark,23.8,17.1,12.2,25.1,21.5,20.7,16.4,11.6,15.7 b,19.4,17.0,23.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Euro area - 19 countries  (2015-2022),24.0,25.9,26.3,26.5,25.5,24.0,24.2,24.1,25.8,25.0,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,25.2,23.8,22.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Estonia,24.6,27.8,29.1 b,31.0,24.6,24.0,23.5,20.6,23.4,25.1,23.2,25.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Greece,36.0,39.0,34.4,34.5,33.3,29.6,30.2,25.8,28.7,27.1,24.9,22.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Spain,33.8,35.4,35.1,40.0,35.9,36.5,31.6,31.9,34.6,34.5,31.8,31.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,European Union - 27 countries (2007-2013),23.6,25.1,25.9,26.0,26.0,24.3,24.7,24.7 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,European Union - 27 countries (from 2020),24.8,26.4,27.1 e,27.5 e,27.0 e,25.5 e,25.5 e,25.4 e,26.5,25.7,24.4,24.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,European Union - 28 countries (2013-2020),23.7,25.2,25.9,26.0,26.0,24.3,24.7,24.7 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Finland,12.9,13.4,11.8,11.3,13.6,11.6,12.0,11.7,9.5,9.2,12.3,15.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,France,15.4,17.5,17.0,15.3,16.8,16.9,16.4,17.0,20.2 b,18.4,19.8 b,18.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Croatia,31.4,27.2,28.0,26.8,26.1,24.9,29.5,24.5,27.1,25.3,23.6,20.8 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Hungary,21.6,20.8,23.1,22.5,17.5,14.2,36.9,32.2,47.6,36.0,14.5,64.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Ireland,18.2,14.9,17.4,17.0,19.4,19.4,14.1,15.3 b,13.3 b,16.8,20.8,16.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Iceland,21.7,17.2,18.7,17.2,13.9,17.4,15.0,21.3,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Italy,29.7,33.4,34.8,33.2,32.9,28.0,32.0,33.5,30.3,29.3,27.9,19.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Lithuania,24.3,25.8,26.6,27.7,29.6,30.4,32.3,25.3,23.2,20.6,21.1,28.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Luxembourg,14.9,18.0,16.1,16.7,19.7 b,23.4,21.2,23.6,17.5 b,19.3 b,18.4 b,16.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Latvia,31.0,29.9,28.8,34.2,25.4,28.3,30.7,25.7,26.6,23.6,25.7,25.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Montenegro,:,42.1,38.9,41.4,37.5,34.5,40.9,33.7,30.1,31.7,33.3,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,North Macedonia,52.8,40.7,38.6,35.5,43.9,43.1,40.7,33.0,36.7,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Malta,15.0,20.7,19.8,21.0,16.8,20.8,21.9,20.6,20.3,24.8,21.0,28.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Netherlands,15.6,12.1,12.5,14.3,17.1 b,17.6,20.9,15.2,17.7,26.0,26.0,20.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Norway,15.3,12.6,15.8,16.5,18.2,18.5,18.6,16.8,18.6,21.3 b,16.5,18.0 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Poland,21.5,22.1,24.3,22.8,25.6,24.8,20.1,20.2,20.4,16.8,20.9,19.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Portugal,26.9,33.1,32.7,31.4,28.7,30.2,26.1,24.8,26.1,31.6,26.1,30.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Romania,32.0,38.2,37.3,43.1,40.7,40.3,40.1,42.6,37.5,39.2,33.1,39.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Serbia,:,40.6,39.3,40.4,44.3,41.2,42.4,33.3,25.5,29.8,24.6,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Sweden,24.9,19.2,23.1,20.5,26.8,24.1,21.7,22.7,19.9,21.3,21.5,25.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Slovenia,17.2,20.4,23.7,20.8,18.9,16.3,13.3,16.6,14.2,17.0,17.1,17.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Slovakia,24.0,29.8,31.9,29.9,31.6,30.3,26.1,27.9,29.2,28.7,25.0,37.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Türkiye,32.2,29.5,30.4,29.4,27.8,28.0,26.8,28.3,27.8,28.4,25.8,25.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,United Kingdom,15.9 b,16.3,17.7,15.8,19.3,18.1 b,21.1,:,:,:,:,:
