Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Poland,22.2,22.6,23.2,22.3,24.4,23.6,23.3,22.0,21.0,19.7,20.7,20.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Portugal,24.1,27.4,30.3,29.0,26.7,27.0,24.5,22.4,24.4,27.1,21.7,25.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Romania,31.1,33.6,34.6,38.2,36.2,34.5,35.2,33.0,31.9,37.7,32.0,37.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Serbia,:,36.6,39.3,37.5,39.4,38.8,37.4,32.1,27.1,28.3,25.7,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Sweden,22.7,19.2,21.7,19.9,21.1,21.2,19.9,21.7,19.9,20.7,21.5,24.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Slovenia,19.1,20.4,22.0,20.3,20.2,19.6,17.5,18.2,16.9,17.1,17.1,18.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Slovakia,20.5,24.1,29.0,28.9,26.1,26.0,25.6,25.2,23.7,27.7,18.4,29.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Türkiye,30.3,27.9,28.4,27.8,26.6,26.4,25.8,27.4,27.5,27.0,24.8,24.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,United Kingdom,20.9 b,19.6,19.4,20.4,22.4,20.1 b,23.0,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Albania,:,:,:,:,:,34.4,34.2,29.7,26.5,25.5,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Austria,23.9,23.4,21.1,21.8,20.6,25.9,22.4,25.8,23.9,22.4,23.1,21.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Belgium,20.9,22.8,21.7,19.8,21.1,19.4,21.4,18.6 b,18.0,16.3,20.6,15.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Bulgaria,34.9,34.4,35.8,34.1,36.3 b,34.3,31.7,33.2,31.6,28.0,28.4,29.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Switzerland,21.8,19.1,21.1 b,20.3,19.7,24.0,20.9,20.7,22.3,22.0,20.5,23.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Cyprus,20.5,18.3,19.3,21.8,18.1,15.4,18.6,17.0,17.7,16.1,16.8,15.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Czechia,21.5,17.3,19.0,19.6,20.7,17.7,17.1,15.8,16.8,20.2,21.9,22.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Germany,23.1,22.1,25.1,24.7,23.6,23.5,25.2,26.3,27.5 b,23.8,22.3,23.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Denmark,23.6,26.6,29.5,25.0,26.7,25.5,26.1,25.6,23.8 b,24.2,24.4,25.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Euro area - 19 countries  (2015-2022),25.5,25.9,27.3,27.5,27.9,27.1,27.0,27.0,27.6,26.8,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,26.8,25.2,24.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Estonia,29.9,28.3,31.2 b,29.6,28.7,29.1,29.3,29.4,28.7,27.7,29.8,28.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Greece,32.5,33.6,34.2,33.5,34.6,32.6,31.7,30.6,31.2,30.3,26.2,25.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Spain,32.0,31.4,33.0,35.0,33.2,33.1,29.7,31.1,32.2,31.9,29.2,27.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,European Union - 27 countries (2007-2013),25.5,25.8,26.9,27.1,27.8,26.8,27.2,27.1 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,European Union - 27 countries (from 2020),25.9,26.3,27.7 e,27.7 e,28.2 e,27.3 e,27.5 e,27.4 e,27.6,27.4,25.7,25.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,European Union - 28 countries (2013-2020),25.6,25.8,26.9,27.1,27.8,26.9,27.2,27.1 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Finland,18.3,18.9,18.3,18.9,16.9,18.1,17.6,19.3,16.5,15.6,19.0,19.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,France,17.6,17.9,18.2,17.3,19.4,19.1,19.6,18.1,23.1 b,22.5,22.6 b,22.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Croatia,32.3,30.2,28.0,28.2,30.7,28.4,30.2,28.4,28.9,27.2,26.5,28.6 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Hungary,21.5,23.5,22.5,22.1,20.7,18.8,24.4,32.9,26.9,32.6,22.2,30.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,From 18 to 64 years,Ireland,21.3,17.9,18.9,19.5,19.0,19.6,20.4,16.9 b,17.4 b,16.3,23.4,17.7
