Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Netherlands,82490.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Poland,272290.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Portugal,924419.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Romania,855449.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Slovenia,34361.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Slovakia,44307.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,United Kingdom,178193.0
Annual,Vacant conventional dwellings,Number,Bulgaria,533118.0
Annual,Vacant conventional dwellings,Number,Switzerland,121533.0
Annual,Vacant conventional dwellings,Number,Cyprus,20736.0
Annual,Vacant conventional dwellings,Number,Czechia,363390.0
Annual,Vacant conventional dwellings,Number,Germany,3166800.0
Annual,Vacant conventional dwellings,Number,Estonia,37438.0
Annual,Vacant conventional dwellings,Number,Greece,1327270.0
Annual,Vacant conventional dwellings,Number,Spain,3398754.0
Annual,Vacant conventional dwellings,Number,Finland,201263.0
Annual,Vacant conventional dwellings,Number,France,1991060.0
Annual,Vacant conventional dwellings,Number,Hungary,276665.0
Annual,Vacant conventional dwellings,Number,Ireland,0.0
Annual,Vacant conventional dwellings,Number,Italy,5638705.0
Annual,Vacant conventional dwellings,Number,Liechtenstein,293.0
Annual,Vacant conventional dwellings,Number,Lithuania,47575.0
Annual,Vacant conventional dwellings,Number,Latvia,0.0
Annual,Vacant conventional dwellings,Number,Netherlands,310224.0
Annual,Vacant conventional dwellings,Number,Poland,618601.0
Annual,Vacant conventional dwellings,Number,Portugal,543777.0
Annual,Vacant conventional dwellings,Number,Romania,941322.0
Annual,Vacant conventional dwellings,Number,Slovenia,78300.0
Annual,Vacant conventional dwellings,Number,Slovakia,172269.0
Annual,Vacant conventional dwellings,Number,United Kingdom,825300.0
Annual,Non conventional housing (excl. homelessness),Number,Austria,31595.0
Annual,Non conventional housing (excl. homelessness),Number,Belgium,6819.0
Annual,Non conventional housing (excl. homelessness),Number,Bulgaria,7851.0
Annual,Non conventional housing (excl. homelessness),Number,Switzerland,11820.0
Annual,Non conventional housing (excl. homelessness),Number,Cyprus,795.0
Annual,Non conventional housing (excl. homelessness),Number,Germany,12000.0
Annual,Non conventional housing (excl. homelessness),Number,Estonia,1031.0
Annual,Non conventional housing (excl. homelessness),Number,Greece,10995.0
Annual,Non conventional housing (excl. homelessness),Number,Spain,3143.0
Annual,Non conventional housing (excl. homelessness),Number,Hungary,5167.0
Annual,Non conventional housing (excl. homelessness),Number,Ireland,8341.0
Annual,Non conventional housing (excl. homelessness),Number,Italy,28029.0
Annual,Non conventional housing (excl. homelessness),Number,Liechtenstein,20.0
Annual,Non conventional housing (excl. homelessness),Number,Lithuania,554.0
Annual,Non conventional housing (excl. homelessness),Number,Latvia,0.0
Annual,Non conventional housing (excl. homelessness),Number,Netherlands,109126.0
Annual,Non conventional housing (excl. homelessness),Number,Poland,5666.0
Annual,Non conventional housing (excl. homelessness),Number,Portugal,27319.0
Annual,Non conventional housing (excl. homelessness),Number,Romania,4277.0
Annual,Non conventional housing (excl. homelessness),Number,Slovenia,1194.0
Annual,Non conventional housing (excl. homelessness),Number,Slovakia,12221.0
Annual,Non conventional housing (excl. homelessness),Number,United Kingdom,102650.0
Annual,Total housing,Number,Austria,3897541.0
Annual,Total housing,Number,Belgium,4302631 d
Annual,Total housing,Number,Bulgaria,3688802.0
Annual,Total housing,Number,Switzerland,3581001 d
Annual,Total housing,Number,Cyprus,293985.0
Annual,Total housing,Number,Czechia,4366293.0
Annual,Total housing,Number,Germany,38957100 du
Annual,Total housing,Number,Estonia,628615 d
Annual,Total housing,Number,Greece,5484149 d
Annual,Total housing,Number,Spain,20958000.0
Annual,Total housing,Number,Finland,2512442.0
Annual,Total housing,Number,France,28699868 d
Annual,Total housing,Number,Hungary,4322324 d
Annual,Total housing,Number,Ireland,1287958 d
Annual,Total housing,Number,Italy,27366921 d
Annual,Total housing,Number,Liechtenstein,14263.0
Annual,Total housing,Number,Lithuania,1312998 d
Annual,Total housing,Number,Latvia,795700 d
Annual,Total housing,Number,Netherlands,7256348.0
Annual,Total housing,Number,Poland,12538668.0
Annual,Total housing,Number,Portugal,5055022 d
Annual,Total housing,Number,Romania,8983822.0
Annual,Total housing,Number,Slovenia,779452 d
Annual,Total housing,Number,Slovakia,1896554.0
Annual,Total housing,Number,United Kingdom,25447988 d
Annual,Unknown,Number,Belgium,424.0
Annual,Unknown,Number,Estonia,3980.0
Annual,Unknown,Number,Greece,0.0
Annual,Unknown,Number,Lithuania,19969.0
Annual,Unknown,Number,Portugal,100.0
