Time frequency,Indicators on crime and criminal justice,Unit of measure,Sex,Geopolitical entity (reporting),Age class\Time,2012.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Poland,From 40 to 49 years,5.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Poland,From 50 to 59 years,4.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Poland,60 years or over,2.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,From 15 to 74 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,From 18 to 29 years,4.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,From 30 to 39 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,From 40 to 49 years,9.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,From 50 to 59 years,7.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Portugal,60 years or over,4.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,From 15 to 74 years,7.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,From 18 to 29 years,9.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,From 30 to 39 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,From 40 to 49 years,10.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,From 50 to 59 years,6.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Romania,60 years or over,4.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,From 15 to 74 years,11.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,From 18 to 29 years,22.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,From 30 to 39 years,11.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,From 40 to 49 years,10.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,From 50 to 59 years,8.0
Annual,In the 12 months prior to the interview,Percentage of women,Females,Sweden,60 years or over,5.0
