Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,1545.0,-821.0,1656.0,1397.0,-700.0,267.0,-790.0,-1587.0,-1643.0,620.0,2858.0,-227.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,606.9,-59.8,325.5,495.1,-177.9,3.7,385.1,810.0,1025.0,47.3,-223.3,-89.3
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,-192.1,460.6,1432.0,2242.4,2120.4,-655.7,-33.5,-461.6,595.5,197.8,564.6,518.6
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,31418.0,14325.0,23769.0,29516.0,21123.0,14720.0,22263.0,14102.0,16746.0,19296.0,10938.0,22744.0
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,3169.0,3364.8,3976.8,577.3,4002.6,4334.9,5136.5,4660.3,4908.2,5406.6,6827.9,6463.4
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area – 20 countries (from 2023),52661.3,17486.7,28410.8,38498.2,38251.6,9872.4,60709.6,39744.8,29439.0,41759.6,38773.8,35862.2
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,208.3,-82.8,-69.7,2.8,-109.3,94.2,23.2,-108.3,20.3,15.7,-38.5,-26.8
Monthly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,-2065.0,1634.0,-3212.0,-2610.0,-2613.0,-2418.0,342.0,211.0,469.0,-415.0,148.0,-3094.0
