Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,3530.0,810.0,495.0,280.0,230.0,485.0,395.0,265.0,295.0,835.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,1620.0,520.0,285.0,255.0,185.0,330.0,190.0,225.0,210.0,430.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,6430.0,840.0,670.0,225.0,405.0,405.0,190.0,235.0,610.0,470.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,3205.0,530.0,425.0,415.0,255.0,415.0,260.0,40.0,255.0,330.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,590.0,135.0,65.0,115.0,80.0,65.0,70.0,25.0,15.0,50.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,8205.0,3520.0,2000.0,2960.0,2400.0,3485.0,1745.0,2035.0,2485 d,4290.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,28545.0,15790.0,8705.0,8600.0,6635.0,6420.0,5550.0,6060.0,4055.0,4845.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,1750.0,415.0,125.0,185.0,120.0,155.0,120.0,145.0,195.0,345.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,1235.0,490.0,265.0,175.0,110.0,180.0,105.0,90.0,90.0,185.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,1025.0,125.0,65.0,35.0,50.0,60.0,25.0,30.0,65.0,65.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,6650.0,980.0,545.0,430.0,255.0,365.0,255.0,340.0,365.0,560.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,1945.0,600.0,360.0,345.0,305.0,315.0,210.0,150.0,245.0,400.0
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,65 d,25 d,35 d,10 d,20 d,25 d,15 d,15 d,10 d,5 d
Quarterly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,685.0,160.0,75.0,60.0,50.0,55.0,40.0,25.0,60.0,70.0
