Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Million tonne-kilometre (TKM),Morocco,1256.0,1212.0,697.0,794.0,800.0 p,:,:,:,:,:,:,:,:,:
Annual,Thousand,Jordan,6109.9,6229.6,6677.2,7033.3,7910.6,8760.9,9071.8,8951.2,8627.3,8840.0,7356.5,6977.2,7285.0,8564.1
Annual,Thousand,Morocco,20281.0,19798.0,16832.0,21250.0,20000.0 p,:,:,:,:,:,:,:,:,:
