Time frequency,Country/region of birth,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Luxembourg,4.9
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Latvia,1.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Malta,6.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Netherlands,14.6
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Norway,6.4
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Poland,0.8 u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Portugal,4.6
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Sweden,11.7
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Slovenia,4.9
Annual,EU27 countries (from 2020) except reporting country,Total,Percentage,Slovakia,1.8
Annual,Foreign country,Females,Percentage,Austria,10.8
Annual,Foreign country,Females,Percentage,Belgium,6.6
Annual,Foreign country,Females,Percentage,Bulgaria,1.6 u
Annual,Foreign country,Females,Percentage,Cyprus,2.7
Annual,Foreign country,Females,Percentage,Czechia,5.1
Annual,Foreign country,Females,Percentage,Germany,6.9
Annual,Foreign country,Females,Percentage,Denmark,11.1
Annual,Foreign country,Females,Percentage,Euro area – 20 countries (from 2023),9.8
Annual,Foreign country,Females,Percentage,Estonia,9.0
Annual,Foreign country,Females,Percentage,Greece,6.7
Annual,Foreign country,Females,Percentage,Spain,15.4
Annual,Foreign country,Females,Percentage,European Union - 27 countries (from 2020),9.7
Annual,Foreign country,Females,Percentage,Finland,12.4
Annual,Foreign country,Females,Percentage,France,15.4
Annual,Foreign country,Females,Percentage,Croatia,5.5 u
Annual,Foreign country,Females,Percentage,Hungary,1.0
Annual,Foreign country,Females,Percentage,Ireland,13.7 u
Annual,Foreign country,Females,Percentage,Italy,4.7
Annual,Foreign country,Females,Percentage,Lithuania,11.2 u
Annual,Foreign country,Females,Percentage,Luxembourg,6.3
Annual,Foreign country,Females,Percentage,Latvia,6.5
Annual,Foreign country,Females,Percentage,Malta,6.3
Annual,Foreign country,Females,Percentage,Netherlands,14.6
Annual,Foreign country,Females,Percentage,Norway,13.2
Annual,Foreign country,Females,Percentage,Poland,3.6 u
Annual,Foreign country,Females,Percentage,Portugal,9.0
Annual,Foreign country,Females,Percentage,Romania,: u
Annual,Foreign country,Females,Percentage,Sweden,9.7
Annual,Foreign country,Females,Percentage,Slovenia,7.3
Annual,Foreign country,Females,Percentage,Slovakia,4.2
Annual,Foreign country,Males,Percentage,Austria,12.2
Annual,Foreign country,Males,Percentage,Belgium,7.3
Annual,Foreign country,Males,Percentage,Bulgaria,9.4 u
Annual,Foreign country,Males,Percentage,Cyprus,5.2
Annual,Foreign country,Males,Percentage,Czechia,7.2
Annual,Foreign country,Males,Percentage,Germany,7.3
Annual,Foreign country,Males,Percentage,Denmark,9.4
Annual,Foreign country,Males,Percentage,Euro area – 20 countries (from 2023),10.5
Annual,Foreign country,Males,Percentage,Estonia,6.4
Annual,Foreign country,Males,Percentage,Greece,12.2
Annual,Foreign country,Males,Percentage,Spain,17.9
Annual,Foreign country,Males,Percentage,European Union - 27 countries (from 2020),10.7
Annual,Foreign country,Males,Percentage,Finland,15.0
Annual,Foreign country,Males,Percentage,France,15.9
