Time frequency,Unit of measure,n_portion,isced11,sex,age,geo\TIME_PERIOD,2014.0,2019.0
Annual,Percentage,0.0,TOTAL,T,Y15-29,AT,37.5,43.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,BE,25.0,23.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,BG,58.7,46.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,CY,43.3,42.5
Annual,Percentage,0.0,TOTAL,T,Y15-29,CZ,48.1,51.1
Annual,Percentage,0.0,TOTAL,T,Y15-29,DE,57.0,38.2
Annual,Percentage,0.0,TOTAL,T,Y15-29,DK,45.7,47.6
Annual,Percentage,0.0,TOTAL,T,Y15-29,EE,41.6,49.3
Annual,Percentage,0.0,TOTAL,T,Y15-29,EL,40.8,36.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,ES,39.3,37.7
Annual,Percentage,0.0,TOTAL,T,Y15-29,EU27_2020,46.8,41.2
Annual,Percentage,0.0,TOTAL,T,Y15-29,FI,47.1,47.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,FR,51.9,34.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,HR,31.6,45.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,HU,40.8,49.3
Annual,Percentage,0.0,TOTAL,T,Y15-29,IE,42.2,22.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,IS,35.2,31.5
Annual,Percentage,0.0,TOTAL,T,Y15-29,IT,36.3,37.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,LT,41.0,45.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,LU,44.8,54.3
Annual,Percentage,0.0,TOTAL,T,Y15-29,LV,51.8,53.3
Annual,Percentage,0.0,TOTAL,T,Y15-29,MT,45.9,43.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,NL,58.8,51.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,NO,41.8,37.6
Annual,Percentage,0.0,TOTAL,T,Y15-29,PL,37.0,41.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,PT,35.5,43.9
Annual,Percentage,0.0,TOTAL,T,Y15-29,RO,62.2,71.5
Annual,Percentage,0.0,TOTAL,T,Y15-29,RS,:,48.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,SE,42.9,48.2
Annual,Percentage,0.0,TOTAL,T,Y15-29,SI,38.2,46.0
Annual,Percentage,0.0,TOTAL,T,Y15-29,SK,48.5,41.4
Annual,Percentage,0.0,TOTAL,T,Y15-29,TR,37.0,42.8
Annual,Percentage,0.0,TOTAL,T,Y15-29,UK,27.3,:
Annual,Percentage,1-4,TOTAL,T,Y15-29,AT,54.3,48.6
Annual,Percentage,1-4,TOTAL,T,Y15-29,BE,65.7,64.9
Annual,Percentage,1-4,TOTAL,T,Y15-29,BG,35.1,47.9
Annual,Percentage,1-4,TOTAL,T,Y15-29,CY,44.3,52.6
Annual,Percentage,1-4,TOTAL,T,Y15-29,CZ,42.0,40.2
Annual,Percentage,1-4,TOTAL,T,Y15-29,DE,32.9,47.3
Annual,Percentage,1-4,TOTAL,T,Y15-29,DK,29.6,31.1
Annual,Percentage,1-4,TOTAL,T,Y15-29,EE,41.9,36.5
Annual,Percentage,1-4,TOTAL,T,Y15-29,EL,52.6,49.0
Annual,Percentage,1-4,TOTAL,T,Y15-29,ES,53.7,55.0
Annual,Percentage,1-4,TOTAL,T,Y15-29,EU27_2020,43.4,47.3
Annual,Percentage,1-4,TOTAL,T,Y15-29,FI,36.9,39.7
Annual,Percentage,1-4,TOTAL,T,Y15-29,FR,38.3,51.0
Annual,Percentage,1-4,TOTAL,T,Y15-29,HR,62.5,46.1
Annual,Percentage,1-4,TOTAL,T,Y15-29,HU,50.6,44.7
Annual,Percentage,1-4,TOTAL,T,Y15-29,IE,33.0,47.1
Annual,Percentage,1-4,TOTAL,T,Y15-29,IS,50.7,52.4
Annual,Percentage,1-4,TOTAL,T,Y15-29,IT,55.3,55.0
Annual,Percentage,1-4,TOTAL,T,Y15-29,LT,44.7,42.8
Annual,Percentage,1-4,TOTAL,T,Y15-29,LU,39.8,34.1
Annual,Percentage,1-4,TOTAL,T,Y15-29,LV,36.7,39.8
Annual,Percentage,1-4,TOTAL,T,Y15-29,MT,40.6,47.2
Annual,Percentage,1-4,TOTAL,T,Y15-29,NL,23.3,23.9
Annual,Percentage,1-4,TOTAL,T,Y15-29,NO,52.0,53.2
Annual,Percentage,1-4,TOTAL,T,Y15-29,PL,53.4,50.1
Annual,Percentage,1-4,TOTAL,T,Y15-29,PT,53.9,46.9
Annual,Percentage,1-4,TOTAL,T,Y15-29,RO,33.7,25.3
Annual,Percentage,1-4,TOTAL,T,Y15-29,RS,:,45.9
Annual,Percentage,1-4,TOTAL,T,Y15-29,SE,47.5,44.8
Annual,Percentage,1-4,TOTAL,T,Y15-29,SI,54.4,47.4
Annual,Percentage,1-4,TOTAL,T,Y15-29,SK,41.8,50.5
Annual,Percentage,1-4,TOTAL,T,Y15-29,TR,60.6,55.2
Annual,Percentage,1-4,TOTAL,T,Y15-29,UK,43.8,:
Annual,Percentage,GE5,TOTAL,T,Y15-29,AT,8.2,7.6
Annual,Percentage,GE5,TOTAL,T,Y15-29,BE,9.4,11.3
Annual,Percentage,GE5,TOTAL,T,Y15-29,BG,6.2,5.7
Annual,Percentage,GE5,TOTAL,T,Y15-29,CY,12.3,4.9
Annual,Percentage,GE5,TOTAL,T,Y15-29,CZ,9.9,8.7
Annual,Percentage,GE5,TOTAL,T,Y15-29,DE,10.1,14.5
Annual,Percentage,GE5,TOTAL,T,Y15-29,DK,24.7,21.3
Annual,Percentage,GE5,TOTAL,T,Y15-29,EE,16.5,14.2
Annual,Percentage,GE5,TOTAL,T,Y15-29,EL,6.6,14.6
Annual,Percentage,GE5,TOTAL,T,Y15-29,ES,6.9,7.3
Annual,Percentage,GE5,TOTAL,T,Y15-29,EU27_2020,9.8,11.5
Annual,Percentage,GE5,TOTAL,T,Y15-29,FI,16.0,12.9
Annual,Percentage,GE5,TOTAL,T,Y15-29,FR,9.8,14.3
Annual,Percentage,GE5,TOTAL,T,Y15-29,HR,5.9,8.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,HU,8.6,5.9
Annual,Percentage,GE5,TOTAL,T,Y15-29,IE,24.8,30.1
Annual,Percentage,GE5,TOTAL,T,Y15-29,IS,14.1,16.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,IT,8.4,7.5
Annual,Percentage,GE5,TOTAL,T,Y15-29,LT,14.3,11.9
Annual,Percentage,GE5,TOTAL,T,Y15-29,LU,15.4,11.6
Annual,Percentage,GE5,TOTAL,T,Y15-29,LV,11.5,6.9
Annual,Percentage,GE5,TOTAL,T,Y15-29,MT,13.5,9.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,NL,17.9,24.7
Annual,Percentage,GE5,TOTAL,T,Y15-29,NO,6.2,9.2
Annual,Percentage,GE5,TOTAL,T,Y15-29,PL,9.6,8.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,PT,10.6,9.2
Annual,Percentage,GE5,TOTAL,T,Y15-29,RO,4.1,3.2
Annual,Percentage,GE5,TOTAL,T,Y15-29,RS,:,5.7
Annual,Percentage,GE5,TOTAL,T,Y15-29,SE,9.6,7.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,SI,7.4,6.7
Annual,Percentage,GE5,TOTAL,T,Y15-29,SK,9.7,8.1
Annual,Percentage,GE5,TOTAL,T,Y15-29,TR,2.4,2.0
Annual,Percentage,GE5,TOTAL,T,Y15-29,UK,28.9,:
