Time frequency,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,European institutions and bodies,"Value added, gross",Million euro,Institutions and bodies of the European Union,9763.41,10694.48,11186.55
Annual,European institutions and bodies,"Value added, net",Million euro,Institutions and bodies of the European Union,8693.39,9399.41,9980.06
Annual,European institutions and bodies,Net operating surplus,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Balance of primary incomes/national income, net",Million euro,Institutions and bodies of the European Union,-17577.73,-3643.68,-7172.43
Annual,European institutions and bodies,"Disposable income, net",Million euro,Institutions and bodies of the European Union,77379.14,81266.75,62363.11
Annual,European institutions and bodies,"Saving, gross",Million euro,Institutions and bodies of the European Union,56643.08,56218.64,36492.73
Annual,European institutions and bodies,"Saving, net",Million euro,Institutions and bodies of the European Union,55573.05,54923.57,35286.24
Annual,European institutions and bodies,Net lending (+)/net borrowing (-),Million euro,Institutions and bodies of the European Union,-13978.92,-29640.85,-58730.34
Annual,European institutions and bodies,"Compensation of employees, expenditure",Million euro,Institutions and bodies of the European Union,8909.57,9414.63,9980.06
Annual,European institutions and bodies,Taxes on production and imports,Million euro,Institutions and bodies of the European Union,37250.92,52734.02,44628.37
Annual,European institutions and bodies,Taxes on products,Million euro,Institutions and bodies of the European Union,25046.93,34296.23,27201.15
Annual,European institutions and bodies,"Value added type taxes (VAT), revenue",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Other taxes on production, expenditure",Million euro,Institutions and bodies of the European Union,0.0,0.01,0.0
Annual,European institutions and bodies,"Other taxes on production, revenue",Million euro,Institutions and bodies of the European Union,12203.99,18437.79,17427.22
Annual,European institutions and bodies,"Subsidies on products, expenditure",Million euro,Institutions and bodies of the European Union,2312.35,2208.0,2548.38
Annual,European institutions and bodies,"Other subsidies on production, expenditure",Million euro,Institutions and bodies of the European Union,52333.37,54430.08,51153.62
Annual,European institutions and bodies,"Other subsidies on production, revenue",Million euro,Institutions and bodies of the European Union,216.18,15.23,0.0
Annual,European institutions and bodies,"Subsidies, expenditure",Million euro,Institutions and bodies of the European Union,54645.73,56638.08,53701.99
Annual,European institutions and bodies,"Interest, expenditure",Million euro,Institutions and bodies of the European Union,3438.93,4130.0,8255.48
Annual,European institutions and bodies,"Interest, revenue",Million euro,Institutions and bodies of the European Union,3226.12,4271.79,10107.12
Annual,European institutions and bodies,"Other property income, expenditure",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Other property income, revenue",Million euro,Institutions and bodies of the European Union,29.88,118.6,49.55
Annual,European institutions and bodies,"Property income, expenditure",Million euro,Institutions and bodies of the European Union,3438.93,4130.0,8255.48
Annual,European institutions and bodies,"Property income, revenue",Million euro,Institutions and bodies of the European Union,3256.0,4390.39,10156.67
Annual,European institutions and bodies,"Current taxes on income, wealth, etc., expenditure",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Current taxes on income, wealth, etc., revenue",Million euro,Institutions and bodies of the European Union,1020.08,1104.85,1147.27
Annual,European institutions and bodies,"Employers' actual social contributions, revenue",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Households' actual social contributions, revenue",Million euro,Institutions and bodies of the European Union,681.4,715.5,826.77
Annual,European institutions and bodies,"Net social contributions, revenue",Million euro,Institutions and bodies of the European Union,2194.14,2431.45,2643.53
Annual,European institutions and bodies,"Social benefits other than social transfers in kind, expenditure",Million euro,Institutions and bodies of the European Union,2209.85,2448.89,2664.43
Annual,European institutions and bodies,"Social benefits other than social transfers in kind and social transfers in kind - purchased market production, expenditure",Million euro,Institutions and bodies of the European Union,2211.36,2450.97,2666.91
Annual,European institutions and bodies,"Social transfers in kind, purchased market production, expenditure",Million euro,Institutions and bodies of the European Union,1.51,2.08,2.48
Annual,European institutions and bodies,"Other current transfers, expenditure",Million euro,Institutions and bodies of the European Union,58591.53,55631.03,69132.67
Annual,European institutions and bodies,"Other current transfers, revenue",Million euro,Institutions and bodies of the European Union,152544.02,139454.05,137541.85
Annual,European institutions and bodies,Adjustment for the change in pension entitlements,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Capital taxes, revenue",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,"Investment grants, expenditure",Million euro,Institutions and bodies of the European Union,58202.69,58511.29,65978.12
Annual,European institutions and bodies,"Investment grants and other capital transfers, revenue",Million euro,Institutions and bodies of the European Union,3639.89,2749.1,2336.95
Annual,European institutions and bodies,"Capital transfers, expenditure",Million euro,Institutions and bodies of the European Union,72249.98,86894.34,96298.11
Annual,European institutions and bodies,"Capital transfers, revenue",Million euro,Institutions and bodies of the European Union,3639.89,2749.1,2336.95
Annual,European institutions and bodies,Acquisitions less disposals of non-financial non-produced assets,Million euro,Institutions and bodies of the European Union,31.26,10.69,10.49
Annual,European institutions and bodies,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,Million euro,Institutions and bodies of the European Union,2011.91,1714.26,1261.9
Annual,European institutions and bodies,Total general government expenditure,Million euro,Institutions and bodies of the European Union,215603.94,234018.71,258699.85
Annual,European institutions and bodies,Total general government revenue,Million euro,Institutions and bodies of the European Union,201625.02,204377.86,199969.52
Annual,European institutions and bodies,Output,Million euro,Institutions and bodies of the European Union,23308.36,27839.88,28589.28
Annual,European institutions and bodies,Market output and output for own final use,Million euro,Institutions and bodies of the European Union,1260.58,1169.52,1188.33
Annual,European institutions and bodies,"Market output, output for own final use and payments for non-market output",Million euro,Institutions and bodies of the European Union,1503.78,1498.78,1514.89
Annual,European institutions and bodies,Non-market output,Million euro,Institutions and bodies of the European Union,22047.78,26670.37,27400.95
Annual,European institutions and bodies,Payments for non-market output,Million euro,Institutions and bodies of the European Union,243.2,329.26,326.56
Annual,European institutions and bodies,"Non-market output, other",Million euro,Institutions and bodies of the European Union,21804.58,26341.1,27074.39
Annual,European institutions and bodies,Intermediate consumption,Million euro,Institutions and bodies of the European Union,13544.95,17145.4,17402.73
Annual,European institutions and bodies,Final consumption expenditure,Million euro,Institutions and bodies of the European Union,21806.09,26343.18,27076.87
Annual,European institutions and bodies,Gross capital formation,Million euro,Institutions and bodies of the European Union,1980.65,1703.56,1251.41
Annual,European institutions and bodies,Consumption of fixed capital,Million euro,Institutions and bodies of the European Union,1070.03,1295.07,1206.49
Annual,European institutions and bodies,Gross fixed capital formation,Million euro,Institutions and bodies of the European Union,1980.65,1703.56,1251.41
Annual,European institutions and bodies,Changes in inventories and acquisitions less disposals of valuables,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
