Time frequency,Unit of measure,Type of schedule,Transport coverage,Traffic and transport measurement,Geopolitical entity (reporting)\Time,Août 2023,Septembre 2023,Octobre 2023,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Passenger,Total,International transport,Passengers carried,Austria,3400020.0,3192891.0,2932640.0,2253322.0,2471598.0,2196539.0,2292368.0,2652291.0,2792278.0,3059427.0,3269143.0,3595993.0,3625098.0,3330414.0,3134360.0,:
Monthly,Passenger,Total,International transport,Passengers carried,Belgium,3298557.0,3074079.0,2988093.0,2311889.0,2330679.0,2112768.0,2229378.0,2515147.0,2939924.0,3187264.0,3129027.0,3568179.0,3537447.0,:,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Bulgaria,1441839.0,1108136.0,761244.0,563543.0,631256.0,593574.0,566083.0,672840.0,719515.0,837240.0,1139513.0,1437739.0,1479215.0,1155920.0,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Switzerland,5148684.0,4855912.0,4932901.0,3461412.0,4093071.0,3634368.0,3928914.0,4484012.0,4765777.0,4939348.0,4936105.0,5507854.0,5515630.0,5155402.0,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Cyprus,1515527.0,1311331.0,1244085.0,665822.0,590695.0,515273.0,494240.0,666851.0,956258.0,1134425.0,1298231.0,1495756.0,1596392.0,1405449.0,1333450.0,:
Monthly,Passenger,Total,International transport,Passengers carried,Czechia,1835389.0,1649969.0,1339442.0,1016926.0,1100159.0,855096.0,963707.0,1185092.0,1269130.0,1436639.0,1849203.0,2118283.0,2091207.0,:,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Germany,18616135.0,17978809.0,17939524.0,12186909.0,11894818.0,10628326.0,10626016.0,13184965.0,15301874.0,17588334.0,17741793.0,19063826.0,19681043.0,:,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Denmark,2998640.0,2906710.0,2929963.0,2097385.0,2110372.0,1860384.0,2017711.0,2432159.0,2702887.0,3074494.0,3217078.0,3685587.0,3358394.0,:,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Estonia,277171.0,268163.0,278598.0,214420.0,219726.0,205154.0,196832.0,239086.0,292242.0,323134.0,322832.0,334943.0,343126.0,:,:,:
Monthly,Passenger,Total,International transport,Passengers carried,Greece,9151552.0,7703800.0,5198925.0,1785754.0,1593016.0,1362115.0,1340830.0,1779519.0,3247252.0,5961715.0,:,:,:,:,:,:
