Time frequency,Purpose,Duration,Country of destination,Expenditure and investment,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Ireland,483.28,482.55,493.96,507.27,519.34,516.32,506.04,527.57,369.2,409.17,523.9,598.47
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Italy,427.22,426.21,319.62 b,367.87,363.3,414.7,393.47,420.49,366.07,415.78,448.45,501.82
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Lithuania,202.28,212.66,207.99,215.37,232.69,241.01,246.87,241.39,171.5,172.0,241.11,250.22
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Luxembourg,748.66,760.67,800.04,777.84,811.08,763.53,823.08,945.86,781.34,891.61,1261.19,1213.83
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Latvia,115.09,137.42,128.35,132.99,124.39,155.34,162.71,219.92,142.96,174.98,226.27,278.88
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Montenegro,:,:,:,:,194.89,205.27,:,:,:,:,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,North Macedonia,:,:,:,:,:,:,:,207.38,135.16,197.85,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Malta,667.12,696.17,618.62 b,643.17,566.0,632.79,692.97,696.35,378.4,487.14,582.67,619.3
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Netherlands,337.00 b,349.2,351.37,358.36,376.54,477.35,486.57,487.16,274.17,363.86,543.45,573.35
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Norway,:,793.49,740.66,782.01,798.21,827.28,635.75,:,:,442.34,:,569.2
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Poland,290.57,262.93,187.55 b,198.2,199.31,216.07,228.32,236.13,199.33,201.5,253.05,284.39
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Portugal,113.95,108.77,147.63,161.6,145.19,155.51,172.9,200.97,182.79,198.91,236.23,251.68
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Romania,104.34,105.67,107.46,118.02,124.0,135.44,146.0,172.8,151.84,178.23,248.67,246.8
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Serbia,:,:,:,:,:,:,242.84,:,:,:,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Sweden,:,:,248.28,266.09,236.91,814.48,704.92,642.41,267.14,316.06,460.67,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Slovenia,228.29,215.73,228.66,251.78,251.74,245.88,268.02,266.04,183.69,282.76,324.67,345.91
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,Slovakia,337.67,257.38 b,247.74,270.31,235.75,249.49,249.24,267.51,188.02,220.89,283.81,350.32
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per trip,Euro,United Kingdom,: @C,383.99,:,:,:,:,:,:,:,:,:,:
