Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Albania,7.3,-0.7,3.0,-0.8,0.7,-1.8 p,0.3 p,-1.2 p,1.4 p,-0.9 p,3.5 p,0.3 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Austria,1.7,-0.1,0.1,0.8,-0.6,0.5,1.0,-1.1,-0.6,0.8,0.8,0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Belgium,1.1,1.7,2.8,2.1,2.8,-1.4 p,-0.4 p,-0.6 p,0.4 p,0.5 p,0.7 p,0.5 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Bulgaria,3.8,-1.9,2.0,1.2,2.3,3.4,0.7,1.0,1.0,-1.2 p,0.3 p,-0.1 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Switzerland,0.0,0.1,1.3,-0.6,-0.3,0.1,1.5,-0.5,0.0,0.7,0.5,-0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Cyprus,2.8,3.4,2.3,1.3,0.4,-0.6,-0.3,0.0,0.3,1.2,0.5,0.5
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Czechia,1.9,0.5,0.4,0.3,0.6,1.3,-0.7,-0.3,0.2,0.5,-0.4,0.2
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Germany,0.8 p,-0.2 p,0.3 p,0.3 p,-0.1 p,0.8 p,0.0 p,0.5 p,0.9 p,0.4 p,0.0 p,-0.2 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Denmark,1.3,-1.6,0.7,0.8,0.9,-0.2,0.1,0.2,-0.2,2.1,-1.1,-0.5
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.8,0.5,0.6,0.6,0.4,1.2,0.1,0.2,0.8,1.0,0.2,-0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Euro area - 19 countries  (2015-2022),0.8,0.5,0.6,0.6,0.4,1.2,0.1,0.1,0.8,1.0,0.2,-0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Euro area – 20 countries (from 2023),0.8,0.5,0.6,0.6,0.4,1.2,0.1,0.2,0.8,1.0,0.2,-0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Estonia,-2.7,4.9,-5.0,-1.2,7.5,-3.2,3.3,5.9,-4.4,-0.7,9.9,-1.0
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Greece,0.5,-0.3 p,0.2 p,0.8 p,1.3 p,1.8 p,1.4 p,1.0 p,0.5 p,-2.5 p,1.4 p,1.0 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Spain,2.3,2.9 p,-0.8 p,0.6 p,2.1 p,1.5 p,-0.5 p,-1.5 p,4.8 p,3.7 p,-1.5 p,0.5 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),European Union - 27 countries (from 2020),0.9,0.7,0.5,0.6,0.5,1.1,0.1,0.2,0.9,0.9,0.3,-0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Finland,1.6,-0.3,1.4,0.8,0.7,2.4,0.9,-0.4,0.7,-0.3,-0.1,0.6
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),France,0.2,0.3,0.6,0.3,0.0,0.0,0.3,0.1,0.2,0.2,0.2,0.2
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Croatia,7.1,-4.3,2.2,5.1,1.0,-1.9 p,-0.4 p,5.2 p,0.2 p,-0.3 p,1.0 p,0.2 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Hungary,0.8,4.5,2.3,1.8,1.9,0.3 p,1.9 p,0.6 p,1.3 p,0.1 p,0.4 p,-0.1 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Ireland,3.0,-1.4,3.3,0.4,0.5,6.7,2.3,1.3,0.4,-1.7,1.2,2.6
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Italy,0.8,0.1,1.1,1.0,0.9,2.7,0.6,0.5,0.2,2.2,1.0,-0.8
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Lithuania,1.2,2.1,-0.8,1.3,0.2,-0.3,1.2,-1.0,0.0,-0.1,-0.1,1.4
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Luxembourg,1.4,1.5,0.0,-0.6,-0.2,1.1,0.3,0.6,0.5,-0.5 p,0.6 p,0.6 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Latvia,1.6,-0.2,2.3,1.5,0.5,1.6,-0.1,1.2,-0.5,-1.8,-1.1,-1.2
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),North Macedonia,5.4,7.3,3.3,1.9,2.9,0.9 p,2.7 p,2.1 p,0.3 p,-0.8 e,0.8 e,0.3 e
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Malta,-2.2,-4.0,1.4,2.5,8.1,9.7,2.4,4.6,1.0,4.5,0.4,-0.2
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Netherlands,0.5,-0.2,2.4,0.5,1.0,0.1,0.2,0.4,0.1,0.7,0.2,0.6
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Norway,2.5,0.4,1.3,-0.1,0.9,0.2,0.1,0.0,0.5,0.5,0.1,:
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Poland,1.5,0.7,-0.5,-0.2,-0.6,1.0,0.7,1.8,1.9,2.3,2.0,0.9
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Portugal,0.4,0.6,0.6,0.6,0.6,0.7 e,0.5 e,0.3 e,0.2 e,0.0 e,0.1 e,0.1 e
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Romania,2.6,5.2,0.3,3.4,0.1,-1.8 p,1.6 p,-0.5 p,2.9 p,-5.6 p,1.5 p,0.9 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Serbia,0.6,0.9,0.5,0.4,0.4,-0.9,0.2,0.2,0.1,0.5,0.1,0.1
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Sweden,0.6,2.6,-1.7,2.0,0.1,2.3,-1.5,-0.1,1.2,0.2,2.7,1.0
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Slovenia,0.2,1.2,0.1,-0.1,-0.2,0.1,0.3,0.5,1.2,0.6,0.6,0.4
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Slovakia,-0.7,6.7,-1.6,2.2,-4.1,-4.3,3.0,-0.4,-1.3,-0.8,5.5,-2.2
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-1 (SCA),Türkiye,0.9,2.8,1.2,0.8,1.3,0.9,0.7,0.7,1.1,0.1,1.2,0.4
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Albania,7.0,7.8,8.1,8.9,2.2,1.1 p,-1.7 p,-2.1 p,-1.4 p,-0.5 p,2.7 p,4.3 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Austria,3.1,3.8,3.0,2.5,0.1,0.8,1.6,-0.3,-0.3,0.0,-0.2,1.0
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Bosnia and Herzegovina,1.5,3.6,-0.5,-0.5,-1.7,-0.5,-0.9,-1.1,-0.9,-0.1,1.1,0.9
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Belgium,4.6,5.3,6.7,7.8,9.7,6.3 p,3.0 p,0.3 p,-2.1 p,-0.1 p,1.0 p,2.1 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Bulgaria,15.8,3.6,2.7,3.3,5.4,9.0,7.7,9.2,6.3,0.2 p,0.5 p,1.2 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Switzerland,0.9,3.3,2.6,0.7,0.6,0.6,0.6,1.1,0.8,1.4,1.2,1.0
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Cyprus,9.1,11.1,11.4,10.2,7.6,3.5,0.8,-0.5,-0.6,1.1,1.9,2.5
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Czechia,1.3,2.8,3.0,2.7,2.1,2.7,1.5,0.6,0.7,-0.8,-0.3,1.0
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Germany,3.3 p,3.7 p,2.0 p,1.2 p,0.3 p,1.1 p,0.9 p,1.1 p,2.2 p,1.8 p,1.9 p,1.1 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Denmark,3.9,0.0,0.3,1.1,0.7,2.3,1.6,0.8,-0.1,2.5,1.0,0.3
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2.4,3.6,3.0,2.4,2.1,2.8,2.2,1.9,2.4,2.1,2.3,1.9
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Euro area - 19 countries  (2015-2022),2.4,3.6,3.0,2.4,2.1,2.8,2.2,1.9,2.4,2.0,2.2,1.9
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Euro area – 20 countries (from 2023),2.4,3.6,3.0,2.4,2.1,2.8,2.2,1.9,2.4,2.1,2.3,1.9
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Estonia,-8.4,-7.6,-5.2,-3.6,5.8,-4.1,7.3,15.2,1.0,2.5,11.6,3.6
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Greece,7.6,3.8 p,1.8 p,1.2 p,2.0 p,4.3 p,5.5 p,5.7 p,4.8 p,0.4 p,0.4 p,0.4 p
Quarterly,"Value added, gross",Real estate activities,Percentage change q/q-4 (NSA),Spain,1.1,7.1 p,5.6 p,4.1 p,4.6 p,3.8 p,3.1 p,1.5 p,4.7 p,6.9 p,5.8 p,7.0 p
