Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Collective living quarters,Number,Austria,93537.0
Annual,Collective living quarters,Number,Belgium,140070.0
Annual,Collective living quarters,Number,Bulgaria,55687.0
Annual,Collective living quarters,Number,Switzerland,432697.0
Annual,Collective living quarters,Number,Cyprus,426.0
Annual,Collective living quarters,Number,Czechia,71181.0
Annual,Collective living quarters,Number,Germany,271200.0
Annual,Collective living quarters,Number,Estonia,25956.0
Annual,Collective living quarters,Number,Greece,362109.0
Annual,Collective living quarters,Number,Spain,251510.0
Annual,Collective living quarters,Number,France,1153324.0
Annual,Collective living quarters,Number,Hungary,248386.0
Annual,Collective living quarters,Number,Ireland,0.0
Annual,Collective living quarters,Number,Italy,401723.0
Annual,Collective living quarters,Number,Liechtenstein,1225.0
Annual,Collective living quarters,Number,Lithuania,33647.0
Annual,Collective living quarters,Number,Latvia,22763.0
Annual,Collective living quarters,Number,Netherlands,204752.0
Annual,Collective living quarters,Number,Poland,417339.0
Annual,Collective living quarters,Number,Portugal,103573.0
Annual,Collective living quarters,Number,Romania,43250.0
Annual,Collective living quarters,Number,Slovenia,21812.0
Annual,Collective living quarters,Number,Slovakia,43403.0
Annual,Collective living quarters,Number,United Kingdom,1045794.0
Annual,Conventional dwellings,Number,Belgium,9770014.0
Annual,Conventional dwellings,Number,Bulgaria,7827231.0
Annual,Conventional dwellings,Number,Switzerland,6834536.0
Annual,Conventional dwellings,Number,Cyprus,683412.0
Annual,Conventional dwellings,Number,Czechia,10101302.0
Annual,Conventional dwellings,Number,Germany,76590300.0
Annual,Conventional dwellings,Number,Estonia,1335142.0
Annual,Conventional dwellings,Number,Greece,9946594.0
Annual,Conventional dwellings,Number,Spain,40587544.0
Annual,Conventional dwellings,Number,Finland,5081354.0
Annual,Conventional dwellings,Number,France,57220124.0
Annual,Conventional dwellings,Number,Hungary,9933033.0
Annual,Conventional dwellings,Number,Ireland,3770742.0
Annual,Conventional dwellings,Number,Italy,56522845.0
Annual,Conventional dwellings,Number,Liechtenstein,30987.0
Annual,Conventional dwellings,Number,Lithuania,3362666.0
Annual,Conventional dwellings,Number,Latvia,2120014.0
Annual,Conventional dwellings,Number,Netherlands,15476571.0
Annual,Conventional dwellings,Number,Poland,37801241.0
Annual,Conventional dwellings,Number,Portugal,10169722.0
Annual,Conventional dwellings,Number,Romania,21401727.0
Annual,Conventional dwellings,Number,Slovenia,1944579.0
Annual,Conventional dwellings,Number,Slovakia,5296477.0
Annual,Conventional dwellings,Number,United Kingdom,57578724.0
Annual,Occupied conventional dwellings,Number,Austria,7880478.0
Annual,Occupied conventional dwellings,Number,Belgium,9770014.0
Annual,Occupied conventional dwellings,Number,Bulgaria,7827231.0
Annual,Occupied conventional dwellings,Number,Switzerland,6834536.0
Annual,Occupied conventional dwellings,Number,Cyprus,683412.0
Annual,Occupied conventional dwellings,Number,Czechia,10101302.0
Annual,Occupied conventional dwellings,Number,Germany,76590300.0
Annual,Occupied conventional dwellings,Number,Estonia,1335142.0
Annual,Occupied conventional dwellings,Number,Greece,9946594.0
Annual,Occupied conventional dwellings,Number,Spain,40587544.0
Annual,Occupied conventional dwellings,Number,Finland,5081354.0
Annual,Occupied conventional dwellings,Number,France,57220124.0
Annual,Occupied conventional dwellings,Number,Hungary,9933033.0
Annual,Occupied conventional dwellings,Number,Ireland,3770742.0
Annual,Occupied conventional dwellings,Number,Italy,56522845.0
Annual,Occupied conventional dwellings,Number,Liechtenstein,30987.0
Annual,Occupied conventional dwellings,Number,Lithuania,3350877.0
Annual,Occupied conventional dwellings,Number,Latvia,2120014.0
Annual,Occupied conventional dwellings,Number,Netherlands,15476571.0
Annual,Occupied conventional dwellings,Number,Poland,37801241.0
Annual,Occupied conventional dwellings,Number,Portugal,10169722.0
Annual,Occupied conventional dwellings,Number,Romania,21345033.0
Annual,Occupied conventional dwellings,Number,Slovenia,1944579.0
Annual,Occupied conventional dwellings,Number,Slovakia,5295951.0
Annual,Occupied conventional dwellings,Number,United Kingdom,57578724.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Switzerland,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Cyprus,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Germany,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Estonia,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Greece,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Ireland,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Lithuania,9016.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Latvia,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Romania,56694.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Slovakia,526.0
Annual,Vacant conventional dwellings,Number,Switzerland,0.0
Annual,Vacant conventional dwellings,Number,Cyprus,0.0
Annual,Vacant conventional dwellings,Number,Germany,0.0
Annual,Vacant conventional dwellings,Number,Estonia,0.0
Annual,Vacant conventional dwellings,Number,Greece,0.0
Annual,Vacant conventional dwellings,Number,Ireland,0.0
Annual,Vacant conventional dwellings,Number,Lithuania,2773.0
Annual,Vacant conventional dwellings,Number,Latvia,0.0
Annual,Vacant conventional dwellings,Number,Romania,0.0
Annual,Non conventional housing (excl. homelessness),Number,Austria,58911.0
Annual,Non conventional housing (excl. homelessness),Number,Belgium,12455.0
Annual,Non conventional housing (excl. homelessness),Number,Bulgaria,19698.0
Annual,Non conventional housing (excl. homelessness),Number,Switzerland,20777.0
Annual,Non conventional housing (excl. homelessness),Number,Cyprus,1442.0
Annual,Non conventional housing (excl. homelessness),Number,Czechia,57577.0
Annual,Non conventional housing (excl. homelessness),Number,Germany,26600.0
Annual,Non conventional housing (excl. homelessness),Number,Estonia,1926.0
Annual,Non conventional housing (excl. homelessness),Number,Greece,40366.0
Annual,Non conventional housing (excl. homelessness),Number,Spain,8317.0
Annual,Non conventional housing (excl. homelessness),Number,Hungary,12267.0
Annual,Non conventional housing (excl. homelessness),Number,Ireland,20574.0
Annual,Non conventional housing (excl. homelessness),Number,Italy,58138.0
Annual,Non conventional housing (excl. homelessness),Number,Liechtenstein,32.0
Annual,Non conventional housing (excl. homelessness),Number,Lithuania,1134.0
Annual,Non conventional housing (excl. homelessness),Number,Latvia,0.0
Annual,Non conventional housing (excl. homelessness),Number,Netherlands,304215.0
Annual,Non conventional housing (excl. homelessness),Number,Poland,11500.0
Annual,Non conventional housing (excl. homelessness),Number,Portugal,81983.0
Annual,Non conventional housing (excl. homelessness),Number,Romania,13763.0
Annual,Non conventional housing (excl. homelessness),Number,Slovenia,3068.0
Annual,Non conventional housing (excl. homelessness),Number,Slovakia,39575.0
Annual,Non conventional housing (excl. homelessness),Number,United Kingdom,163733.0
