Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Restaurants and hotels,"Index, 2015=100",Albania,115.61 d,115.65 d,115.72 d,115.79 d,115.85 d,115.90 d,116.20 d,116.34 d,116.36 d,118.02 d,118.84 d,118.91 d
Monthly,Restaurants and hotels,"Index, 2015=100",Austria,152.88,155.2,154.82,155.22,155.91,157.18,157.83,158.68,157.88,158.32,159.05,162.61
Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,134.63,136.13,136.17,138.32,139.26,139.16,144.29,144.27,140.15,141.06,139.72,142.7
Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,160.56,162.42,163.01,160.49,161.64,169.21,184.09,182.65,170.57,170.73,171.36,172.56
Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,109.82,110.3,110.1,109.65,109.85,110.52,110.97,110.75,110.75,110.13,109.46,109.98
Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,118.16,118.69,120.17,121.14,124.07,126.57,129.31,132.05,130.62,128.07,125.3,124.31
Monthly,Restaurants and hotels,"Index, 2015=100",Czechia,180.4,181.7,183.3,185.0,186.5,187.2,188.3,188.7,189.5,189.8,190.1,190.7
Monthly,Restaurants and hotels,"Index, 2015=100",Germany,137.4,138.3,139.3,140.3,141.3,142.5,142.6,143.0,143.2,143.1,142.6,142.8
Monthly,Restaurants and hotels,"Index, 2015=100",Denmark,129.2,130.8,128.8,130.7,132.4,134.6,144.6,139.4,132.4,133.6,128.6,131.6
Monthly,Restaurants and hotels,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",128.66,129.81,130.85,132.97,134.64,135.77,137.72,138.47,136.64,135.96,133.79,134.19
Monthly,Restaurants and hotels,"Index, 2015=100",Euro area - 19 countries  (2015-2022),128.59,129.74,130.76,132.86,134.53,135.6,137.46,138.21,136.46,135.79,133.64,134.04
Monthly,Restaurants and hotels,"Index, 2015=100",Euro area – 20 countries (from 2023),128.76,129.91,130.95,133.07,134.74,135.87,137.82,138.58,136.74,136.06,133.89,134.29
Monthly,Restaurants and hotels,"Index, 2015=100",Estonia,150.88,151.48,151.3,154.8,156.94,159.56,162.59,160.02,158.18,158.39,156.54,157.22
Monthly,Restaurants and hotels,"Index, 2015=100",Greece,120.73,121.31,124.81,128.95,128.8,131.79,134.46,133.2,134.19,134.69,128.45,129.05
