Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage of gross domestic product (GDP),Belarus,4.6 d,4.4 d,4.5 d,3.9 d,3.8 d,3.8 d,3.4 d,3.7 d,3.8 d,3.7 d,3.9 d,4.2 d,4.1 d,4.0 d,4.1 d,4.7 d
Annual,Percentage of gross domestic product (GDP),Georgia,4.5 d,5.6 d,5.5 d,5.7 d,6.7 d,6.8 d,6.0 d,6.0 d,6.5 d,6.5 d,6.0 dp,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Moldova,:,:,:,:,:,:,:,:,:,10.0 e,10.1 e,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Ukraine,6.4 de,6.4 de,6.4 de,6.7 de,7.8 de,7.6 de,7.1 de,7.5 de,7.6 de,7.4 de,7.8 de,7.6 de,7.5 de,7.4 de,7.4 de,7.8 de
