Time frequency,Sex,Age class,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Austria,73.1 b,73.1 b,73.9 b,74.6,73.7,73.5,74.8,74.9,74.5,73.1 b,73.4,74.0,73.6,74.1,75.6,73.2,74.7 b,76.7,76.4
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.9 b,43.9,45.6
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Belgium,63.7 b,64.0,64.5,64.5 b,61.8,61.0,60.5 b,59.4,57.9,57.8 b,57.6,57.6,57.5 b,58.9,60.9,58.1,59.2 b,60.1,60.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Bulgaria,53.3 b,56.5 b,59.4,61.9 b,57.8,54.1 b,50.5 b,49.9,48.5,50.0 b,52.0,51.1,56.3,55.8,58.5 b,54.8,51.3 b,56.0,56.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Switzerland,78.4 b,80.3,80.3,80.7,77.9,78.0 b,79.0,78.5,77.7,78.4 b,79.2,79.5,80.2,80.1,79.9,79.2,79.1 b,79.3,79.8
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Cyprus,73.1 b,74.7,74.8,74.1,71.9 b,70.6,67.4,63.3,58.3,60.5 b,59.9,60.5,62.6,66.4,69.2,68.0,69.8 b,71.2,71.5
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Czechia,62.0 b,62.6,63.8,63.1,60.1,58.4,58.2 b,57.8,59.1,60.2 b,61.8,63.4,65.7,66.4,66.6,63.7,63.6 b,64.1,64.6
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Germany,64.3 b,66.4 b,68.1,69.5,68.8,69.5 b,71.4 b,71.0 b,71.2,71.2 b,71.4,71.6,72.0,73.3,74.4,73.0 b,73.6 b,75.7,76.8
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Denmark,75.3 b,77.1,78.2 b,77.5 b,73.4,69.1,68.4,66.1,66.1,66.5 b,67.4,66.9 b,67.3 b,68.9,69.5,68.8,70.8 b,73.5,73.0 b
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Euro area – 20 countries (from 2023),63.4 b,64.6,65.6,65.5,62.4,61.0,60.5,58.9,57.7,57.9 b,58.7,59.8,60.9,62.1,63.0,60.4,62.5 b,65.2,66.1
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Estonia,65.3 b,68.5,68.5,69.8,59.2,56.2,61.5,61.8,62.9,65.5 b,68.5,68.1,72.6,74.4,73.4,69.5,72.2 b,76.3,75.8
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Greece,56.6 b,57.6,57.7,58.0,57.3 b,53.5,46.4,40.2,36.7,38.3 b,40.3,41.0,42.2,44.1,46.0,43.8,45.4 b,50.5,52.6
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Spain,67.2 b,69.0 b,69.4,66.2,57.7,54.7,51.7,46.9,44.6,45.7 b,47.1,48.6,51.4,53.2,53.8,48.6,51.5 bd,55.2 d,56.3 d
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,European Union - 27 countries (from 2020),61.6 b,62.9,64.0,64.4,61.5,60.3,59.8,58.5,57.7,58.2 b,59.3,60.4,61.8,62.9,63.7,61.3,62.8 b,65.1,66.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Finland,67.8 b,69.0,71.3 b,72.4 b,67.3,67.0,67.8,67.8,66.9,65.5 b,64.6,65.9,66.7,68.4,69.5,66.9,67.9 b,69.1,68.8
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,France,63.4 b,63.6 b,64.5,65.2,63.7,63.1,62.3,61.1,60.9 b,60.3 b,60.9,61.5,62.2,63.4,63.4,61.5,65.2 bd,67.2 d,67.5 d
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Croatia,55.7 b,55.9 b,60.7,61.6,59.1,55.2 b,49.8,46.2 b,44.6,48.1 b,49.3,54.9,56.0,55.7,59.0,57.7,57.7 b,61.1,59.3
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Hungary,56.8 b,56.6,56.0,54.8,51.2,50.1,50.2,50.4,52.2,56.7 b,58.5,61.7,63.8,64.3 b,64.2,63.6,66.7 b,67.3,66.3
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Ireland,75.7 b,77.1,81.6 b,77.7,68.5,63.7,61.3,61.3,63.5,64.3 b,66.3,70.0,70.2 b,71.0,72.1,66.8,70.3 b,75.2,75.7
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Iceland,78.0 b,79.7,81.4,79.1,69.6,69.4,71.1,73.0,76.9,77.8 b,81.9,84.3,82.9,83.0,82.2,77.8 b,74.3 b,79.0,79.6
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Italy,53.6 b,54.3,53.5,53.4,49.9,47.5,46.7,45.1,41.0,40.0 b,40.3,42.1,42.7,43.5 b,45.0,42.4,44.4 b,48.2,49.4
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Lithuania,59.7 b,62.3,62.1,61.8,55.9,50.7,52.2,55.7,58.4,62.5 b,64.3,66.1,67.3,69.4,68.7,65.0,67.0 b,70.8,69.5
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Luxembourg,63.8 b,62.2,61.1 b,59.5,63.2 b,60.5,59.1,59.5,57.5,60.1 b,63.9 b,63.0,63.3,63.9,66.3,62.2,65.6 b,63.9,66.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Latvia,64.8 b,68.5,70.1,71.0,57.2,56.0,57.6,60.8,62.2,65.1 b,67.5,67.7,70.7,71.0,71.2,68.0,66.6 b,68.7,69.5
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Montenegro,:,:,:,:,:,:,38.2,40.9,42.9,44.7 b,46.5,48.8,48.8,48.6,52.5,43.2,:,:,:
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,North Macedonia,:,31.6,33.4,34.9,36.5,36.4,34.8,35.6,36.3,36.8 b,37.5,38.3,40.5,42.0,46.6,45.5,:,:,:
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Malta,72.6 b,74.2,75.0,76.1,73.3,73.4,74.0 b,74.5,77.1,76.5 b,75.1,76.7,78.5,81.4,80.6,78.8,78.8 b,82.2,82.9
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Netherlands,76.6 b,78.2 b,80.2,80.4,79.6,77.2,77.5,76.8,75.3 b,74.1 b,75.8,75.9,76.5,77.4,78.4 b,76.6,82.5 b,83.5,83.9
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Norway,73.1 b,75.6 b,77.2,78.3,75.2,72.9,72.9,73.3,73.0,71.9 b,71.8,71.1,71.1,73.0,73.4,73.0,74.1 b,77.1,77.1
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Poland,52.1 b,55.3,58.6,62.0,61.5,59.9 b,59.1,58.6,58.1,60.2 b,61.1,64.2,65.9,67.8,69.0 b,65.7,66.5 b,67.4,69.3
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Portugal,66.6 b,66.7,66.4,67.7,65.1,61.8,60.8 b,56.0,52.7,55.2 b,56.5,57.7,62.2,64.2,64.8,59.2,58.8 b,61.7,64.8
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Romania,55.5 b,54.7,54.7,53.8,51.7,54.0 b,53.3,53.6,53.8,55.2 b,57.8,56.3,59.4,59.5,59.1,59.1,54.9 b,53.7,53.1
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Serbia,:,:,:,:,:,36.6,35.5,36.6,36.6,39.4 b,41.0,44.0,46.9,49.2,50.2,49.3,54.4 b,56.7,55.5
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Sweden,67.6 b,69.1 b,71.8,71.9,67.2,66.6,68.4,67.2,67.9,68.5 b,69.7,70.9,71.7,71.7 b,70.8,68.5,69.2 b,71.6,72.4
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Slovenia,66.5 b,65.7,68.5,69.5,64.7,63.0,60.9,58.5,56.2,55.1 b,59.3,60.6,67.1,68.5,68.9,63.9,62.6 b,65.5,67.3 b
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Slovakia,57.6 b,59.4,60.7,60.2,55.7,52.9,52.0 b,52.2,51.9,53.2 b,57.1,59.4,60.7,61.4,61.1,58.5,58.5 b,60.6,61.2
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,Türkiye,:,47.0,47.5,47.7,46.1,48.3,50.6,50.8,51.8,52.2 b,52.9,52.7,53.4,53.6,51.3,47.6,51.5 b,54.8,57.0
Annual,Total,From 20 to 29 years,Percentage,All ISCED 2011 levels,United Kingdom,74.4 b,74.9,74.7 b,74.0 b,70.9,70.7 b,69.9 b,69.7,70.7,72.6 b,74.2,75.4,76.4,75.9,77.0,:,:,:,:
