Time frequency,Information society indicator,Individual type,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2019.0
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Austria,64.0,65.46,67.45,65.55
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Belgium,60.29,60.9,60.56,60.83
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Bulgaria,31.22,26.25,29.49,29.4
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Switzerland,:,:,75.50 b,76.80 b
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Cyprus,42.55,42.92,50.38,45.03
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Czechia,56.89,53.8,59.85,62.10 b
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Germany,66.71,67.54,68.18,70.16
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Denmark,74.91,77.57,71.19,69.98
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",56.72,57.05,57.71,58.78
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Estonia,64.51,60.32,60.31,61.58
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Greece,44.01,45.85,46.16,50.52
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Spain,53.9,53.35,54.77,57.2
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,European Union - 15 countries (1995-2004),59.09,59.65,60.52,:
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,European Union - 27 countries (2007-2013),55.37,56.17,57.32,:
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,European Union - 27 countries (from 2020),53.74,54.34,55.25,56.06
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,European Union - 28 countries (2013-2020),55.33,56.16,57.19,58.32
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Finland,73.97,73.05,75.55,76.47
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,France,56.78,55.65,57.13,57.3
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Croatia,50.91,54.61,40.92,53.35
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Hungary,49.52,51.36,49.59,48.68
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Ireland,44.38,44.19,47.64,53.38
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Iceland,:,:,85.4,85.37
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Italy,43.3,43.65,: u,41.51 b
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Lithuania,51.24,51.59,54.78,56.15
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Luxembourg,86.21,86.15,85.18,64.58 b
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Latvia,49.2,50.36 b,48.07,42.96 b
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Montenegro,:,:,49.6,: u
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,North Macedonia,37.08,33.9,32.49,31.55
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Malta,52.68,49.61,56.59,55.82
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Netherlands,72.43,76.51,79.49,79.37
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Norway,79.86,74.76,77.02,82.55
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Poland,40.04,44.42,46.38,44.45
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Portugal,47.63,47.65,50.26,51.76
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Romania,26.28,27.65,29.05,30.97
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Serbia,31.89,:,38.87,45.72
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Sweden,71.58,68.64 b,77.2,72.42 u
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Slovenia,50.9,52.91,54.0,55.13
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Slovakia,53.15,55.26,59.01,53.87
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,Türkiye,23.31,28.39,34.11,35.81
Annual,Individuals who have basic or above basic overall digital skills,All individuals,Percentage of individuals,United Kingdom,67.27,68.75,70.55,73.89
