Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Netherlands,:,0 bd,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 bd,0 d
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Norway,:,:,:,:,:,:,:,:,:,:,0 e,0 e
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Portugal,0.12,0.02 b,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Russia,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Sweden,0.01 e,0.01,0.01 e,0.01,0.01 e,0.0,0.0,0 e,0 e,0 e,0.01 e,0.01 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.02 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,United Kingdom,0.03 e,0.03,0.03 e,0.03,0.04 e,0.04,0.04,0.04 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,United States,0.11 de,0.11 de,0.11 de,0.11 de,0.12 bd,0.12 de,0.12 de,0.12 de,0.13 d,0.12 d,0.11 de,:
Annual,Percentage of gross domestic product (GDP),All sectors,Austria,2.93 e,2.98,3.11 e,3.07,3.13 e,3.07,3.11 e,3.14,3.21 e,3.26,3.18 e,3.29 p
Annual,Percentage of gross domestic product (GDP),All sectors,Bosnia and Herzegovina,0.27,0.32,0.26,:,:,:,:,0.19,0.2,0.19,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,Belgium,2.27,2.32,2.36,2.43,2.53,2.68,2.86,3.15,3.37,3.41,3.29 e,3.32 p
Annual,Percentage of gross domestic product (GDP),All sectors,Bulgaria,0.6,0.63,0.79,0.95,0.77,0.74,0.76,0.84,0.85,0.77,0.75,0.79 p
Annual,Percentage of gross domestic product (GDP),All sectors,Switzerland,2.87,:,:,3.08,:,3.08,:,3.2,:,3.3,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,China except Hong Kong,1.91,2.0,2.02,2.06,2.1,2.12,2.14,2.24,2.41,2.43,2.56,:
Annual,Percentage of gross domestic product (GDP),All sectors,Cyprus,0.44,0.48,0.51,0.48,0.52,0.54,0.61,0.7,0.83,0.78,0.7,0.68 p
Annual,Percentage of gross domestic product (GDP),All sectors,Czechia,1.76,1.87,1.94,1.91,1.65,1.75,1.88,1.9,1.95,1.93,1.89,1.83 p
Annual,Percentage of gross domestic product (GDP),All sectors,Germany,2.82,2.78,2.82,2.88,2.88,2.99,3.05,3.11,3.09,3.08,3.07,3.11 p
Annual,Percentage of gross domestic product (GDP),All sectors,Denmark,2.98,2.96,2.92,3.06,3.1,2.94,2.98,2.95 p,2.97,2.74 p,2.87,2.99 p
Annual,Percentage of gross domestic product (GDP),All sectors,Euro area - 19 countries  (2015-2022),2.08 e,2.1 e,2.12 e,2.12,2.13 e,2.16,2.2 e,2.24,2.31 e,2.27,2.25 e,2.25 e
Annual,Percentage of gross domestic product (GDP),All sectors,Euro area – 20 countries (from 2023),2.08 e,2.1 e,2.12 e,2.11,2.12 e,2.16,2.19 e,2.23,2.31 e,2.27,2.24 e,2.25 e
Annual,Percentage of gross domestic product (GDP),All sectors,Estonia,2.1,1.7,1.41,1.44,1.22,1.25,1.38,1.59,1.73,1.75,1.76,1.84
Annual,Percentage of gross domestic product (GDP),All sectors,Greece,0.72,0.82,0.85,0.97,1.01,1.15,1.21,1.26,1.49,1.43,1.48,1.49 p
Annual,Percentage of gross domestic product (GDP),All sectors,Spain,1.29,1.27,1.23,1.21,1.18,1.2,1.23,1.24,1.4,1.4,1.41,1.49 p
Annual,Percentage of gross domestic product (GDP),All sectors,European Union - 27 countries (from 2020),2.06 e,2.08 e,2.09 e,2.1,2.1 e,2.14,2.17 e,2.21 e,2.28 e,2.24 e,2.21 e,2.22 e
Annual,Percentage of gross domestic product (GDP),All sectors,Finland,3.41,3.28,3.16,2.89,2.75,2.75,2.78,2.82,2.93,3.01,2.98,3.09
Annual,Percentage of gross domestic product (GDP),All sectors,France,2.23,2.23,2.22,2.22,2.22,2.2,2.2,2.2,2.27,2.21,2.22,2.19 p
Annual,Percentage of gross domestic product (GDP),All sectors,Croatia,0.74,0.79,0.77,0.82,0.85,0.84,0.95,1.08,1.24,1.24,1.42,1.39 p
Annual,Percentage of gross domestic product (GDP),All sectors,Hungary,1.26,1.38,1.34,1.34,1.18,1.31,1.5 b,1.46,1.58,1.63,1.39 d,1.39 d
Annual,Percentage of gross domestic product (GDP),All sectors,Ireland,1.55 e,1.54 e,1.48,1.14,1.15,1.21,1.08 e,1.14,1.12,1.07,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,Iceland,:,1.69 b,1.94,2.18,2.11,2.08,2.0,2.34,2.49,2.78,2.59,2.53
Annual,Percentage of gross domestic product (GDP),All sectors,Italy,1.26,1.29,1.33 e,1.33,1.36 b,1.36,1.42,1.46,1.5,1.41,1.37,1.31 p
Annual,Percentage of gross domestic product (GDP),All sectors,Japan,3.17,3.28 b,3.37,3.24,3.11,3.17,3.22 b,3.22,3.26,3.28,3.41,:
Annual,Percentage of gross domestic product (GDP),All sectors,South Korea,3.69,3.77,3.89,3.79,3.79,4.07,4.27,4.36,4.52,4.6,4.85,:
Annual,Percentage of gross domestic product (GDP),All sectors,Lithuania,0.9,0.95,1.03,1.04,0.84,0.9,0.93,0.99,1.12,1.1,1.05,1.05 p
Annual,Percentage of gross domestic product (GDP),All sectors,Luxembourg,1.21 b,1.23,1.22,1.25,1.27,1.24,1.17,1.18,1.1 e,1.04,1.05,1.03 p
Annual,Percentage of gross domestic product (GDP),All sectors,Latvia,0.69,0.64,0.71,0.64,0.45,0.53,0.66,0.66,0.76,0.77,0.81,0.83
Annual,Percentage of gross domestic product (GDP),All sectors,Montenegro,:,0.37,0.36,0.37,0.32,0.35,0.5,0.36,:,:,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,North Macedonia,:,:,:,0.44,0.44,0.35,0.36,0.37,0.37,:,0.37,:
Annual,Percentage of gross domestic product (GDP),All sectors,Malta,0.79,0.73,0.68,0.7,0.54,0.53,0.55,0.55,0.6,0.6,0.58,0.61
Annual,Percentage of gross domestic product (GDP),All sectors,Netherlands,1.9 b,2.14 b,2.15,2.12,2.12,2.14,2.1,2.14,2.27,2.22,2.18 b,2.08 e
Annual,Percentage of gross domestic product (GDP),All sectors,Norway,1.61,1.64,1.7,1.92,2.03,2.08,2.03,2.14,2.24,1.89,1.56,1.84 p
Annual,Percentage of gross domestic product (GDP),All sectors,Poland,0.88,0.88,0.95,1.0,0.96,1.03,1.19,1.31,1.37,1.42,1.44,1.56 p
Annual,Percentage of gross domestic product (GDP),All sectors,Portugal,1.38,1.32,1.29,1.25,1.28,1.32,1.35,1.39,1.61,1.67,1.69,1.69 p
Annual,Percentage of gross domestic product (GDP),All sectors,Romania,0.46,0.39,0.38,0.49,0.49,0.51,0.5,0.47,0.46,0.47,0.46,0.52 p
Annual,Percentage of gross domestic product (GDP),All sectors,Serbia,0.82,0.66,0.69,0.78,0.81,0.84,0.88,0.85,0.86,0.95,0.92,0.88
Annual,Percentage of gross domestic product (GDP),All sectors,Russia,1.03,1.03,1.07,1.1,:,1.11,0.99,1.04,:,:,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,Sweden,3.25 e,3.28 e,3.12 e,3.24,3.26 e,3.39,3.35,3.4,3.5,3.42,3.47,3.57 p
Annual,Percentage of gross domestic product (GDP),All sectors,Slovenia,2.58,2.59,2.39,2.22,2.03,1.88,1.96,2.06,2.16,2.14,2.1,2.13 p
Annual,Percentage of gross domestic product (GDP),All sectors,Slovakia,0.79,0.82,0.87,1.15,0.79,0.88,0.83,0.82,0.89,0.9,0.98,1.04
Annual,Percentage of gross domestic product (GDP),All sectors,Türkiye,0.83,0.81,0.86,0.97,1.12,1.18,1.27,1.32,1.37,1.4,1.32,:
Annual,Percentage of gross domestic product (GDP),All sectors,United Kingdom,1.58 e,1.62,1.64 e,1.65,1.66 e,1.68,1.73,1.76 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),All sectors,United States,2.67 d,2.7 d,2.71 d,2.77 bd,2.84 bd,2.88 d,2.99 d,3.15 d,3.42 d,3.48 bd,3.59 dp,:
