Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million tonne-kilometre (TKM),Austria,4240.0,4550.0,4442.0,4696.0,3748.0,4581.0,4218.0,4515.0,3932.0,4585.0,4522.0,4832.0,4526.0,4718.0,4454.0,4719.0,4265.0,4865.0,4601.0,4459.0,3453.0,3800.0,3896.0,4206.0,3945.0,4650.0,4621.0,4671.0,4400.0,4847.0,4475.0,4566.0,4170.0,4608.0,4310.0,4181.0,4264.0,4372.0,4713.0,4662.0,4491.0,5147.0,4922.0,4962.0,4869.0,5059.0,4884.0,4924.0,5060.0,5286.0,5148.0,5362.0,5471.0,5620.0,5516.0,5648.0,5357.0,5671.0,5312.0,5656.0,5426.0,5545.0,5390.0,5374.0,5512.0,4383.0,5001.0,5602.0,5229.0,5606.0,5419.0,5726.0,5566.0,5709.0,5403.0,5489.0,5155.0,5134.0,4953.0,5055.0,5251.0,5500.0,4942.0
Quarterly,Million tonne-kilometre (TKM),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,268.0,301.0,318.0,294.0,253.0,322.0,329.0,356.0,307.0,322.0,328.0,379.0,312.0,287.0,289.0
Quarterly,Million tonne-kilometre (TKM),Belgium,1679.0,1976.0,1816.0,2224.0,1657.0,2080.0,2212.0,2084.0,2141.0,2512.0,2340.0,2380.0,1847.0,2246.0,2445.0,2256.0,2202.0,2191.0,2260.0,1716.0,1431.0,1275.0,1480.0,1611.0,1485.0,1517.0,1395.0,1332.0,1718.0,1732.0,1667.0,1581.0,1700.0,1700.0,1600.0,1500.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Quarterly,Million tonne-kilometre (TKM),Bulgaria,:,:,:,:,:,:,:,:,1201.0,1337.0,1352.0,1335.0,1259.0,1205.0,1163.0,1084.0,1129.0,1270.0,1229.0,1043.0,830.0,747.0,705.0,791.0,690.0,786.0,745.0,761.0,706.0,832.0,795.0,835.0,643.0,693.0,696.0,695.0,578.0,624.0,663.0,726.0,627.0,617.0,674.0,654.0,768.0,838.0,835.0,826.0,698.0,681.0,738.0,785.0,742.0,797.0,791.0,800.0,837.0,913.0,898.0,892.0,839.0,838.0,902.0,912.0,1059.0,1145.0,1155.0,1141.0,1106.0,1188.0,1111.0,1252.0,1209.0,1284.0,1349.0,1388.0,1244.0,1086.0,1103.0,1081.0,1068.0,1132.0,1238.0
Quarterly,Million tonne-kilometre (TKM),Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2931.0,3045.0,2818.0,2688.0,2292.0,2383.0,2348.0,2473.0,2687.0,2701.0,2629.0,2734.0,2762.0,2830.0,2672.0,2633.0,2593.0,2514.0,2547.0,2399.0,2620.0,2855.0,2742.0,2694.0,2736.0,2832.0,2729.0,2760.0,2882.0,2930.0,2807.0,2857.0,2896.0,2884.0,2564.0,3062.0,2862.0,2730.0,2381.0,2712.0,2811.0,2900.0,2714.0,2715.0,2868.0,2786.0,2649.0,2572.0,2763.0,2393.0,2587.0,2673.0,2806.0,2940.0,2719.0,2798.0,2903.0,2866.0,2677.0,2627.0,2713.0,2733.0,2501.0,2403.0,2510.0,2668.0,2316.0
Quarterly,Million tonne-kilometre (TKM),Czechia,3679.0,3831.0,3693.0,3889.0,3463.0,3686.0,3705.0,4011.0,3666.0,3755.0,4074.0,4284.0,4012.0,4108.0,4042.0,4142.0,4028.0,3839.0,3917.0,3654.0,3054.0,2844.0,3237.0,3656.0,3167.0,3338.0,3664.0,3601.0,3490.0,3587.0,3596.0,3642.0,3496.0,3607.0,3605.0,3559.0,3469.0,3322.0,3503.0,3670.0,3604.0,3593.0,3591.0,3787.0,3697.0,3764.0,3751.0,4049.0,3654.0,3875.0,3852.0,4088.0,3996.0,3797.0,3961.0,3971.0,3990.0,4033.0,4157.0,4272.0,4259.0,4006.0,3918.0,3884.0,3897.0,3527.0,3665.0,4033.0,3990.0,4138.0,3794.0,4193.0,4066.0,4237.0,4199.0,4195.0,3786.0,3757.0,3916.0,3969.0,3821.0,3910.0,3673.0
Quarterly,Million tonne-kilometre (TKM),Germany,21505.0,21051.0,21436.0,22416.0,22286.0,24394.0,23751.0,24988.0,25794.0,26327.0,26814.0,28072.0,28703.0,28882.0,28823.0,28207.0,29532.0,30197.0,29273.0,26967.0,23123.0,23006.0,23693.0,25830.0,25099.0,27396.0,27241.0,27580.0,27550.0,29393.0,28694.0,27523.0,26896.0,27944.0,27195.0,28030.0,25976.0,27841.0,28396.0,28441.0,27914.0,28560.0,28934.0,27221.0,27606.0,28249.0,29734.0,28752.0,29661.0,31125.0,29604.0,29173.0,29977.0,29239.0,28614.0,27747.0,29965.0,30609.0,29651.0,30132.0,31989.0,30526.0,30267.0,29408.0,30893.0,25867.0,28925.0,30941.0,32758.0,33857.0,32703.0,33735.0,33768.0,34041.0,33969.0,32329.0,32457.0,31750.0,31232.0,29925.0,30588.0,32229.0,31608.0
Quarterly,Million tonne-kilometre (TKM),Denmark,542.0,560.0,519.0,531.0,484.0,519.0,461.0,504.0,472.0,466.0,458.0,490.0,436.0,463.0,436.0,442.0,477.0,507.0,456.0,427.0,390.0,407.0,427.0,475.0,501.0,570.0,562.0,607.0,655.0,688.0,645.0,627.0,614.0,622.0,563.0,471.0,571.0,611.0,562.0,646.0,661.0,638.0,554.0,600.0,698.0,687.0,645.0,573.0,669.0,641.0,622.0,642.0,694.0,702.0,628.0,631.0,668.0,657.0,622.0,647.0,665.0,589.0,650.0,632.0,684.0,619.0,562.0,585.0,492.0,478.0,476.0,530.0,577.0,586.0,514.0,533.0,538.0,470.0,436.0,461.0,472.0,492.0,399.0
Quarterly,Million tonne-kilometre (TKM),Estonia,2701.0,2502.0,2545.0,2911.0,3103.0,2713.0,2488.0,2671.0,2644.0,2616.0,2469.0,2687.0,2970.0,2217.0,1545.0,1693.0,1702.0,1327.0,1354.0,1618.0,1519.0,1407.0,1490.0,1530.0,1722.0,1515.0,1634.0,1767.0,1816.0,1559.0,1418.0,1468.0,1605.0,1293.0,1066.0,1165.0,1454.0,1169.0,1046.0,1053.0,1074.0,694.0,627.0,861.0,939.0,803.0,655.0,716.0,806.0,493.0,495.0,547.0,615.0,540.0,515.0,655.0,715.0,685.0,617.0,577.0,626.0,532.0,487.0,512.0,365.0,404.0,437.0,522.0,597.0,553.0,474.0,502.0,390.0,324.0,287.0,285.0,207.0,191.0,179.0,193.0,174.0,163.0,133.0
Quarterly,Million tonne-kilometre (TKM),Greece,141.0,102.0,121.0,155.0,150.0,158.0,142.0,163.0,149.0,144.0,144.0,160.0,203.0,207.0,191.0,235.0,212.0,224.0,177.0,173.0,127.0,132.0,145.0,148.0,200.0,203.0,106.0,105.0,92.0,82.0,85.0,92.0,75.0,73.0,68.0,67.0,52.0,53.0,66.0,65.0,56.0,66.0,89.0,125.0,86.0,73.0,64.0,70.0,65.0,69.0,55.0,39.0,59.0,88.0,116.0,94.0,109.0,109.0,93.0,97.0,99.0,124.0,137.0,131.0,113.0,131.0,153.0,158.0,131.0,156.0,156.0,135.0,124.0,111.0,110.0,113.0,58.0,75.0,64.0,14.0,56.0,59.0,48.0
