Time frequency,fishreg,species,aquaenv,geo\TIME_PERIOD,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,0.0,F00,TOTAL,DZ,139458.6 d,157021.0 d,148842.0 d,142035.0 d,130120.0 d,95168.0 d,104008.0 d,108207.0 d,102220.0 d,100150.0 d,105200.0 d,102140.0 d,108300.0 d,120354.0 d
Annual,0.0,F00,TOTAL,EG,265750.0,270918.0,274781.0,294127.0,300063.0,300561.0,285642.0,287614.0,289186.0,278731.0,274408.0,262129.0,293227.0,:
Annual,0.0,F00,TOTAL,IL,2680.0,2321.0,2549.0,2330.0,1980.0,1950.0,1710.0,1710.0,1710.0,2160.0,1700.0,1911.0,1072.0,796.0 e
Annual,0.0,F00,TOTAL,JO,7.0,7.0,144.0,173.5,219.1,130.2,119.0,207.0,142.0,:,204.0,251.1,254.5,264.9
Annual,0.0,F00,TOTAL,LB,8000.0 e,6200.0 e,7400.0 e,7500.0,7600.0,:,:,:,:,:,:,:,:,:
Annual,0.0,F00,TOTAL,MA,1036408.0,880857.0,890317.0,1016194.0,1160630.6,1137216.0,956720.0,1170569.9,1245479.1,1353312.0,1354923.0,1448716.0,1385994.6 p,1371115.6 p
Annual,0.0,F00,TOTAL,PS,1813.9 e,2322.9 e,2701.0 e,2843.0 e,1525.0 e,1699.4 e,1318.0 e,2091.5 e,1928.9 de,2854.0 e,3226.4 e,3305.7 e,3206.4 e,3011.9 e
Annual,0.0,F00,TOTAL,TN,108699.0,110903.0,105128.0,100578.0,100451.0,102066.0,109160.0,117637.0,122181.0,126558.0,:,:,:,:
Annual,0_X_37,F00,TOTAL,EG,158297.0,151312.0,144033.0,157884.0,172242.0,179199.0,163339.0,173416.0,182525.0,170932.0,171475.0,158475.0,183463.0,:
Annual,0_X_37,F00,TOTAL,JO,7.0,7.0,144.0,173.5,219.1,130.2,119.0,207.0,142.0,246.0,204.0,251.1,254.5,264.9
Annual,0_X_37,F00,TOTAL,LB,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,0_X_37,F00,TOTAL,MA,992743.0,832042.0,850126.0,982437.0,1121657.6,1104541.0,930949.0,1143710.9,1211345.1,1322342.0,1328589.0,:,:,:
Annual,0_X_37,F00,TOTAL,PS,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e
Annual,0_X_37,F00,TOTAL,TN,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,37.0,F00,TOTAL,DZ,139458.6 d,157021.0 d,148842.0 d,142035.0 d,130120.0 d,95168.0 d,104008.0 d,108207.0 d,102220.0 d,100150.0 d,105200.0 d,102140.0 d,108300.0 d,120354.0 d
Annual,37.0,F00,TOTAL,EG,107453.0,119606.0,130748.0,136243.0,127821.0,121362.0,122303.0,114198.0,106661.0,107799.0,102933.0,103654.0,109764.0,:
Annual,37.0,F00,TOTAL,IL,2680.0,2321.0,2549.0,2330.0,1980.0,1950.0,1710.0,1710.0,1710.0,2160.0,1700.0,1911.0,1072.0,796.0 e
Annual,37.0,F00,TOTAL,LB,8000.0 e,6200.0 e,7400.0 e,7500.0,7600.0,:,:,:,:,:,:,:,:,:
Annual,37.0,F00,TOTAL,MA,43665.0,48815.0,40191.0,33757.0,38973.0,32675.0,25771.0,26859.0,34134.0,30970.0,26334.0,:,:,:
Annual,37.0,F00,TOTAL,PS,1813.9 e,2322.9 e,2701.0 e,2843.0 e,1525.0 e,1699.4 e,1318.0 e,2091.5 e,1928.9 de,2854.0 e,3226.4 e,3305.7 e,3206.4 e,3011.9 e
Annual,37.0,F00,TOTAL,TN,108699.0,110903.0,105128.0,100578.0,100451.0,102066.0,109160.0,117637.0,122181.0,126558.0,:,:,:,:
