Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Albania,1.5,3.5,1.1,2.4,1.2,3.0 p,2.7 p,3.3 p,-1.1 p,1.5 p,2.7 p,1.9 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Austria,-3.6,3.5,5.1,1.4,-2.0,-1.7,-1.2,-1.3,-0.4,-0.4,-0.6,-0.3
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Belgium,0.8,1.5,0.7,1.1,-0.3,-0.4 p,0.8 p,0.2 p,-0.2 p,0.1 p,-0.3 p,-0.4 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Bulgaria,2.3,-2.6,1.2,1.1,1.2,2.1,1.2,1.4,0.8,1.1 p,0.8 p,0.6 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Switzerland,-0.1,-2.1,2.1,0.7,2.5,2.1,1.6,0.1,-0.8,0.4,-1.1,1.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Cyprus,5.9,-0.8,0.0,1.8,1.1,1.0,1.7,0.1,2.0,0.5,0.3,2.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Czechia,0.0,-1.8,-2.0,-1.4,1.2,3.0,1.6,-0.3,-0.7,1.1,1.4,0.8
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Germany,0.9 p,2.2 p,-0.6 p,0.8 p,-0.8 p,-1.2 p,-0.2 p,0.6 p,0.8 p,-0.5 p,-0.8 p,0.1 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),Denmark,3.1,-2.4,-1.4,-0.2,-3.3,5.1,-3.3,4.1,3.3,-3.5,-1.3,-1.5
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.9,1.2,2.2,0.8,-0.7,-0.4,0.1,0.2,-0.1,0.4,0.3,0.4
