Time frequency,Unit of measure,Medical speciality,Geopolitical entity (reporting)\Time,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.9,:,:,:,:,3.2,3.5,3.4,3.5,3.9,3.3,2.3,1.8,1.8,1.6,1.77,1.76,1.66,1.6,1.7,1.6,1.6,1.8,1.9,1.9,1.5,1.48,1.43,1.75,1.95,2.2,2.38,2.4,2.2,:,:,:,:,:,:,:,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Austria,4.3,4.5,4.4,4.7,4.8,4.9,4.9,5.0,5.0,5.2,5.2,5.2,5.2,5.1,5.2,5.3,5.4,5.3,5.3,5.3,5.4,5.4,5.3,5.4,5.4,5.5,5.5,5.6,5.8,5.8,5.9,5.9,6.0,6.1,6.2,6.3,6.3,6.2,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.82,6.82,6.77,6.62,6.59,6.53,6.55,6.55,5.8,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.49,6.47,6.75,6.85,6.62,6.68,6.71,6.67,6.67,6.76,6.89,6.96,7.19,7.3,6.17,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.5,6.5,6.8,7.0,7.2,7.3,7.6,7.5,7.4,7.2,6.6,5.6,5.8,5.5,5.5,5.5,5.9,5.7,5.5,5.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.9,5.9,6.1,6.0,6.3,6.3,5.4,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.37,:,:,:,:,4.08,:,:,:,:,3.85,:,:,:,:,4.32,:,:,:,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.67 d,1.99 d,2.09 d,2.14 d,2.07 d,1.77 d,1.86 d,1.88 d,1.84 d,1.86 d,1.89 d,1.88 d,1.88 d,1.86 d,1.89 d,1.90 d,1.89 d,1.90 d,1.97 d,1.94 d,1.99 d,1.80 d,1.84 d,1.92 d,2.05 d,2.09 d,2.04 d,2.08 d,2.13 d,2.26 d,2.31 d,2.34 d,2.44 d,2.36 d,2.16 d,2.18 d,2.11 d,2.09 d,2.06 d,:,:,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.09,7.1,7.27,7.39,7.4,7.72 e,7.73 e,7.71 e,7.91 e,7.91 e,7.32 e,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.30 d,5.70 d,6.20 d,6.50 d,6.80 d,7.00 d,7.30 d,7.40 d,7.60 d,7.70 d,7.90 d,8.00 d,8.00 d,7.40 d,8.10 d,7.90 d,8.10 d,8.60 d,9.20 d,9.90 d,9.70 d,9.70 d,9.90 d,9.90 d,10.00 d,10.00 d,9.90 d,9.90 d,9.80 d,9.50 d,:
Annual,Number per inhabitant,Generalist and specialist medical practitioners,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.7,3.8,4.0,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.2,4.3,4.3,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.8,4.7,4.7,4.1,4.1,4.1,4.1,4.1,3.9,4.0,3.8
