Time frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Albania,:,:,:,63.6,62.5,61.2,56.7,58.4,:,:
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Austria,7.4,5.8,6.4,4.3,4.3,4.4,4.2,5.1,5.4,6.9
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Belgium,16.1,12.2,17.0,10.9,8.3,9.9 b,11.6,12.3,9.6,9.0
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Bulgaria,52.0,52.7,49.6 b,45.1,31.1,34.0,30.9,29.3,29.8,28.3
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Switzerland,4.7,5.3,3.1,3.1,6.6,10.2,2.8,4.9,3.4,4.3
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Cyprus,28.4,21.8,22.5,17.3,15.6,11.0,9.8,10.7,15.6,12.3
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Czechia,12.4,12.3,10.8,7.3,5.7,5.3,5.1,4.2,5.6,10.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Germany,7.1,6.1,5.6,6.2,8.1,5.0,11.6 b,9.9,12.7,13.4
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Denmark,5.7,6.9,8.5,8.1,11.6,10.4,7.0,5.7,7.3,7.2
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Estonia,10.9,8.4,7.8,7.2,6.5,6.0,5.5,3.7,4.0,2.8
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Greece,43.3,42.9,41.2,38.5,34.6,31.2,32.3,29.1,31.3,30.8
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Spain,21.3,16.9,18.5,14.4,15.2,12.6,15.5,14.1,12.8,16.5
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,European Union - 27 countries (from 2020),20.2,16.9,16.3,14.4,12.8,11.0,13.8,12.2,12.8,12.9
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,Finland,5.8,3.8,4.6,7.3,6.4,5.4,5.1,4.5,4.6,9.6
Annual,All ISCED 2011 levels,From 16 to 19 years,Total,Percentage,France,17.2,13.5,13.5,13.8,11.0,11.8,14.8 b,12.6,15.0 b,14.8
