Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Total,Hectare,Total,Olive trees,Austria,0.0,:
Annual,Total,Hectare,Total,Olive trees,Ostösterreich,0.0,:
Annual,Total,Hectare,Total,Olive trees,Südösterreich,0.0,:
Annual,Total,Hectare,Total,Olive trees,Westösterreich,0.0,:
Annual,Total,Hectare,Total,Olive trees,Belgium,0.0,:
Annual,Total,Hectare,Total,Olive trees,Bulgaria,0.0,:
Annual,Total,Hectare,Total,Olive trees,Severna i Yugoiztochna Bulgaria,0.0,:
Annual,Total,Hectare,Total,Olive trees,Yugozapadna i Yuzhna tsentralna Bulgaria,0.0,:
Annual,Total,Hectare,Total,Olive trees,Cyprus,10802.29,10790.35
Annual,Total,Hectare,Total,Olive trees,Czechia,0.0,:
Annual,Total,Hectare,Total,Olive trees,Germany,0.0,:
Annual,Total,Hectare,Total,Olive trees,Baden-Württemberg,0.0,:
Annual,Total,Hectare,Total,Olive trees,Bayern,0.0,:
Annual,Total,Hectare,Total,Olive trees,Berlin,0.0,:
Annual,Total,Hectare,Total,Olive trees,Brandenburg,0.0,:
Annual,Total,Hectare,Total,Olive trees,Bremen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Hamburg,0.0,:
Annual,Total,Hectare,Total,Olive trees,Hessen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Mecklenburg-Vorpommern,0.0,:
Annual,Total,Hectare,Total,Olive trees,Niedersachsen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Nordrhein-Westfalen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Rheinland-Pfalz,0.0,:
Annual,Total,Hectare,Total,Olive trees,Saarland,0.0,:
Annual,Total,Hectare,Total,Olive trees,Sachsen,0.0,:
Annual,Total,Hectare,Total,Olive trees,Sachsen-Anhalt,0.0,:
Annual,Total,Hectare,Total,Olive trees,Schleswig-Holstein,0.0,:
