Time frequency,Interest rate,Geopolitical entity (reporting)\Time,Janvier-Mars 1970,Avril-Juin 1970,Jullet-Septembre 1970,Octobre-Décembre 1970,Janvier-Mars 1971,Avril-Juin 1971,Jullet-Septembre 1971,Octobre-Décembre 1971,Janvier-Mars 1972,Avril-Juin 1972,Jullet-Septembre 1972,Octobre-Décembre 1972,Janvier-Mars 1973,Avril-Juin 1973,Jullet-Septembre 1973,Octobre-Décembre 1973,Janvier-Mars 1974,Avril-Juin 1974,Jullet-Septembre 1974,Octobre-Décembre 1974,Janvier-Mars 1975,Avril-Juin 1975,Jullet-Septembre 1975,Octobre-Décembre 1975,Janvier-Mars 1976,Avril-Juin 1976,Jullet-Septembre 1976,Octobre-Décembre 1976,Janvier-Mars 1977,Avril-Juin 1977,Jullet-Septembre 1977,Octobre-Décembre 1977,Janvier-Mars 1978,Avril-Juin 1978,Jullet-Septembre 1978,Octobre-Décembre 1978,Janvier-Mars 1979,Avril-Juin 1979,Jullet-Septembre 1979,Octobre-Décembre 1979,Janvier-Mars 1980,Avril-Juin 1980,Jullet-Septembre 1980,Octobre-Décembre 1980,Janvier-Mars 1981,Avril-Juin 1981,Jullet-Septembre 1981,Octobre-Décembre 1981,Janvier-Mars 1982,Avril-Juin 1982,Jullet-Septembre 1982,Octobre-Décembre 1982,Janvier-Mars 1983,Avril-Juin 1983,Jullet-Septembre 1983,Octobre-Décembre 1983,Janvier-Mars 1984,Avril-Juin 1984,Jullet-Septembre 1984,Octobre-Décembre 1984,Janvier-Mars 1985,Avril-Juin 1985,Jullet-Septembre 1985,Octobre-Décembre 1985,Janvier-Mars 1986,Avril-Juin 1986,Jullet-Septembre 1986,Octobre-Décembre 1986,Janvier-Mars 1987,Avril-Juin 1987,Jullet-Septembre 1987,Octobre-Décembre 1987,Janvier-Mars 1988,Avril-Juin 1988,Jullet-Septembre 1988,Octobre-Décembre 1988,Janvier-Mars 1989,Avril-Juin 1989,Jullet-Septembre 1989,Octobre-Décembre 1989,Janvier-Mars 1990,Avril-Juin 1990,Jullet-Septembre 1990,Octobre-Décembre 1990,Janvier-Mars 1991,Avril-Juin 1991,Jullet-Septembre 1991,Octobre-Décembre 1991,Janvier-Mars 1992,Avril-Juin 1992,Jullet-Septembre 1992,Octobre-Décembre 1992,Janvier-Mars 1993,Avril-Juin 1993,Jullet-Septembre 1993,Octobre-Décembre 1993,Janvier-Mars 1994,Avril-Juin 1994,Jullet-Septembre 1994,Octobre-Décembre 1994,Janvier-Mars 1995,Avril-Juin 1995,Jullet-Septembre 1995,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998,Janvier-Mars 1999,Avril-Juin 1999,Jullet-Septembre 1999,Octobre-Décembre 1999,Janvier-Mars 2000,Avril-Juin 2000,Jullet-Septembre 2000,Octobre-Décembre 2000,Janvier-Mars 2001,Avril-Juin 2001,Jullet-Septembre 2001,Octobre-Décembre 2001,Janvier-Mars 2002,Avril-Juin 2002,Jullet-Septembre 2002,Octobre-Décembre 2002,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014
Quarterly,3-month rate,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.91538,10.21187,10.49793,11.50196,10.13522,11.58022,12.37935,11.42315,9.06144,10.16813,9.22446,6.66848,5.79433,4.69462,5.2638,5.77087,5.9822,6.45857,6.64543,7.2138,6.69433,6.48451,5.46793,6.16326,6.10133,4.76396,4.96185,5.45141,4.76456,4.06659,4.0925,4.4725,4.0156,3.69659,5.11924,5.52641,6.58411,7.0656,7.4788,8.74054,8.39356,8.32396,8.3237,9.10043,9.10156,8.85681,9.1963,9.2463,9.51978,9.52165,9.53957,8.70109,8.25022,7.44264,7.03402,6.19076,5.48378,5.18945,4.74674,4.73337,4.97211,4.62637,4.31641,4.15957,3.38516,3.24319,3.3838,3.33315,3.33444,3.41319,3.4725,3.83652,3.61722 d,3.65703 d,3.59326 d,3.46859 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Belgium,8.51722,8.26648,8.10163,7.41685,6.21556,5.15,5.08533,4.93424,4.43187,3.78352,3.99946,4.51739,5.5,5.68187,7.21196,7.95,8.69833,10.48077,12.0,11.25,8.79333,6.75,6.30109,6.2,7.34066,10.0,11.65217,12.33696,8.34444,7.67033,6.33696,7.34783,7.17222,5.83242,6.94402,9.25543,8.34444,9.0,12.32609,14.0,16.02198,15.67033,13.0,12.66304,14.15389,16.37198,16.16848,15.58967,15.0,15.32967,14.01087,12.66304,12.0,10.0,9.0,10.66304,11.93791,11.9,11.45489,10.81739,10.61389,9.13187,9.38587,9.05489,9.75,7.73187,7.35,7.36685,7.62944,7.01703,6.65,6.8837,6.18516,6.11319,7.3163,7.30163,8.02144,8.45374,8.57185,9.85641,10.58111,10.02681,9.32859,9.33533,9.66789,9.15901,9.24663,9.50022,9.56978,9.57011,9.6412,8.75696,8.31111,7.32967,8.65217,8.0,6.34444,5.32967,5.67391,5.0,5.60533,4.9289,4.37109,3.87076,3.29044,3.21659,3.1613,3.04337,3.22178,3.28066,3.59326,3.68022,3.60933 d,3.69604 d,3.48707 d,3.38141 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,6.33,6.37703,6.15576,6.18989,6.09813,6.52,6.55685,6.56641,6.58722,6.52571,5.86293,4.74783,4.30067,4.39703,4.47663,4.43609,4.05378,3.89308,3.84696,3.81,3.82637,4.80396,5.18033,5.14685,5.08178,4.55791,3.85728,3.52348,3.28478,3.21011,3.26533,3.72587,3.88722,3.99,4.26283,4.46,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Germany,9.54789,9.89571,9.29239,8.64891,7.37889,6.58165,7.60783,6.85848,4.85901,4.77033,4.95478,8.03707,8.31056,12.6267,14.33696,13.58891,11.12889,9.51462,9.6663,8.90163,6.40167,4.98242,4.18533,4.1663,3.76813,3.98352,4.60054,4.81793,4.71556,4.41593,4.16685,4.00141,3.52822,3.65989,3.73674,3.9837,4.54611,6.11703,7.39402,9.56576,9.27033,10.06132,9.1163,9.7,12.42644,13.11264,12.70489,11.09707,10.04333,9.29209,8.6425,7.02989,5.64311,5.44341,5.74239,6.35902,5.95495,6.07198,5.95109,5.90054,6.13933,5.84659,4.94272,4.82652,4.56922,4.56374,4.56739,4.69674,4.156,3.78308,3.92261,4.09837,3.3711,3.5889,5.06109,5.07859,6.21433,6.79209,7.13761,8.1188,8.31511,8.26033,8.33587,8.82011,9.103,9.03626,9.18967,9.4037,9.55681,9.71022,9.66587,8.91696,8.25389,7.61484,6.77217,6.29707,5.82556,5.23242,5.00848,5.19946,5.05722,4.55,4.35554,3.96337,3.39198,3.28297,3.23815,3.15652,3.16033,3.15659,3.21598,3.65283,3.51756 d,3.58352 d,3.48696 d,3.48891 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,8.22769,8.04352,8.01022,7.90685,7.97967,7.35692,6.97717,12.09902,14.428,9.70516,13.19033,18.08326,12.72489,6.86604,6.33391,5.41522,5.2,5.49648,5.87815,6.1362,5.98444,5.61967,5.30359,4.35,3.97,3.9433,3.88337,3.7225,3.40456,3.02769,2.65043,2.61,2.61341,2.55066,2.41,2.41,2.4,2.37681,2.32674,2.41098,2.70267,2.96286,3.29891,3.68022,3.96756,4.61747,4.95728,5.94293,6.66769,6.37681,6.35348,7.26011,7.10322,6.32604,5.86641,4.4187,2.244,1.64363,1.28467,1.11315,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.11,15.28,16.07,15.21,17.86,18.02,20.19,17.89,22.45,15.01,18.0,19.57,15.04,13.89,15.38,15.36,15.59,16.5,16.58,16.46,16.92,18.2,20.46,21.92,18.2,18.56,18.99,15.31,11.67,13.78,15.75,16.44,12.61,18.81,18.54,20.02,18.29,17.8,17.03,25.57,17.04,19.83,25.43,19.87,21.18,24.45,24.48,17.46,23.79,28.31,25.99,21.8,23.75,22.37,20.58,36.96,22.12,18.77,18.11,16.47,15.34,15.5,14.24,14.22,13.57,13.13,11.93,10.89,11.35,17.01,16.82,13.11,13.81,12.18,10.58,9.8,9.86,10.12,8.71,8.33,7.79,6.04 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13.66589,13.49429,16.63739,18.30685,10.59056,13.69615,23.98609,22.07783,13.80467,16.56242,16.76663,14.95174,15.67879,18.2289,15.60967,16.61989,16.14322,16.22835,16.43576,15.91141,15.20033,16.42582,16.16424,17.34674,16.79056,20.19176,22.72065,20.50467,17.9933,15.34407,13.50761,12.7413,12.20756,13.20835,13.0437,10.44978,11.00589,11.98275,12.07924,11.57391,13.20278,18.40879,17.08902,14.61228,11.93165,10.81659,10.88728,12.90717,14.58233,14.80978,15.31261,15.40435,15.52478,15.01703,15.05891,15.0238,14.54156,12.96308,12.64609,12.7537,12.73297,12.55604,13.51011,14.56293,14.31222,12.64231,10.60674,9.22,8.50633,7.75582,7.79957,7.96783,9.01678,9.4456,9.55522,9.40576,8.70912,7.48967,7.22815,6.64913,5.90411,5.35934,5.26087,5.01272,4.60211 d,4.35978 d,4.32043 d,3.72902 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.15121,12.96286,12.63478,13.46576,13.48167,11.29363,13.01228,12.99261,13.48511,13.59473,13.57,14.03337,13.47244,13.76121,14.4562,15.17707,16.10813,16.52022,15.83261,14.74565,13.10344,13.0867,13.19598,11.86837,10.41256,10.88253,13.04837,12.34228,11.31567,9.87352,9.55413,9.39239,9.39011,9.33484,9.97793,11.16228,11.028,11.87857,12.30489,15.01598,15.80678,13.0733,12.67891,14.41207,14.32656,12.39538,11.64326,13.93217,12.13516,13.87835,15.13967,11.8538,9.58956,8.20055,6.86533,6.44533,4.89922,5.29143,5.67446,5.5075,5.96244,5.95242,6.05446,5.02424,4.16418,3.76659,3.48565,3.08674,3.07311,3.0767,3.17185,3.59609,3.46133 d,3.70044 d,3.60739 d,3.50554 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,France,9.59444,9.10495,8.24533,7.49804,6.01522,6.4156,5.84707,5.62467,5.2044,4.83319,4.3288,6.86989,7.54567,7.95297,9.96348,11.52359,12.65989,13.40934,13.75,12.12739,9.44689,7.36725,7.0,6.62,7.15934,7.72824,9.20152,10.58424,9.73822,9.01978,8.33424,9.16304,9.29011,7.9544,7.2062,6.68739,6.64322,8.8678,10.95076,12.24663,12.86505,12.5456,11.7088,11.00467,12.06022,16.3544,17.57533,15.25196,14.96089,16.08451,14.39359,13.04413,12.70367,12.44132,12.38957,12.32978,12.41253,12.3022,11.39707,10.68141,10.61278,10.28879,9.8087,9.0813,8.68944,7.36198,7.10696,7.67511,8.33533,8.18374,7.97663,8.49641,8.02066,7.81791,7.72717,8.21076,9.01956,8.89033,9.20848,10.47293,11.01556,9.96495,10.195,10.10446,9.83478,9.4278,9.5412,9.6613,10.05,10.03923,10.54467,10.75065,11.80856,8.01582,7.77859,6.74022,6.28967,5.7356,5.62326,5.73804,6.626,7.48319,6.12174,6.10902,4.4611,3.95604,3.85109,3.47337,3.34722,3.43714,3.41,3.6563,3.58722 d,3.60341 d,3.55348 d,3.48891 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,3-month rate,Ireland,:,:,:,:,:,6.89846,6.1288,5.27424,5.5,6.22132,7.9387,8.54511,10.52067,9.83571,13.41446,15.15891,15.48222,14.80857,14.59913,13.31402,11.58267,9.98088,10.75,11.28,9.35846,10.7167,11.73913,14.96022,11.72389,8.18593,7.35783,6.3712,6.87656,9.79022,10.52424,12.225,13.82778,15.21516,17.27152,17.72783,18.3789,18.07978,14.97185,13.50837,14.44889,15.61956,18.01402,18.50978,19.69489,19.99143,16.26283,14.23326,15.99833,14.48231,13.2575,12.43804,12.69,12.52176,13.29652,14.41098,14.58667,12.63978,10.4787,10.41446,14.70111,10.52516,10.27359,13.88478,13.93811,11.30275,9.78283,9.15217,8.72473,7.83934,7.81728,7.93217,8.27456,9.14681,10.16337,11.59098,12.25778,11.55077,10.92717,10.72783,11.09833,10.3244,10.04424,10.29739,10.53429,10.22209,11.11196,17.60185,16.32544,7.76319,6.63141,6.43413,6.02822,5.80253,5.85228,5.81217,6.49244,6.71659,6.26424,5.66685,5.17967,5.11967,5.66207,5.72391,5.81478,6.06143,6.19707,6.11587,5.90467 d,6.17703 d,5.97337 d,3.83772 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
