Time frequency,Duration,Reason,Unit of measure,Country of citizenship,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Education reasons,Person,Total,Austria,16955.0,17960.0,19538.0,22474.0,22497.0,20214.0,18800.0,19662.0,16224.0,16377.0,16553.0,17669.0
Annual,Total,Education reasons,Person,Total,Belgium,11023.0,11541.0,12104.0,12828.0,12946.0,12708.0,12806.0,15078.0,14141.0,20065.0,20945.0,22336.0
Annual,Total,Education reasons,Person,Total,Bulgaria,4988.0,4464.0,3855.0,3318.0,1511.0,2878.0,2095.0,1964.0,1689.0,3846.0,4307.0,5067.0
Annual,Total,Education reasons,Person,Total,Switzerland,23089.0,23916.0,23904.0,24641.0,24624.0,24701.0,24720.0,24988.0,24085.0,26177.0,27613.0,29253.0
Annual,Total,Education reasons,Person,Total,Cyprus,11827.0,3352.0,2943.0,3456.0,4181.0,5990.0,6660.0,6691.0,2233.0,3912.0,4759.0,5116.0
Annual,Total,Education reasons,Person,Total,Czechia,11006.0,13573.0,15596.0,17490.0,22601.0,21214.0,22184.0,17107.0,22334.0,28001.0,26562.0,26200.0
Annual,Total,Education reasons,Person,Total,Germany,115692.0,126563.0,141063.0,156037.0,158511.0,173206.0,190018.0,200863.0,82870.0,183417.0,207486.0,208024.0
Annual,Total,Education reasons,Person,Total,Denmark,:,:,:,:,:,:,:,:,:,11220.0,:,:
Annual,Total,Education reasons,Person,Total,Estonia,759.0,649.0,1373.0,1921.0,2313.0,2405.0,2705.0,3074.0,2488.0,2291.0,1968.0,1494.0
Annual,Total,Education reasons,Person,Total,Greece,7199.0,7595.0,3742.0,2397.0,2196.0,1915.0,1929.0,2188.0,2920.0,3560.0,1928.0,1857.0
Annual,Total,Education reasons,Person,Total,Spain,40455.0,42228.0,46461.0,46982.0,53140.0,54484.0,55666.0,59194.0,36392.0,64074.0,74080.0,108577.0
Annual,Total,Education reasons,Person,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,843479.0,:,:
Annual,Total,Education reasons,Person,Total,Finland,9371 p,9586 p,9664.0,10165.0,10412.0,9454.0,8764.0,8715.0,6265.0,9044.0,13650.0,20930.0
Annual,Total,Education reasons,Person,Total,France,144549.0,145352.0,145377.0,148849.0,146477.0,162110.0,172990.0,198067.0,224099.0,234714 p,283548.0,342814.0
Annual,Total,Education reasons,Person,Total,Croatia,:,348.0,593.0,654.0,773.0,684.0,616.0,590.0,497.0,515.0,500.0,568.0
Annual,Total,Education reasons,Person,Total,Hungary,8454.0,4045.0,10522.0,11080.0,14741.0,19557 b,20897.0,26675.0,25811.0,28015.0,29790.0,30590.0
Annual,Total,Education reasons,Person,Total,Ireland,35028.0,38959.0,41225.0,43540.0,35323.0,39779.0,43724.0,50946.0,33831.0,34055 u,52449 u,61553 u
Annual,Total,Education reasons,Person,Total,Iceland,282.0,292.0,369.0,389.0,450.0,507.0,551.0,506.0,553.0,790.0,735.0,892.0
Annual,Total,Education reasons,Person,Total,Italy,50876.0,52304.0,53053.0,50688.0,46157.0,42721.0,44721.0,50633.0,31712.0,46956.0,55259.0,58510.0
Annual,Total,Education reasons,Person,Total,Liechtenstein,:,42.0,46.0,64.0,80.0,70.0,80.0,82.0,77.0,74.0,56.0,51.0
Annual,Total,Education reasons,Person,Total,Lithuania,996.0,1255.0,1454.0,1700.0,2011.0,2296.0,2740.0,2914.0,3308.0,3938.0,4692.0,6957.0
Annual,Total,Education reasons,Person,Total,Luxembourg,415.0,446.0,489.0,505.0,459.0,754.0,710.0,808.0,693.0,880.0,933.0,1096.0
Annual,Total,Education reasons,Person,Total,Latvia,1096.0,1443.0,1948.0,2482.0,2838.0,3457.0,4352.0,5216.0,4433.0,4116.0,4405.0,5870.0
Annual,Total,Education reasons,Person,Total,Malta,425.0,1780.0,2916.0,2579.0,1866.0,2338 ep,2557.0,3294.0,1890.0,2198.0,3671.0,4886.0
Annual,Total,Education reasons,Person,Total,Netherlands,18340.0,18740 b,19248.0,21559.0,22866.0,25381.0,28398.0,30604.0,26768.0,34353.0,38950.0,41397.0
Annual,Total,Education reasons,Person,Total,Norway,7529.0,7678.0,7211.0,6820.0,6426.0,6326.0,6117.0,6216.0,3998.0,6158.0,7688.0,3227.0
Annual,Total,Education reasons,Person,Total,Poland,13478.0,22094.0,30701.0,40225.0,34763.0,37085.0,40103 d,18471.0,25709.0,42335.0,30693.0,27902.0
Annual,Total,Education reasons,Person,Total,Portugal,9938.0,11330.0,10039.0,8931.0,9478.0,10670.0,15976.0,26150.0,24058.0,20621.0,15256.0,25461.0
Annual,Total,Education reasons,Person,Total,Romania,11090.0,11755.0,11620.0,14628.0,15547.0,14196.0,14874.0,16218.0,15433.0,15070.0,15533.0,15650.0
Annual,Total,Education reasons,Person,Total,Sweden,16261.0,12592.0,14135.0,14676.0,14699.0,15442.0,16665.0,17866.0,14994.0,17643.0,18214.0,17913.0
Annual,Total,Education reasons,Person,Total,Slovenia,1678.0,1892.0,1220.0,1682.0,2060.0,2433.0,3008.0,3738.0,3439.0,2508.0,3736.0,3715.0
Annual,Total,Education reasons,Person,Total,Slovakia,1039.0,1556.0,2294.0,3038.0,3943.0,4663.0,6072.0,7759.0,8730.0,9755.0,11342.0,13431.0
Annual,Total,Education reasons,Person,Total,United Kingdom,540463.0,538701.0,513294.0,517061.0,507110.0,523766.0,467977.0,:,:,:,:,:
Annual,Total,Family reasons,Person,Total,Austria,75054.0,77124.0,72018.0,76301.0,80833.0,82389.0,85849.0,90958.0,89317.0,88027.0,93418.0,96721.0
Annual,Total,Family reasons,Person,Total,Belgium,178169.0,182672.0,193521.0,204223.0,231505.0,240804.0,253851.0,267274.0,273670.0,286294.0,291640.0,295358.0
Annual,Total,Family reasons,Person,Total,Bulgaria,5413.0,5830.0,13389.0,15150.0,11704.0,18935.0,16541.0,19315.0,24352.0,26305.0,28097.0,33216.0
Annual,Total,Family reasons,Person,Total,Switzerland,148582.0,144573.0,139324.0,139350.0,139367.0,137700.0,138623.0,143254.0,147054.0,157511.0,162169.0,166961.0
Annual,Total,Family reasons,Person,Total,Cyprus,8250.0,8027.0,13118.0,14150.0,14506.0,14603.0,16614.0,20113.0,19396.0,15412.0,18957.0,26770.0
Annual,Total,Family reasons,Person,Total,Czechia,90423.0,95229.0,96887.0,100541.0,106738.0,110041.0,117291.0,121186.0,129842.0,145348.0,152784.0,159608.0
Annual,Total,Family reasons,Person,Total,Germany,1523286.0,1494354.0,1535898.0,1586491.0,1643806.0,1784016.0,1855241.0,1918206.0,1794113.0,1889580.0,2034123.0,2109946.0
Annual,Total,Family reasons,Person,Total,Denmark,:,:,:,:,:,:,:,:,:,95651.0,:,:
Annual,Total,Family reasons,Person,Total,Estonia,6499.0,6610.0,7018.0,7463.0,7711.0,7714.0,8050.0,9334.0,10354.0,12059.0,13941.0,14074.0
Annual,Total,Family reasons,Person,Total,Greece,230920.0,243317.0,239915.0,245582.0,244755.0,221304.0,213172.0,210074.0,218869.0,238223.0,178774.0,175345.0
Annual,Total,Family reasons,Person,Total,Spain,974195.0,979951.0,965354.0,929129.0,940458.0,1010988.0,1078278.0,1151810.0,1166852.0,1233231.0,1282656.0,1400291.0
Annual,Total,Family reasons,Person,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,8054781.0,:,:
Annual,Total,Family reasons,Person,Total,Finland,26469 p,35830 p,36459.0,38336.0,37639.0,38973.0,40586.0,42656.0,46353.0,56831.0,68256.0,83918.0
Annual,Total,Family reasons,Person,Total,France,961762.0,984234.0,1023458.0,1047981.0,1103466.0,1161675.0,1202492.0,1221823.0,1302945.0,1324524 p,1366125.0,1352916.0
Annual,Total,Family reasons,Person,Total,Croatia,:,8174.0,8349.0,9003.0,9529.0,9974.0,9261.0,8863.0,9190.0,9705.0,10803.0,11268.0
Annual,Total,Family reasons,Person,Total,Hungary,17044.0,17225.0,9102.0,11399.0,12633.0,23583 b,22382.0,24418.0,23742.0,23589.0,26163.0,24900.0
Annual,Total,Family reasons,Person,Total,Ireland,22836.0,22451.0,23134.0,25632.0,27243.0,30184.0,31174.0,34317.0,33221.0,35440 u,52854 u,55755 u
Annual,Total,Family reasons,Person,Total,Iceland,1162.0,1249.0,1210.0,1237.0,1372.0,1625.0,1928.0,2331.0,2686.0,2857.0,3223.0,3901.0
Annual,Total,Family reasons,Person,Total,Italy,1486457.0,1971972.0,2030432.0,2046020.0,1849496.0,1847109.0,1862214.0,1835025.0,1738151.0,1775719.0,1843454.0,1708635.0
Annual,Total,Family reasons,Person,Total,Liechtenstein,:,1477.0,1519.0,1509.0,1459.0,1442.0,1452.0,1514.0,1560.0,1610.0,1592.0,1600.0
Annual,Total,Family reasons,Person,Total,Lithuania,5127.0,5254.0,5938.0,6363.0,7178.0,7100.0,7490.0,7853.0,8271.0,9512.0,13376.0,15240.0
Annual,Total,Family reasons,Person,Total,Luxembourg,16332.0,16441.0,17635.0,19140.0,20456.0,21561.0,23249.0,25284.0,25850.0,26150.0,26730.0,28586.0
Annual,Total,Family reasons,Person,Total,Latvia,14054.0,16899.0,20505.0,21183.0,21178.0,21075.0,21168.0,21219.0,19264.0,20565.0,19915.0,20647.0
