Time frequency,Unit of measure,Consolidated/Non consolidated,National accounts indicator (ESA 2010),Financial position,Sector,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Italy,48.4,45.9,45.4,45.3,48.5,51.5,52.8,53.1,54.5,54.8,58.1,61.0,66.2,69.8,73.5,72.3,71.8,72.0,68.6,66.3,63.8,61.4,58.2,57.7,55.7,63.1,57.8,54.4,49.6
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Lithuania,19.7,20.6,21.3,24.4,28.6,29.5,27.4,27.5,30.5,31.4,36.3,41.8,47.7,48.2,50.4,45.2,40.2,38.6,35.6,34.1,34.0,34.9,33.8,32.1,30.7,28.0,27.3,26.3,27.1
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Luxembourg,75.4,73.4,81.4,83.6,87.7,97.3,114.3,94.9,89.9,118.0,111.4,116.1,229.7,210.5,214.2,148.3,167.3,170.3,171.9,185.9,179.6,167.2,182.0,177.2,194.0,223.4,225.7,223.3,233.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Latvia,10.2,17.8,22.7,29.8,33.3,42.3,39.8,34.0,39.8,53.1,57.8,66.9,66.2,70.2,82.5,82.3,77.0,66.0,63.1,57.5,54.9,55.7,54.4,48.8,46.0,44.2,38.4,36.0,34.3
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Malta,83.8 p,90.5 p,93.6 p,91.1 p,94.5 p,96.6 p,99.7 p,88.5 p,76.3 p,79.6,83.1,85.8,90.6,95.9,104.9,100.5,99.8,92.4,83.8,78.7,74.0,75.0,70.7,62.6,69.6,74.8,68.5,65.4,65.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Netherlands,111.2,109.7,104.3,103.7,106.2,105.3,103.0,99.7,108.8,107.0,108.0,103.8,104.6,106.6,115.9,114.6,118.4,122.2,131.5,143.1,140.0,133.8,127.2,124.3,117.2,121.7,120.9,112.8,97.2 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Poland,17.5,18.9,19.0,22.5,23.7,25.1,25.8,29.2,30.0,25.0,24.4,27.2,28.9,35.2,33.6,33.3,36.0,36.1,36.7,37.8,38.5,40.0,37.1,37.3,35.8,37.1,34.7,33.3,30.2
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Portugal,49.5,50.5,52.0,60.9,65.3,71.8,78.9,76.7,80.4,78.1,77.3,78.8,82.7,89.5,93.4,92.3,95.4,99.5,96.7,88.0,88.6,84.8,78.8,75.0,71.1,76.5,72.1,64.2,56.7 e
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Romania,72.1 e,56.7 e,33.8 e,33.8,26.6,25.3,24.8,26.8,27.5,26.6,29.2,31.4,38.4,43.1,47.7,50.7,49.2,49.2,47.9,44.1,40.7,37.7,35.1,31.5,31.1,31.5,31.6,29.6,27.9 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Sweden,71.1,69.3,73.4,76.4,79.3,81.0,85.7,83.9,78.3,76.6,79.4,80.7,91.3,107.9,109.1,99.1,99.2,97.6,94.6,92.1,90.5,87.7,90.2,84.1,83.1,89.4,93.0,96.6,93.9
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Slovenia,23.2,22.8,24.6,28.6,33.2,37.6,41.9,43.7,47.4,50.6,56.8,60.2,71.2,79.6,84.0,83.6,81.9,80.2,70.5,61.1,53.1,48.6,44.9,42.1,39.3,39.5,38.1,38.5,33.9
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-financial corporations,Slovakia,53.6,49.0,46.8,49.8,46.9,34.8,34.2,38.5,34.9,33.2,32.2,33.7,39.4,40.7,43.0,40.7,42.2,42.0,41.6,39.0,38.7,42.5,42.2,42.3,42.3,43.2,40.5,43.1,39.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Austria,42.2,43.1,43.1,42.4,44.4,45.0,45.3,46.2,46.7,47.7,52.0,52.5,51.7,52.2,53.5,54.5,53.2,51.9,51.5,50.8,50.6,50.1,49.4,48.8,48.7,52.0,50.9,47.8,44.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,54.1,54.5,55.1,56.9,57.7,58.3,59.0,59.2,60.4,64.8,62.6,59.1,57.2 p
