Time frequency,Economical indicator for structural business statistics,Place of residence,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Computer and related activities,Portugal,:,1214.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Computer and related activities,Sweden,9504.3,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Computer and related activities,United Kingdom,:,60176.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Denmark,:,113.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Spain,:,502.8
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,France,9249.5,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Luxembourg,:,187.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Portugal,:,83.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,Sweden,218.5,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Hardware consultancy,United Kingdom,:,1501.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Denmark,:,3486.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Spain,:,8468.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Finland,:,1901.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,France,12054.0,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Luxembourg,:,287.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Portugal,:,700.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,Sweden,7600.2,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Software consultancy and supply,United Kingdom,:,36421.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Denmark,:,385.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Spain,:,896.5
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Finland,:,804.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,France,5770.3,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Luxembourg,:,20.5
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Portugal,:,233.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,Sweden,1107.2,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Data processing,United Kingdom,:,7900.5
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,Denmark,:,93.4
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,Finland,:,219.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,France,579.9,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,Luxembourg,:,4.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,Portugal,:,8.7
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,Sweden,149.1,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Database activities,United Kingdom,:,712.8
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Denmark,:,53.7
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Spain,:,645.5
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",France,1445.1,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Luxembourg,:,25.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Portugal,:,71.4
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",Sweden,313.0,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,"Maintenance and repair of office, accounting and computing machinery",United Kingdom,:,1989.3
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,Denmark,:,93.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,Luxembourg,:,64.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,Portugal,:,118.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,Sweden,116.3,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Other computer related activities,United Kingdom,:,11651.0
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Denmark,:,4947.7
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Spain,:,10917.0
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Finland,:,3407.8
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,France,31507.0,:
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Luxembourg,:,1013.1
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Portugal,:,1277.3
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Sweden,10553.0,:
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,United Kingdom,:,68641.0
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Denmark,:,131.6
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Spain,:,514.6
