Time frequency,Price setting,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,"Price negotiated with platform, app or clients",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,9.6
Annual,"Price negotiated with platform, app or clients",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.1
Annual,"Price negotiated with platform, app or clients",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.5
Annual,"Price negotiated with platform, app or clients",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.9
Annual,"Price negotiated with platform, app or clients",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.6
Annual,"Price negotiated with platform, app or clients",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.3
Annual,"Price negotiated with platform, app or clients",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,9.2
Annual,"Price negotiated with platform, app or clients",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,9.5
Annual,"Price negotiated with platform, app or clients",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,9.6
Annual,"Range of price given by platform, app or clients",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,14.5
Annual,"Range of price given by platform, app or clients",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.3
Annual,"Range of price given by platform, app or clients",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.6
Annual,"Range of price given by platform, app or clients",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.1
Annual,"Range of price given by platform, app or clients",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.1
Annual,"Range of price given by platform, app or clients",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.1
Annual,"Range of price given by platform, app or clients",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.8
Annual,"Range of price given by platform, app or clients",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.8
Annual,"Range of price given by platform, app or clients",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,6.6
Annual,Price set by oneself or other party,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.7
Annual,Price set by oneself or other party,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,68.2
Annual,Price set by oneself or other party,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,74.0
Annual,Price set by oneself or other party,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,47.6
Annual,Price set by oneself or other party,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,56.1
Annual,Price set by oneself or other party,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,59.7
Annual,Price set by oneself or other party,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,49.7
Annual,Price set by oneself or other party,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,61.4
Annual,Price set by oneself or other party,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,66.0
Annual,"Price set by platform, app or clients",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.2
Annual,"Price set by platform, app or clients",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,16.4
Annual,"Price set by platform, app or clients",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.9
Annual,"Price set by platform, app or clients",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,35.3
Annual,"Price set by platform, app or clients",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.2
Annual,"Price set by platform, app or clients",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.9
Annual,"Price set by platform, app or clients",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,30.3
Annual,"Price set by platform, app or clients",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.4
Annual,"Price set by platform, app or clients",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,17.8
