Time frequency,Country of citizenship,Country of destination,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2021.0,2022.0,2023.0
Annual,Total,Third country,Less than 18 years,Total,Person,Austria,925.0,625.0,235.0,290.0,630.0
Annual,Total,Third country,Less than 18 years,Total,Person,Belgium,:,305.0,345.0,130.0,135.0
Annual,Total,Third country,Less than 18 years,Total,Person,Bulgaria,:,35.0,25.0,20.0,20.0
Annual,Total,Third country,Less than 18 years,Total,Person,Switzerland,:,0.0,75.0,150.0,180.0
Annual,Total,Third country,Less than 18 years,Total,Person,Cyprus,:,:,45.0,105.0,320.0
Annual,Total,Third country,Less than 18 years,Total,Person,Czechia,:,:,5.0,0.0,:
Annual,Total,Third country,Less than 18 years,Total,Person,Germany,:,:,1445.0,1495.0,2145.0
Annual,Total,Third country,Less than 18 years,Total,Person,Denmark,90.0,70.0,60.0,45.0,60.0
Annual,Total,Third country,Less than 18 years,Total,Person,Estonia,:,:,15.0,50.0,25.0
Annual,Total,Third country,Less than 18 years,Total,Person,Greece,:,65.0,205.0,260.0,230.0
Annual,Total,Third country,Less than 18 years,Total,Person,Spain,:,0.0,395.0,0.0,0.0
Annual,Total,Third country,Less than 18 years,Total,Person,European Union - 27 countries (from 2020),:,:,:,4700.0,6235.0
Annual,Total,Third country,Less than 18 years,Total,Person,Finland,150.0,165.0,80.0,75.0,85.0
Annual,Total,Third country,Less than 18 years,Total,Person,France,1415.0,890.0,70 b,160.0,150.0
Annual,Total,Third country,Less than 18 years,Total,Person,Croatia,110.0,165.0,75.0,275.0,580.0
Annual,Total,Third country,Less than 18 years,Total,Person,Hungary,20.0,0.0,10.0,15.0,105.0
Annual,Total,Third country,Less than 18 years,Total,Person,Ireland,20.0,50.0,20.0,20.0,35.0
Annual,Total,Third country,Less than 18 years,Total,Person,Italy,0.0,15.0,5.0,0.0,:
Annual,Total,Third country,Less than 18 years,Total,Person,Liechtenstein,0.0,0.0,:,0.0,:
Annual,Total,Third country,Less than 18 years,Total,Person,Lithuania,:,:,:,160.0,130.0
Annual,Total,Third country,Less than 18 years,Total,Person,Luxembourg,35.0,35.0,15.0,20.0,15.0
Annual,Total,Third country,Less than 18 years,Total,Person,Latvia,:,145.0,35.0,130.0,140.0
Annual,Total,Third country,Less than 18 years,Total,Person,Montenegro,:,:,0.0,0.0,:
Annual,Total,Third country,Less than 18 years,Total,Person,Malta,10.0,5.0,5.0,0.0,5.0
Annual,Total,Third country,Less than 18 years,Total,Person,Netherlands,:,0.0,90 d,45.0,60.0
Annual,Total,Third country,Less than 18 years,Total,Person,Norway,:,:,55.0,60.0,50.0
Annual,Total,Third country,Less than 18 years,Total,Person,Poland,:,365.0,90.0,125.0,155.0
Annual,Total,Third country,Less than 18 years,Total,Person,Portugal,:,0.0,:,110.0,45.0
Annual,Total,Third country,Less than 18 years,Total,Person,Romania,65.0,75.0,35.0,75.0,65.0
Annual,Total,Third country,Less than 18 years,Total,Person,Sweden,1265.0,1030.0,915.0,1080.0,1080.0
Annual,Total,Third country,Less than 18 years,Total,Person,Slovenia,0.0,5.0,0.0,0.0,0.0
Annual,Total,Third country,Less than 18 years,Total,Person,Slovakia,5.0,10.0,10.0,10.0,10.0
Annual,Total,Total,Less than 18 years,Total,Person,Austria,965.0,660.0,255.0,325.0,670.0
Annual,Total,Total,Less than 18 years,Total,Person,Belgium,:,305.0,360.0,135.0,145.0
Annual,Total,Total,Less than 18 years,Total,Person,Bulgaria,:,35.0,50.0,20.0,20.0
Annual,Total,Total,Less than 18 years,Total,Person,Switzerland,:,0.0,75.0,150.0,180.0
Annual,Total,Total,Less than 18 years,Total,Person,Cyprus,:,:,45.0,105.0,320.0
Annual,Total,Total,Less than 18 years,Total,Person,Czechia,:,:,5.0,0.0,15.0
Annual,Total,Total,Less than 18 years,Total,Person,Germany,:,:,1660.0,2000.0,2695.0
Annual,Total,Total,Less than 18 years,Total,Person,Denmark,110.0,75.0,75.0,45.0,60.0
Annual,Total,Total,Less than 18 years,Total,Person,Estonia,:,:,15.0,50.0,30.0
Annual,Total,Total,Less than 18 years,Total,Person,Greece,:,65.0,205.0,260.0,230.0
Annual,Total,Total,Less than 18 years,Total,Person,Spain,:,0.0,395.0,0.0,0.0
Annual,Total,Total,Less than 18 years,Total,Person,European Union - 27 countries (from 2020),:,:,5805.0,5830.0,7410.0
Annual,Total,Total,Less than 18 years,Total,Person,Finland,165.0,175.0,85.0,85.0,95.0
Annual,Total,Total,Less than 18 years,Total,Person,France,1645.0,1010.0,85 b,165.0,155.0
Annual,Total,Total,Less than 18 years,Total,Person,Croatia,110.0,165.0,80.0,275.0,580.0
Annual,Total,Total,Less than 18 years,Total,Person,Hungary,40.0,0.0,405.0,60.0,145.0
Annual,Total,Total,Less than 18 years,Total,Person,Ireland,30.0,55.0,20.0,20.0,35.0
Annual,Total,Total,Less than 18 years,Total,Person,Italy,0.0,15.0,5.0,0.0,:
Annual,Total,Total,Less than 18 years,Total,Person,Liechtenstein,0.0,5.0,5.0,0.0,:
Annual,Total,Total,Less than 18 years,Total,Person,Lithuania,:,:,190.0,160.0,130.0
