Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,76.7,72.7,65.5
Annual,Percentage,From 15 to 24 years,Females,Belgium,71.4,66.6,78.4
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,62.5 u,68.3,86.3 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,75.1 u,100.0 u,75.6
Annual,Percentage,From 15 to 24 years,Females,Czechia,77.1,77.8 u,72.5 u
Annual,Percentage,From 15 to 24 years,Females,Germany,67.1,62.8,68.7
Annual,Percentage,From 15 to 24 years,Females,Denmark,72.9,72.4,78.1
Annual,Percentage,From 15 to 24 years,Females,Estonia,73.4 u,55.8 u,77.5 u
Annual,Percentage,From 15 to 24 years,Females,Greece,66.6,77.2 u,67.0 u
Annual,Percentage,From 15 to 24 years,Females,Spain,78.5,76.8,80.2
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),65.4,64.8,64.5
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),66.4,67.3,68.2
Annual,Percentage,From 15 to 24 years,Females,Finland,72.7,84.7,83.1 u
Annual,Percentage,From 15 to 24 years,Females,France,45.9,57.2,64.8
Annual,Percentage,From 15 to 24 years,Females,Croatia,73.5,85.7 u,86.9 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,80.3 u,72.0 u,70.9 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,82.8,84.5,90.6
Annual,Percentage,From 15 to 24 years,Females,Italy,38.9,46.5,9.5 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,67.8,52.3 u,74.8
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,61.7 u,66.7 u,66.6 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,80.3,95.7 u,66.3 u
Annual,Percentage,From 15 to 24 years,Females,Malta,89.8,78.1,88.6
Annual,Percentage,From 15 to 24 years,Females,Netherlands,88.4 u,74.3,60.2
Annual,Percentage,From 15 to 24 years,Females,Poland,67.7,54.8,64.7
Annual,Percentage,From 15 to 24 years,Females,Portugal,52.2,68.5 u,86.8 u
Annual,Percentage,From 15 to 24 years,Females,Romania,64.0,66.5 u,34.7 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,82.1 u,53.8 u,61.4
Annual,Percentage,From 15 to 24 years,Females,Slovenia,80.5 u,76.9 u,87.0 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,64.7,60.9 u,62.0 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,70.8,77.8,81.2
Annual,Percentage,From 15 to 24 years,Males,Austria,73.2,46.4,47.7
Annual,Percentage,From 15 to 24 years,Males,Belgium,60.6,53.4,63.2
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,69.5,57.8 u,82.5 u
Annual,Percentage,From 15 to 24 years,Males,Cyprus,63.3 u,86.9 u,70.1
Annual,Percentage,From 15 to 24 years,Males,Czechia,60.8,73.1 u,43.8 u
Annual,Percentage,From 15 to 24 years,Males,Germany,63.0,56.5,56.9
Annual,Percentage,From 15 to 24 years,Males,Denmark,83.3,71.6,83.8
Annual,Percentage,From 15 to 24 years,Males,Estonia,74.4,73.9 u,76.2 u
Annual,Percentage,From 15 to 24 years,Males,Greece,57.0,71.1,85.3 u
Annual,Percentage,From 15 to 24 years,Males,Spain,62.1,71.7,79.5
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),60.8,58.6,63.2
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),62.2,62.0,65.5
Annual,Percentage,From 15 to 24 years,Males,Finland,95.1,82.8,87.7 u
Annual,Percentage,From 15 to 24 years,Males,France,36.7,49.9,75.9
Annual,Percentage,From 15 to 24 years,Males,Croatia,75.3,63.2,65.7 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,67.3 u,75.0 u,86.6 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,83.9,75.7,82.5
Annual,Percentage,From 15 to 24 years,Males,Italy,47.4,34.3,44.3 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,67.6 u,66.2 u,64.0 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,67.3 u,88.0,67.2 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,79.6,83.9,62.9 u
Annual,Percentage,From 15 to 24 years,Males,Malta,68.4,81.0,88.9
Annual,Percentage,From 15 to 24 years,Males,Netherlands,79.8,66.4,57.2
Annual,Percentage,From 15 to 24 years,Males,Poland,76.0,48.9,53.7
Annual,Percentage,From 15 to 24 years,Males,Portugal,54.9,70.4 u,74.9 u
Annual,Percentage,From 15 to 24 years,Males,Romania,49.4,72.4 u,61.7 u
Annual,Percentage,From 15 to 24 years,Males,Sweden,71.7 u,54.5 u,69.1
Annual,Percentage,From 15 to 24 years,Males,Slovenia,80.9,69.7,70.1
Annual,Percentage,From 15 to 24 years,Males,Slovakia,66.5 u,51.1 u,55.4 u
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,70.5,78.3,73.6
Annual,Percentage,From 15 to 24 years,Total,Austria,74.7,58.6,56.7
Annual,Percentage,From 15 to 24 years,Total,Belgium,66.0,59.4,70.6
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,67.2,62.1,83.9
Annual,Percentage,From 15 to 24 years,Total,Cyprus,67.4,93.1 u,73.2
Annual,Percentage,From 15 to 24 years,Total,Czechia,67.3,74.9,56.8
Annual,Percentage,From 15 to 24 years,Total,Germany,64.8,59.5,62.5
Annual,Percentage,From 15 to 24 years,Total,Denmark,78.7,72.0,81.1
Annual,Percentage,From 15 to 24 years,Total,Estonia,74.1,65.2,76.8
Annual,Percentage,From 15 to 24 years,Total,Greece,61.7,73.9,76.7
Annual,Percentage,From 15 to 24 years,Total,Spain,68.5,74.0,79.9
Annual,Percentage,From 15 to 24 years,Total,European Union - 27 countries (from 2020),62.8,61.5,63.8
Annual,Percentage,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),64.1,64.5,66.8
Annual,Percentage,From 15 to 24 years,Total,Finland,84.0,83.9,84.5
Annual,Percentage,From 15 to 24 years,Total,France,41.3,53.6,70.5
Annual,Percentage,From 15 to 24 years,Total,Croatia,74.6,71.0,74.4
Annual,Percentage,From 15 to 24 years,Total,Hungary,73.3,73.7,78.1
Annual,Percentage,From 15 to 24 years,Total,Ireland,83.4,80.7,86.4
Annual,Percentage,From 15 to 24 years,Total,Italy,44.3,40.0,28.3 u
Annual,Percentage,From 15 to 24 years,Total,Lithuania,67.7,59.5,69.3
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,64.9 u,77.8,66.9
Annual,Percentage,From 15 to 24 years,Total,Latvia,79.9,89.5,64.4
Annual,Percentage,From 15 to 24 years,Total,Malta,78.9,79.6,88.7
Annual,Percentage,From 15 to 24 years,Total,Netherlands,83.5,70.3,58.6
Annual,Percentage,From 15 to 24 years,Total,Poland,72.6,51.7,58.5
Annual,Percentage,From 15 to 24 years,Total,Portugal,53.7,69.5,80.6
Annual,Percentage,From 15 to 24 years,Total,Romania,55.8,70.4,50.2
