Time frequency,Categorisation of active substances for harmonised risk indicator,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Austria,92.0,97.0,87.0,89.0,93.0,101.0,106.0,113.0,106.0,102.0,106.0,108.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Belgium,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Bulgaria,288.0,45.0,34.0,28.0,57.0,133.0,110.0,188.0,201.0,130.0,97.0,78.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Czechia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Germany,102.0,105.0,97.0,106.0,104.0,98.0,98.0,85.0,83.0,71.0,69.0,69.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Denmark,169.0,233.0,173.0,81.0,100.0,96.0,103.0,101.0,101.0,102.0,96.0,109.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Estonia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Greece,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Spain,127.0,104.0,111.0,121.0,120.0,101.0,80.0,85.0,97.0,88.0,74.0,40.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",European Union - 27 countries (from 2020),116.0,105.0,101.0,105.0,106.0,101.0,92.0,93.0,85.0,73.0,66.0,54.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Finland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",France,102.0,101.0,102.0,112.0,104.0,103.0,93.0,106.0,61.0,66.0,67.0,65.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Croatia,133.0,133.0,133.0,130.0,116.0,99.0,85.0,89.0,81.0,75.0,56.0,59.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Hungary,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Ireland,112.0,88.0,94.0,108.0,112.0,100.0,88.0,81.0,121.0,49.0,50.0,45.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Italy,117.0,103.0,86.0,92.0,103.0,100.0,97.0,91.0,83.0,67.0,57.0,47.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Lithuania,70.0,79.0,80.0,83.0,90.0,108.0,102.0,78.0,83.0,72.0,63.0,87.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Luxembourg,127.0,113.0,120.0,127.0,125.0,92.0,83.0,74.0,63.0,54.0,42.0,38.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Latvia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Netherlands,123.0,120.0,111.0,106.0,98.0,105.0,98.0,90.0,83.0,72.0,63.0,55.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Poland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Portugal,125.0,114.0,94.0,118.0,98.0,113.0,89.0,75.0,79.0,68.0,66.0,60.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Romania,162.0,179.0,158.0,100.0,101.0,96.0,103.0,104.0,85.0,69.0,57.0,44.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Sweden,135.0,159.0,118.0,118.0,113.0,92.0,95.0,82.0,78.0,80.0,82.0,90.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Slovenia,109.0,108.0,89.0,96.0,99.0,105.0,96.0,101.0,74.0,69.0,65.0,59.0
Annual,Pesticides - farm to fork strategy indicator 1 (all chemical active substances),"Index, 2015-2017 average =100",Slovakia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
