Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Albania,:,:,:,:,:,1.55,1.69,3.92,5.24,10.86,15.1,:
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Austria,48.6,47.95,51.03,53.34,57.49,58.41,62.78,65.79,71.31,73.13,77.17,78.24
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Bosnia and Herzegovina,:,:,:,:,:,4.9,5.45,12.26,12.82,:,19.93,27.34
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Belgium,57.83,61.24,62.28,64.48,66.63,68.74,71.18,75.3,75.26,79.51,79.6,83.54
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Bulgaria,4.57,4.7,5.35,4.4,5.49,7.37,8.57,12.57,14.87,22.44,23.43,31.33
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Switzerland,:,54.29,:,:,66.05 b,:,72.84,:,77.44,:,83.8,:
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Cyprus,23.26,24.2,20.47,27.72,27.59,33.28,40.54,52.12,64.71,63.94,70.86,80.54
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Czechia,41.49,46.05,48.44,51.36,56.55,62.42,67.96,69.66,72.78,77.09,79.84,83.57
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Germany,47.12,48.76,50.98,52.97,55.56,58.84,61.1,64.91,50.35 b,48.58,57.22,66.92
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Denmark,82.46,84.28,84.89,87.86,89.77,89.47,90.78,94.32,94.59,94.35,96.22,97.76
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Estonia,72.22,76.56 b,80.67,78.59,79.23,80.36,80.72,79.84,81.51,83.36,84.89,83.39
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Greece,10.72,13.14,13.87,19.16,25.12,27.28,30.51,36.55,42.4,49.78,52.01,54.15
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Spain,32.91,37.42,39.37,43.15,46.18,48.66,54.88,62.1,65.16,69.6,71.45,74.96
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,European Union - 27 countries (from 2020),40.13,42.29,43.82,46.27,48.88,51.43,54.57,57.69 e,58.31 b,59.63,63.87,67.24
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Finland,84.4,85.61,85.68,86.41,87.41,88.71,90.72,92.18,93.26,94.68,94.48,94.99
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,France,57.56,57.6,58.28,59.36,62.01,63.48,65.55,:,71.6,67.86,72.41,71.88
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Croatia,23.32,19.14,32.9,38.33,33.3,40.74,46.46,50.15,55.53,57.96,61.88,61.52
Annual,Internet use: Internet banking,Percentage of individuals,All individuals,Hungary,26.9,30.52,33.8,35.26,37.7,41.27,46.7,51.31,55.98,61.04,65.52,66.85
