Time frequency,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Albania,:,:,:,58.2,53.8,50.6,46.2,46.7,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Austria,:,10.2,9.5,9.8,10.5,10.6,10.5,9.7,9.2,9.9
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Belgium,:,16.2,15.8,16.6,16.3,16.5 b,16.8 b,15.9,15.5,15.1
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Bulgaria,:,42.8,40.3 b,37.3,32.8,32.9,33.0,30.8,31.1,28.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Switzerland,20.7,25.9,26.7,24.1,21.4,31.1,24.8,27.2,26.1,28.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Cyprus,:,18.5,17.8,16.9,14.6,13.7,12.8,12.8,12.6,12.7
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Czechia,:,10.0,9.1,9.4,9.7,10.6,9.1,8.3,9.5,9.0
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Germany,:,12.2,12.2,12.4,12.3,11.9,13.7 b,14.2,13.6,12.3
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Denmark,:,16.3,14.8,14.3,13.3,14.0,16.0 b,17.7,17.5,15.3
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,19.4,19.1,18.4,18.0,17.7,18.1 b,18.5,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area - 18 countries (2014),:,19.2,18.9,18.2,17.8,17.6,17.8 b,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area - 19 countries  (2015-2022),:,19.4,19.1,18.4,18.0,17.7,18.0 b,18.4,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Euro area – 20 countries (from 2023),20.2,19.5,19.2,18.5,18.1,17.8,18.1 b,18.5,18.3,17.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Estonia,:,24.4,23.6,24.6,25.5,26.2,26.0,25.7,29.1,26.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Greece,:,30.0,30.4,30.0,27.9,27.4,25.4,25.9,24.1,23.3
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Spain,:,25.1,25.0,23.7,23.7,22.0,22.5,22.8,22.3,22.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,19.8,:,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,19.9 e,:,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,European Union - 27 countries (from 2020),:,22.8,22.3,21.2,20.3,19.8,19.9 b,19.8,19.5,18.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,19.8,:,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Finland,:,14.2,13.7,13.4,13.8,12.2 b,11.4,11.8,13.3 b,11.2
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,France,:,11.4,10.9,10.7,9.3,9.9,10.3 b,11.4,12.2 b,12.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Croatia,25.1,24.8,23.7,23.7,22.5,21.9,21.6,22.0,20.3,21.5 b
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Hungary,:,27.2,25.8,24.4,19.6,20.3,19.0,19.3,18.2,19.2
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Ireland,:,20.1,19.3,19.0,16.9,14.6 b,15.7 b,17.0,17.5,14.5
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Iceland,:,7.8,7.5,10.3,9.6,7.3,:,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Italy,:,22.9,22.7,20.9,21.2,21.0,21.0,21.2,21.6,19.4
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Lithuania,:,29.1,30.1,29.7,28.5,25.5,25.0,25.0,26.2,26.1
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Luxembourg,:,10.4,12.0 b,15.6,16.2,15.1,13.0 b,12.6 b,17.8 b,12.9
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Latvia,:,28.9,27.5,28.2,29.1,28.3,25.0 p,26.5,26.4,26.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Montenegro,:,44.4,43.4,41.7,41.0,36.2,37.1,37.9,33.6,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,North Macedonia,:,40.1,37.7,36.3,34.7,33.4,31.4,:,:,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Malta,:,19.7,17.9,17.4,18.3,18.9,18.1,18.8,19.1,19.2
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Netherlands,:,14.2,16.8 b,17.5,19.8,18.9,15.7,18.7,18.1,15.5
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Norway,:,9.9,9.0,9.4,7.9,8.4,9.5,10.0 b,11.5,8.9 b
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Poland,:,21.9,19.8,18.6,18.3,18.4,17.8,17.2,16.2,16.5
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Portugal,:,25.4,25.5,24.8,22.2,22.1,22.0,24.1,20.9,20.6
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Romania,:,44.3,45.6,42.6,38.9,36.0,35.5,34.5,33.5,31.9
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Serbia,:,40.3,28.6,38.0,33.4,30.1,29.4,27.8,28.0,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Sweden,:,17.5,19.3,16.6,16.5,16.2,15.7,15.5,18.8,17.4
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Slovenia,:,14.3,13.6,13.4,13.6,11.8,12.4,12.4,12.5,12.8
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Slovakia,:,16.4,16.4,14.5,13.9,13.9,13.4,15.1,15.0,:
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,Türkiye,:,29.6,28.5,32.6,32.4,32.4,34.2,33.2,31.4,29.4
Annual,"Owner, no outstanding mortgage or housing loan",Percentage,United Kingdom,:,18.1,17.7,19.2 b,21.0,:,:,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Albania,:,:,:,82.2,61.0,85.0,66.8,61.2,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Austria,:,26.7,25.3,23.2,20.5,25.8,20.9,25.6,24.3,20.5
Annual,"Tenant, rent at reduced price or free",Percentage,Belgium,:,51.9,55.5,52.8,53.1,54.0 b,56.6 b,48.8,50.6,47.5
Annual,"Tenant, rent at reduced price or free",Percentage,Bulgaria,:,52.1,49.7 b,46.4,38.3,40.3,43.0,42.6,44.6,44.2
Annual,"Tenant, rent at reduced price or free",Percentage,Switzerland,28.6,32.3,32.7,32.4,35.1,40.3,40.4,33.6,29.7,28.9
Annual,"Tenant, rent at reduced price or free",Percentage,Cyprus,:,35.2,34.3,35.8,34.3,33.7,30.7,29.2,27.8,27.3
Annual,"Tenant, rent at reduced price or free",Percentage,Czechia,:,22.6,18.6,21.1,24.3,24.3,24.1,21.3,26.1,24.0
Annual,"Tenant, rent at reduced price or free",Percentage,Germany,:,36.7,36.6,36.6,33.3,34.6,39.5 b,34.7,36.3,41.2
Annual,"Tenant, rent at reduced price or free",Percentage,Denmark,:,: u,: u,: u,: u,: u,: u,: u,: u,: u
Annual,"Tenant, rent at reduced price or free",Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,38.2,39.0,38.4,36.4,37.1,41.5 b,40.8,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Euro area - 18 countries (2014),:,38.1,38.9,38.3,36.3,37.1,41.7 b,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Euro area - 19 countries  (2015-2022),:,38.2,39.0,38.4,36.4,37.1,41.7 b,40.9,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Euro area – 20 countries (from 2023),39.2,38.1,38.9,38.4,36.3,36.9,41.5 b,40.8,40.8,40.0
Annual,"Tenant, rent at reduced price or free",Percentage,Estonia,:,39.8,41.2,39.7,36.9,38.2,37.7,41.3,44.9,43.0
Annual,"Tenant, rent at reduced price or free",Percentage,Greece,:,41.9,40.2,40.3,35.2,34.0,36.2,39.4,41.2,38.2
Annual,"Tenant, rent at reduced price or free",Percentage,Spain,:,44.4,48.7,49.9,44.8,45.8,45.4,44.8,41.2,40.7
Annual,"Tenant, rent at reduced price or free",Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,36.0,:,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,36.8,:,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,European Union - 27 countries (from 2020),:,38.4,38.7,37.6,35.6,36.0,39.9 b,39.3,39.8,38.9
Annual,"Tenant, rent at reduced price or free",Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,36.0,:,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Finland,:,39.0,38.3,37.3,38.8,33.8 b,35.5,32.7,39.6 b,37.1
Annual,"Tenant, rent at reduced price or free",Percentage,France,:,29.9,31.2,32.5,31.5,32.8,44.6 b,43.7,45.7 b,42.8
Annual,"Tenant, rent at reduced price or free",Percentage,Croatia,33.0,30.4,28.9,33.8,28.3,23.0,23.1,24.7,26.2,22.5 b
Annual,"Tenant, rent at reduced price or free",Percentage,Hungary,:,52.0,42.4,43.4,36.0,29.0,44.4,35.5,36.3,42.1
Annual,"Tenant, rent at reduced price or free",Percentage,Ireland,:,55.6,49.7,45.5,45.3,46.2 b,42.1 b,38.6,39.8,35.7
Annual,"Tenant, rent at reduced price or free",Percentage,Iceland,:,33.3,32.0,32.0,31.8,33.7,:,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Italy,:,44.4,46.5,42.7,41.5,41.1,40.2,40.9,38.7,37.5
Annual,"Tenant, rent at reduced price or free",Percentage,Lithuania,:,47.4,51.7,55.0,52.1,38.7,40.8,38.4,38.1,39.7
Annual,"Tenant, rent at reduced price or free",Percentage,Luxembourg,:,33.5,41.3 b,35.2,45.1,41.3,38.3 b,45.0 b,45.0 b,47.0
Annual,"Tenant, rent at reduced price or free",Percentage,Latvia,:,49.0,43.5,46.1,43.9,39.7,41.7 p,47.5,47.9,42.2
Annual,"Tenant, rent at reduced price or free",Percentage,Montenegro,:,45.3,55.4,56.2,55.3,49.4,44.4,57.7,49.5,:
Annual,"Tenant, rent at reduced price or free",Percentage,North Macedonia,:,52.8,53.1,42.9,41.0,38.4,40.7,:,:,:
Annual,"Tenant, rent at reduced price or free",Percentage,Malta,:,40.2,37.1,36.0,35.6,39.8,39.3,37.6,35.1,31.4
Annual,"Tenant, rent at reduced price or free",Percentage,Netherlands,:,38.6,30.1 b,37.8,38.4,38.5,43.2,42.2,41.4,37.5
Annual,"Tenant, rent at reduced price or free",Percentage,Norway,:,42.8,44.1,45.0,45.9,50.9,52.3,54.7 b,40.8,44.8 b
Annual,"Tenant, rent at reduced price or free",Percentage,Poland,:,36.0,34.8,28.8,29.4,27.1,24.8,25.2,25.1,24.2
Annual,"Tenant, rent at reduced price or free",Percentage,Portugal,:,44.1,40.1,41.4,39.9,37.4,34.8,34.1,33.8,40.5
Annual,"Tenant, rent at reduced price or free",Percentage,Romania,:,48.5,55.9,54.6,50.0,51.5,54.8,48.1,64.0,46.9
Annual,"Tenant, rent at reduced price or free",Percentage,Serbia,:,46.8,40.5,46.9,38.3,39.3,35.5,38.9,37.2,:
Annual,"Tenant, rent at reduced price or free",Percentage,Sweden,:,46.4 u,61.2,47.5,46.6,51.8,50.2,43.8,39.6,52.0
Annual,"Tenant, rent at reduced price or free",Percentage,Slovenia,:,27.1,26.7,27.3,22.6,21.1,21.0,18.6,19.1,21.5
Annual,"Tenant, rent at reduced price or free",Percentage,Slovakia,:,41.7,40.4,40.1,33.5,31.3,25.8,62.0,54.3,:
Annual,"Tenant, rent at reduced price or free",Percentage,Türkiye,:,30.6,32.5,37.8,39.6,39.6,39.8,38.7,38.7,34.6
Annual,"Tenant, rent at reduced price or free",Percentage,United Kingdom,:,47.0,46.3,48.1 b,45.2,:,:,:,:,:
Annual,"Tenant, rent at market price",Percentage,Albania,:,:,:,58.2,52.9,46.9,39.6,41.2,:,:
Annual,"Tenant, rent at market price",Percentage,Austria,:,28.7,29.9,29.7,29.0,27.1,29.0,29.0,29.6,32.2
Annual,"Tenant, rent at market price",Percentage,Belgium,:,42.3,43.4,45.2,42.6,38.6 b,38.3 b,35.9,37.0,37.3
Annual,"Tenant, rent at market price",Percentage,Bulgaria,:,26.6,30.1 b,35.6,27.7,22.2,18.2,22.3,25.4,20.9
Annual,"Tenant, rent at market price",Percentage,Switzerland,20.1,20.9,21.2,22.2,21.3,22.9,21.1,19.9,22.3,23.0
Annual,"Tenant, rent at market price",Percentage,Cyprus,:,40.5,40.1,36.8,33.3,31.9,30.6,29.9,29.7,29.6
Annual,"Tenant, rent at market price",Percentage,Czechia,:,29.7,30.1,27.1,25.4,24.7,26.8,25.9,23.1,26.6
Annual,"Tenant, rent at market price",Percentage,Germany,:,29.9,29.0,26.9,27.5,24.7,28.2 b,29.1,28.6,29.2
Annual,"Tenant, rent at market price",Percentage,Denmark,:,35.5,33.0,33.0,32.9,31.2,29.1 b,29.9,30.4,32.4
Annual,"Tenant, rent at market price",Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,35.8,35.6,33.8,33.9,32.2,32.5 b,32.7,:,:
Annual,"Tenant, rent at market price",Percentage,Euro area - 18 countries (2014),:,35.8,35.6,33.8,33.9,32.2,32.5 b,:,:,:
Annual,"Tenant, rent at market price",Percentage,Euro area - 19 countries  (2015-2022),:,35.8,35.6,33.8,33.9,32.2,32.5 b,32.7,:,:
Annual,"Tenant, rent at market price",Percentage,Euro area – 20 countries (from 2023),36.4,35.8,35.6,33.8,34.0,32.2,32.5 b,32.7,31.7,31.7
Annual,"Tenant, rent at market price",Percentage,Estonia,:,32.7,29.4,23.3,27.1,28.6,33.1,26.6,30.8,35.8
Annual,"Tenant, rent at market price",Percentage,Greece,:,39.8,38.3,37.6,35.6,34.6,33.2,32.5,29.7,30.3
Annual,"Tenant, rent at market price",Percentage,Spain,:,45.7,46.9,46.0,45.1,43.9,48.7,48.9,44.8,42.8
Annual,"Tenant, rent at market price",Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,31.9,:,:,:,:
Annual,"Tenant, rent at market price",Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,32.8 e,:,:,:,:
Annual,"Tenant, rent at market price",Percentage,European Union - 27 countries (from 2020),:,35.8,35.4,33.4,33.6,31.9,32.2 b,32.4,31.4,31.5
Annual,"Tenant, rent at market price",Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,31.9,:,:,:,:
Annual,"Tenant, rent at market price",Percentage,Finland,:,32.6,33.0,31.2,30.9,25.2 b,27.1,26.5,30.4 b,31.2
Annual,"Tenant, rent at market price",Percentage,France,:,35.9,38.3,34.2,38.7,41.3,25.8 b,27.9,31.8 b,29.7
Annual,"Tenant, rent at market price",Percentage,Croatia,29.2,23.1,30.1,37.3,37.3,32.0,25.1,20.3,18.4,33.1 b
Annual,"Tenant, rent at market price",Percentage,Hungary,:,44.9,40.3,25.5,25.9,22.2,24.3,31.7,22.2,20.8
Annual,"Tenant, rent at market price",Percentage,Ireland,:,34.5,34.3,35.9,29.9,21.1 b,34.5 b,36.9,31.1,42.1
Annual,"Tenant, rent at market price",Percentage,Iceland,:,27.2,26.8,26.5,15.7,22.8,:,:,:,:
Annual,"Tenant, rent at market price",Percentage,Italy,:,49.5,45.8,43.7,41.0,36.9,42.3,40.6,36.3,35.0
Annual,"Tenant, rent at market price",Percentage,Lithuania,:,46.6,35.0,46.0,47.6,36.3,31.6,48.9,34.9,18.1
Annual,"Tenant, rent at market price",Percentage,Luxembourg,:,39.8,35.5 b,35.1,31.9,31.5,34.1 b,36.4 b,28.6 b,31.6
Annual,"Tenant, rent at market price",Percentage,Latvia,:,36.8,36.7,33.2,32.7,28.9,32.8 p,29.6,28.1,29.9
Annual,"Tenant, rent at market price",Percentage,Montenegro,:,52.0,47.5,43.8,38.5,37.3,46.2,41.6,32.9,:
Annual,"Tenant, rent at market price",Percentage,North Macedonia,:,64.0,46.4,47.9,26.8,36.8,31.7,:,:,:
Annual,"Tenant, rent at market price",Percentage,Malta,:,35.2,43.6,43.5,33.3,34.5,35.6,37.8,42.4,29.3
Annual,"Tenant, rent at market price",Percentage,Netherlands,:,35.2,36.9 b,37.0,35.1,35.3,35.3,16.8,14.3,18.6
Annual,"Tenant, rent at market price",Percentage,Norway,:,54.2,53.0,50.0,52.2,49.7,50.5,47.7 b,45.9,45.2 b
Annual,"Tenant, rent at market price",Percentage,Poland,:,33.8,27.9,22.3,22.5,18.5,18.2,19.9,18.9,23.5
Annual,"Tenant, rent at market price",Percentage,Portugal,:,39.6,35.3,30.3,26.8,27.6,24.5,30.9,29.6,30.2
Annual,"Tenant, rent at market price",Percentage,Romania,:,64.8,64.2,41.7,34.0,33.1,27.2,24.8,37.8,30.1
Annual,"Tenant, rent at market price",Percentage,Serbia,:,40.1,27.5,40.1,34.9,30.3,25.4,25.3,20.5,:
Annual,"Tenant, rent at market price",Percentage,Sweden,:,37.9,34.7,34.3,36.2,36.4,35.7,36.0,34.7,34.2
Annual,"Tenant, rent at market price",Percentage,Slovenia,:,43.9,37.6,34.1,30.7,29.7,30.0,25.7,27.8,22.5
Annual,"Tenant, rent at market price",Percentage,Slovakia,:,24.3,23.4,29.2,32.1,32.6,33.7,41.8,32.3,:
Annual,"Tenant, rent at market price",Percentage,Türkiye,:,22.7,25.0,34.5,33.6,36.6,36.0,37.6,36.1,34.1
Annual,"Tenant, rent at market price",Percentage,United Kingdom,:,33.7,29.6,27.1 b,36.5,:,:,:,:,:
Annual,Total,Percentage,Albania,:,:,:,58.5,53.9,50.7,46.2,46.6,:,:
Annual,Total,Percentage,Austria,:,16.9,17.2,17.1,16.8,16.5,16.7,17.3,17.5,17.7
