Time frequency,Unit of measure,Maritime entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Growth rate on previous period (t/t-1),Belgium,:,5.9,-3.3,8.4,-2.6,-0.1,4.4,3.8,10.0,5.9,7.8,3.4,-16.2,12.2,2.0,-3.7,1.9,4.7,1.6,4.9,1.9,4.8,2.8,-3.3,7.3,-0.2,-5.2
Annual,Growth rate on previous period (t/t-1),Bulgaria,:,:,:,:,:,0.5,5.2,8.3,7.4,10.7,-9.5,6.7,-17.6,4.8,9.5,3.0,11.5,-5.6,-0.3,5.6,7.9,-10.0,11.2,-18.5,1.3,20.2,-2.4
Annual,Growth rate on previous period (t/t-1),Cyprus,:,:,:,:,:,:,2.2,-5.8,6.6,4.8,-2.1,6.2,-14.7,2.7,-5.6,-5.0,15.0,0.2,3.3,38.2,-23.4,-11.6,6.9,0.6,-6.5,17.9,6.2
Annual,Growth rate on previous period (t/t-1),Germany,:,2.1,1.6,9.2,1.7,-0.2,4.7,6.4,5.2,6.3,4.2,1.9,-17.8,4.0,7.6,1.0,1.4,2.1,-2.8,0.4,0.6,-0.9,-0.3,-6.4,4.7,-3.8,-4.2
Annual,Growth rate on previous period (t/t-1),Denmark,:,-12.9,-7.4,3.1,-1.2,0.5,8.6,1.1,1.9,7.1,1.7,-0.4,-15.0,-2.8,4.6,-5.2,2.0,-0.5,11.0,0.3,-1.5,0.0,-0.2,-2.1,2.8,5.0,-5.7
Annual,Growth rate on previous period (t/t-1),Estonia,:,:,:,:,:,:,1.5,-1.1,0.5,4.8,-12.1,-20.9,4.9,26.7,4.6,-11.6,-2.6,1.6,-21.4,-3.8,3.0,4.3,5.6,1.0,11.0,-15.6,-31.9
Annual,Growth rate on previous period (t/t-1),Greece,:,8.9,2.0,-14.0,-9.4,11.7,14.2,-3.1,-2.9,3.2,1.0,-7.5,-7.3,-2.5,4.3,20.1,4.8,5.0,1.8,5.1,4.0,7.1,4.5,-6.7,-0.6,-5.7,4.4
Annual,Growth rate on previous period (t/t-1),Spain,:,:,:,:,14.6,4.0,5.1,9.0,7.3,4.1,3.5,-1.8,-12.9,3.4,7.6,5.2,-5.3,7.3,5.8,0.7,7.7,2.3,-1.3,-8.0,4.5,2.3,-3.9
Annual,Growth rate on previous period (t/t-1),European Union - 15 countries (1995-2004),:,:,:,:,0.6,1.2,3.5,4.1,4.1,3.3,3.1,0.9,-12.0,5.0,4.7,-0.4,-0.5,1.3,1.8,0.3,2.7,2.4,0.2,:,:,:,:
