Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Country of residence,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Romania,:,:,:,:,:,26915573.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Sweden,:,:,:,:,:,58683201.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Slovenia,:,:,:,:,:,12460084.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Slovakia,:,:,:,:,:,14667937.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Albania,:,:,:,:,:,:,1952848 e,:,739579 e,:,:,3522277 e
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Austria,103729543.0,104495623.0,103770644.0,105621722.0,110118843.0,112558033.0,116269532.0,118496188.0,77489092.0,65102624.0,109685483.0,119767752.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Belgium,29037206.0,29069935.0,30006490.0,35640070.0,34600391.0,35788194.0,37940822.0,38879515.0,19537124.0,28515896.0,40428715.0,41355916.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Bulgaria,18852044.0,19947591.0,19753324.0,19433843.0,23856336.0,24673676.0,25460861.0,25725031.0,11638755.0,17117329.0,23052139.0,25483854.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Switzerland,:,:,:,:,41911369.0,43883193.0,45367299.0,45952696.0,:,43903759.0,48901172.0,49608387.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Cyprus,14086595.0,13624112.0,13218833.0,12776037.0,14662579.0,15997215.0,16276200.0,16548032.0,3503402.0,9210460.0,13225852.0,14289293.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Czechia,39600666.0,39395588.0,38678613.0,42004560.0,44259158.0,47091325.0,49207373.0,50593800.0,30615212.0,31105502.0,47623041.0,51366274.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Germany,333805511.0,337262839.0,347572814.0,357164555.0,367981963.0,378820364.0,396187512.0,413875620.0,256002707.0,261386681.0,386328715.0,412829070.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Denmark,26940819.0,27273668.0,28320678.0,29320451.0,30235138.0,30385931.0,31378757.0,32327566.0,23343936.0,28179033.0,37135624.0,37103241.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Euro area - 19 countries  (2015-2022),:,:,:,1985362466 e,2056265777 e,:,2204710123 e,2248548184 e,1159836156 e,1488313150.0,2196696452.0,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,2283673413.0,2399501839.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Estonia,5358591.0,5551387.0,5587616.0,5486618.0,5928409.0,6177989.0,6221805.0,6525723.0,3571092.0,3877369.0,5712147.0,6070312.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Greece,76321584 e,84339682.0,94823708.0,99170403.0,103026588.0,111198728.0,132573435.0,131862184.0,37213015.0,70197782.0,122729127.0,132941132.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Spain,364136743.0,369727291.0,382680282.0,398082962.0,428358054.0,440835238.0,434992894.0,434122799.0,137319759.0,249100625.0,422515531.0,447314890.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,European Union - 27 countries (from 2020),3382854117.0,3424041806.0,2231390897.0,2313914746 e,2410946112 e,2521171857 e,2594786694 e,2650835265 e,1383144481 e,1782938034.0,2592592468.0,2719945343.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Finland,19240593.0,19104856.0,18587983.0,18384066.0,18757348.0,20034459.0,20286431.0,21081150.0,13799999.0,17125222.0,20954360.0,21308466.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,France,375897752.0,380473583.0,374121810.0,380762594.0,378038671.0,402374075.0,407036594.0,415510584.0,252309148 e,317313822 e,427554883.0,433526202.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Croatia,60495563.0,62397843.0,63608567.0,68293469.0,74400286.0,81680487.0,90944222.0,92716827.0,40126692.0,68694164.0,86976961.0,87922371.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Hungary,21655736.0,22647028.0,24091834.0,25247948.0,26809619.0,28688977.0,29657215.0,29847382.0,14110392.0,16740441.0,27313990.0,27510003.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Ireland,24998251 u,24630590 u,25351255 e,25166993 e,25473893 e,:,28394494 u,26215140 e,14621527 e,13263206 e,28439739.0,30971861.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Iceland,3060284.0,3526234.0,4384571.0,4916451.0,5387163.0,:,:,5188000.0,2802389.0,3825581.0,6319310.0,6559185.0
