Time frequency,Economical indicator for structural business statistics,Size classes in number of persons employed,Cross border trade,Geopolitical entity (reporting)\Time,2004.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Germany,11213.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Denmark,1905.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Greece,427.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Spain,363.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Finland,209.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Lithuania,68.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Latvia,187.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Malta,16.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Norway,1447.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Poland,1634.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Romania,163.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Sweden,1108.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Slovenia,141.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,Slovakia,341.0
Annual,Enterprises - number,From 1 to 49 persons employed,Trade within own enterprise group,United Kingdom,8158.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Germany,1874.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Denmark,2128.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Greece,162.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Spain,39.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Finland,546.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Lithuania,42.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Latvia,75.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Malta,0.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Norway,270.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Poland,1930.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Romania,99.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Sweden,3.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Slovenia,39.0
Annual,Enterprises - number,From 1 to 49 persons employed,Joint ventures with enterprise abroad,Slovakia,117.0
