Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Year,Females,Healthy life years in absolute value at birth,Austria,60.2,57.8,58.1,57.1,56.8,57.0,58.0,59.3,61.3,61.3
Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,63.7,63.7,64.0,63.7,64.0,63.7,62.8 b,64.0,64.4,63.3
Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,66.6,66.1,65.0,67.5 b,66.2,67.6,68.4,67.8,65.1,68.9 b
Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,58.4 b,56.7,57.8,57.7,59.4,59.5,60.0,60.7,59.3,56.7
Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,65.0,66.1,63.4,68.8,65.8,62.4,63.0,63.1,66.8,66.3
Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,64.2,65.0,63.7,64.0,62.4,63.4,62.6,62.5,63.4,62.4
Annual,Year,Females,Healthy life years in absolute value at birth,Germany,57.0,56.5,67.5 b,67.3,66.7,66.3,67.1,66.8 b,66.5,61.2 bu
Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,60.1,61.4,57.6,60.3,59.7,59.1,58.8,57.7 b,54.8,54.6
Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,57.1,57.1,56.2,59.0,57.2,55.0,57.7,59.6,58.0,60.6
Annual,Year,Females,Healthy life years in absolute value at birth,Greece,65.1,64.9,64.1,64.7,65.1,65.9,66.4,66.8,66.6,67.8
Annual,Year,Females,Healthy life years in absolute value at birth,Spain,63.9,65.0,64.1,66.5,69.9,68.0,70.4,66.3,62.6,60.6
Annual,Year,Females,Healthy life years in absolute value at birth,European Union - 27 countries (from 2020),61.1,61.4,63.3 b,64.4,64.3,64.2,65.1,64.5,64.2,62.8 b
Annual,Year,Females,Healthy life years in absolute value at birth,European Union - 28 countries (2013-2020),61.5,61.7,63.2 b,64.2,63.9,63.8,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at birth,Finland,:,57.5,56.3,57.0,56.4,55.7,54.8,55.9,61.7,56.5
Annual,Year,Females,Healthy life years in absolute value at birth,France,64.3,64.2,64.6,64.1,64.9,64.5,64.6,65.3 b,66.9,65.2 bp
Annual,Year,Females,Healthy life years in absolute value at birth,Croatia,60.4 b,60.0,56.8,58.7,58.0,58.5,58.5,59.6,59.3,61.5 b
Annual,Year,Females,Healthy life years in absolute value at birth,Hungary,60.1,60.6,60.1,60.2,60.8,61.8,62.8,63.5,63.5,63.9 b
Annual,Year,Females,Healthy life years in absolute value at birth,Ireland,68.0,67.5,68.0,69.8,69.3,70.4,70.5,67.1 b,68.0,66.8
Annual,Year,Females,Healthy life years in absolute value at birth,Iceland,66.7,66.9,66.2,63.7,60.6,59.0,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at birth,Italy,61.2,62.3,62.7,67.2 b,66.4,66.9,68.6,68.7,68.5,67.8
Annual,Year,Females,Healthy life years in absolute value at birth,Lithuania,61.6,61.7,58.8,59.4,59.8,59.1,59.1,58.7,59.8,62.3
Annual,Year,Females,Healthy life years in absolute value at birth,Luxembourg,62.9,63.5,60.6,58.9 b,58.1,59.8,61.9,62.4 b,61.6 b,59.4 b
Annual,Year,Females,Healthy life years in absolute value at birth,Latvia,54.2 b,55.3,54.1,54.9,52.2,53.7,54.1,54.3,55.4,55.4
Annual,Year,Females,Healthy life years in absolute value at birth,Malta,72.7,74.5,74.6,72.4,73.4,73.4,73.5,70.7,68.5,70.3 p
Annual,Year,Females,Healthy life years in absolute value at birth,Netherlands,57.5,59.0,57.2,57.8 b,57.6,57.2,59.4,59.6,59.6,56.3
Annual,Year,Females,Healthy life years in absolute value at birth,Norway,68.6,69.8,68.9,67.8,70.0,69.1,68.1,66.7,:,64.8
Annual,Year,Females,Healthy life years in absolute value at birth,Poland,62.7,62.7,63.2,64.6,63.5,64.3,64.1,64.3,64.6,64.1 b
Annual,Year,Females,Healthy life years in absolute value at birth,Portugal,62.2,55.4 b,55.0,57.4,57.0,57.5,57.8,58.7,57.4,58.0 bp
Annual,Year,Females,Healthy life years in absolute value at birth,Romania,58.1,59.1,59.3,59.0,58.3,59.6,60.6,60.5,58.2,59.3 e
Annual,Year,Females,Healthy life years in absolute value at birth,Sweden,65.0,72.8 b,72.2,73.3,71.9,72.0,72.7,72.7,67.9,65.3
Annual,Year,Females,Healthy life years in absolute value at birth,Slovenia,59.5,59.6,57.7,57.9,54.6,54.6,61.2,66.3,67.3,68.5
Annual,Year,Females,Healthy life years in absolute value at birth,Slovakia,54.3,54.6,55.1,57.0,55.6,56.6,56.3,57.1,57.5,58.0
Annual,Year,Females,Healthy life years in absolute value at birth,United Kingdom,64.8,64.2,63.3,63.1,62.0,60.8,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at 65,Austria,8.8,7.7,7.7,7.4,7.5,7.4,7.7,8.3,9.7,9.5
Annual,Year,Females,Healthy life years in absolute value at 65,Belgium,10.9,11.0,11.0,11.4,11.7,11.4,10.7 b,11.0,11.3,10.8
Annual,Year,Females,Healthy life years in absolute value at 65,Bulgaria,9.9,9.6,9.5,10.1 b,9.2,10.2,10.4,9.9,9.0,10.9 b
Annual,Year,Females,Healthy life years in absolute value at 65,Switzerland,10.4 b,9.4,9.7,9.8,10.2,10.2,10.5,11.1,10.9,10.1
Annual,Year,Females,Healthy life years in absolute value at 65,Cyprus,8.7,8.7,7.3,10.3,8.5,6.9,7.1,7.0,9.3,8.6
Annual,Year,Females,Healthy life years in absolute value at 65,Czechia,8.9,9.3,8.6,8.9,8.5,8.5,8.2,7.9,8.2,7.7
Annual,Year,Females,Healthy life years in absolute value at 65,Germany,7.0,6.7,12.3 b,12.4,12.4,12.2,12.8,11.7 b,11.4,8.6 bu
Annual,Year,Females,Healthy life years in absolute value at 65,Denmark,12.8,12.8,11.9,11.9,12.0,11.8,11.8,11.9 b,10.2,10.4
Annual,Year,Females,Healthy life years in absolute value at 65,Estonia,5.7,6.0,5.3,7.0,6.1,5.8,7.2,7.7,7.6,8.1
Annual,Year,Females,Healthy life years in absolute value at 65,Greece,6.8,7.1,7.5,7.8,7.8,7.2,7.7,7.6,7.7,9.0
Annual,Year,Females,Healthy life years in absolute value at 65,Spain,9.0,9.4,8.9,10.4,12.4,11.3,12.3,11.5,10.3,9.5
Annual,Year,Females,Healthy life years in absolute value at 65,European Union - 27 countries (from 2020),8.3,8.3,9.3 b,10.0,10.0,10.0,10.4,10.1,9.9,9.2 b
Annual,Year,Females,Healthy life years in absolute value at 65,European Union - 28 countries (2013-2020),8.5,8.6,9.4 b,10.1,10.2,10.0,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at 65,Finland,:,9.3,9.0,8.9,9.4,9.4,9.6,10.3,11.4,9.1
Annual,Year,Females,Healthy life years in absolute value at 65,France,10.6,10.7,10.7,10.6,10.9,11.3,11.6,11.8 b,12.6,11.7 bp
Annual,Year,Females,Healthy life years in absolute value at 65,Croatia,5.9 b,5.8,4.5,4.9,4.8,5.0,4.9,5.2,5.2,5.6 b
Annual,Year,Females,Healthy life years in absolute value at 65,Hungary,6.1,6.0,5.9,6.4,6.7,7.4,7.4,7.9,7.8,7.5 b
Annual,Year,Females,Healthy life years in absolute value at 65,Ireland,12.1,12.3,12.1,13.2,13.4,13.8,14.1,12.5 b,13.0,11.9
Annual,Year,Females,Healthy life years in absolute value at 65,Iceland,15.1,15.1,15.1,13.7,13.1,11.8,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at 65,Italy,7.2,7.3,7.5,10.1 b,9.8,9.2,10.2,10.6,10.7,9.9
Annual,Year,Females,Healthy life years in absolute value at 65,Lithuania,6.3,6.1,5.5,5.6,5.6,6.3,6.4,6.0,6.6,7.7
Annual,Year,Females,Healthy life years in absolute value at 65,Luxembourg,10.6,10.8,8.7,8.0 b,8.5,8.8,10.6,11.4 b,11.2 b,9.8 b
Annual,Year,Females,Healthy life years in absolute value at 65,Latvia,4.2 b,4.6,4.0,4.5,4.2,4.7,4.8,4.4,5.0,4.4
Annual,Year,Females,Healthy life years in absolute value at 65,Malta,12.7,13.8,13.9,12.9,14.2,14.5,15.1,13.0,11.6,12.0 p
Annual,Year,Females,Healthy life years in absolute value at 65,Netherlands,9.2,10.2,9.4,9.9 b,9.7,9.5,9.6,9.8,9.7,8.9
Annual,Year,Females,Healthy life years in absolute value at 65,Norway,14.8,15.9,15.3,15.2,15.8,15.6,15.8,14.9,:,14.2
Annual,Year,Females,Healthy life years in absolute value at 65,Poland,7.8,8.1,8.4,8.9,8.6,8.8,9.0,8.7,8.9,8.6 b
Annual,Year,Females,Healthy life years in absolute value at 65,Portugal,9.3,5.6 b,5.4,6.4,6.7,6.9,6.9,7.1,7.4,7.3 bp
Annual,Year,Females,Healthy life years in absolute value at 65,Romania,5.3,5.7,5.7,5.6,5.1,5.9,6.5,6.0,4.0,3.8 e
Annual,Year,Females,Healthy life years in absolute value at 65,Sweden,13.6,16.6 b,16.5,16.6,15.8,15.8,16.6,16.4,14.8,14.3
Annual,Year,Females,Healthy life years in absolute value at 65,Slovenia,7.6,8.6,7.6,8.2,7.2,7.4,8.6,11.0,11.4,12.2
Annual,Year,Females,Healthy life years in absolute value at 65,Slovakia,3.7,3.6,3.8,4.2,4.1,4.6,4.7,4.7,5.1,4.9
Annual,Year,Females,Healthy life years in absolute value at 65,United Kingdom,10.7,10.6,10.4,11.1,11.1,10.6,:,:,:,:
Annual,Year,Males,Healthy life years in absolute value at birth,Austria,59.7,57.6,57.9,57.0,57.4,56.8,56.7,58.2,61.5,60.6
Annual,Year,Males,Healthy life years in absolute value at birth,Belgium,64.0,64.4,64.4,63.6,63.3,63.2,62.1 b,63.6,64.8,64.1
Annual,Year,Males,Healthy life years in absolute value at birth,Bulgaria,62.4,62.0,61.5,64.0 b,62.9,64.0,64.4,63.6,61.6,64.5 b
Annual,Year,Males,Healthy life years in absolute value at birth,Switzerland,61.5 b,60.6,61.1,61.0,61.8,61.5,61.0,62.2,63.2,61.4
Annual,Year,Males,Healthy life years in absolute value at birth,Cyprus,64.3,65.8,63.1,67.5,64.7,62.0,62.1,62.5,64.5,65.7
Annual,Year,Males,Healthy life years in absolute value at birth,Czechia,62.5,63.4,62.4,62.7,60.6,62.2,61.7,60.9,60.7,61.2
Annual,Year,Males,Healthy life years in absolute value at birth,Germany,57.7,56.4,65.3 b,65.3,65.1,65.1,65.4,64.7 b,64.7,60.9 bu
Annual,Year,Males,Healthy life years in absolute value at birth,Denmark,60.7,60.3,60.4,60.3,59.8,62.5,59.0,58.1 b,58.2,57.1
Annual,Year,Males,Healthy life years in absolute value at birth,Estonia,53.9,53.2,53.8,54.4,54.7,52.7,53.9,55.5,54.9,58.0
Annual,Year,Males,Healthy life years in absolute value at birth,Greece,64.7,64.1,63.9,63.8,64.4,65.0,65.6,65.0,64.7,66.2
Annual,Year,Males,Healthy life years in absolute value at birth,Spain,64.7,65.0,63.9,65.9,69.0,68.0,69.4,66.3,63.0,61.7
Annual,Year,Males,Healthy life years in absolute value at birth,European Union - 27 countries (from 2020),60.9,61.1,62.4 b,63.6,63.5,63.7,64.2,63.5,63.1,62.4 b
Annual,Year,Males,Healthy life years in absolute value at birth,European Union - 28 countries (2013-2020),61.3,61.3,62.6 b,63.5,63.5,63.4,:,:,:,:
Annual,Year,Males,Healthy life years in absolute value at birth,Finland,:,58.7,59.4,59.1,58.3,58.8,57.7,57.7,61.6,59.3
Annual,Year,Males,Healthy life years in absolute value at birth,France,63.0,63.4,62.6,62.6,62.5,63.4,63.7,63.9 b,65.5,63.7 bp
Annual,Year,Males,Healthy life years in absolute value at birth,Croatia,57.6 b,58.6,55.3,57.1,57.3,56.5,56.4,57.5,57.9,59.0 b
Annual,Year,Males,Healthy life years in absolute value at birth,Hungary,59.0,59.1,58.2,59.5,59.6,60.4,60.7,61.6,61.6,61.3 b
Annual,Year,Males,Healthy life years in absolute value at birth,Ireland,65.7,66.3,66.5,67.2,67.9,68.3,68.6,65.3 b,66.4,65.2
Annual,Year,Males,Healthy life years in absolute value at birth,Iceland,71.7,70.8,71.5,69.6,65.9,65.7,:,:,:,:
Annual,Year,Males,Healthy life years in absolute value at birth,Italy,62.0,62.5,62.6,67.6 b,66.2,66.8,68.1,67.2,67.7,67.1
Annual,Year,Males,Healthy life years in absolute value at birth,Lithuania,56.8,57.6,54.1,56.2,56.4,56.3,56.0,55.1,55.4,58.2
Annual,Year,Males,Healthy life years in absolute value at birth,Luxembourg,63.8,64.0,63.7,61.4 b,60.1,61.4,63.2,64.0 b,62.3 b,60.7 b
Annual,Year,Males,Healthy life years in absolute value at birth,Latvia,51.7 b,51.5,51.8,52.3,50.6,51.0,52.2,52.6,52.2,53.0
Annual,Year,Males,Healthy life years in absolute value at birth,Malta,71.6,72.3,72.6,71.1,71.9,71.9,72.9,70.2,68.9,70.1 p
Annual,Year,Males,Healthy life years in absolute value at birth,Netherlands,61.4,63.3,61.1,62.8 b,62.3,61.1,62.5,62.4,61.0,60.7
Annual,Year,Males,Healthy life years in absolute value at birth,Norway,71.0,72.2,71.8,72.0,71.8,71.7,71.2,70.5,:,69.8
Annual,Year,Males,Healthy life years in absolute value at birth,Poland,59.2,59.8,60.1,61.3,60.6,60.5,60.9,60.3,60.7,60.8 b
Annual,Year,Males,Healthy life years in absolute value at birth,Portugal,63.9,58.4 b,58.2,59.9,60.1,59.8,60.6,60.8,59.3,60.2 bp
Annual,Year,Males,Healthy life years in absolute value at birth,Romania,58.8,58.9,59.0,59.8,59.1,59.2,59.9,59.3,57.3,58.7 e
Annual,Year,Males,Healthy life years in absolute value at birth,Sweden,66.4,73.0 b,73.1,73.0,73.2,73.7,73.8,72.8,68.9,67.5
Annual,Year,Males,Healthy life years in absolute value at birth,Slovenia,57.6,57.8,58.5,58.7,55.3,56.3,60.8,63.9,63.7,65.0
Annual,Year,Males,Healthy life years in absolute value at birth,Slovakia,54.5,55.5,54.8,56.4,55.6,55.5,56.0,56.3,56.2,56.6
Annual,Year,Males,Healthy life years in absolute value at birth,United Kingdom,64.4,63.3,63.7,63.0,63.3,61.5,:,:,:,:
Annual,Year,Males,Healthy life years in absolute value at 65,Austria,8.9,8.4,7.9,8.2,7.6,7.5,7.7,8.0,9.3,9.4
Annual,Year,Males,Healthy life years in absolute value at 65,Belgium,10.8,11.0,11.2,10.3,10.4,10.8,10.5 b,10.5,11.0,10.8
