Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Age in completed years,Total,Number,Total,Austria,51197.0,51812.0,54071.0,53491.0,56689.0,64428.0,66144.0,67212.0,68280.0,62581.0,67299.0,74271.0
Annual,Total,Age in completed years,Total,Number,Total,Belgium,84148 b,93600.0,102657.0,94573.0,89794.0,92471.0,89690.0,88935.0,102936.0,76562.0,87272.0,84627.0
Annual,Total,Age in completed years,Total,Number,Total,Bulgaria,:,16615 bp,19678 p,28727 p,29470 p,30570.0,31586 p,33225 p,39941 p,6649 p,26755.0,13175.0
Annual,Total,Age in completed years,Total,Number,Total,Switzerland,96494 b,103881.0,106196.0,111103.0,116631.0,120653.0,124997.0,130225.0,126221.0,109376.0,116769.0,122123.0
Annual,Total,Age in completed years,Total,Number,Total,Cyprus,4895.0,18105.0,25227.0,24038.0,17183.0,14892.0,15105.0,15340.0,17373.0,21368.0,18410.0,17958.0
Annual,Total,Age in completed years,Total,Number,Total,Czechia,55910 b,46106.0,25894 b,28468.0,25684.0,38864.0,27316.0,26742.0,77798.0,35854.0,18630.0,31764.0
Annual,Total,Age in completed years,Total,Number,Total,Germany,249045.0,240001.0,259328.0,311230 e,315882 e,514560 e,511185 e,470500 e,491500 e,398905 e,453812 e,448534 e
Annual,Total,Age in completed years,Total,Number,Total,Denmark,41593.0,43663.0,43310.0,44426.0,44625.0,52654.0,56403.0,60381.0,66520.0,53822.0,44008.0,62927.0
Annual,Total,Age in completed years,Total,Number,Total,Estonia,6214.0,6321.0,6740.0,4637.0,13003 b,13792.0,12358.0,10476.0,12801.0,12427.0,12481.0,9657.0
Annual,Total,Age in completed years,Total,Number,Total,Greece,92404.0,124694.0,117094.0,106804 b,109351.0,106535.0,103327.0,103049.0,95020.0,77837.0,79596.0,80307.0
