Time frequency,Unit of measure,n_person,geo\TIME_PERIOD,1991.0,2001.0
Annual,Person,1.0,AT,893529.0,466629.0
Annual,Person,1.0,BE,1123671.0,569046.0
Annual,Person,1.0,BG,:,254943.0
Annual,Person,1.0,CH,920330.0,:
Annual,Person,1.0,CY,:,35841.0
Annual,Person,1.0,CZ,:,510470.0
Annual,Person,1.0,DE,11858000.0,6138591.0
Annual,Person,1.0,DK,781873.0,406525.0
Annual,Person,1.0,EE,:,78048.0
Annual,Person,1.0,ES,1581307.0,1025015.0
Annual,Person,1.0,FI,646229.0,407974.0
Annual,Person,1.0,FR,5916864.0,7495049.0
Annual,Person,1.0,HU,:,389957.0
Annual,Person,1.0,IE,207564.0,92524.0
Annual,Person,1.0,IS,:,4321.0
Annual,Person,1.0,IT,4099970.0,2087547.0
Annual,Person,1.0,LI,2939.0,739563.0
Annual,Person,1.0,LT,:,388754.0
Annual,Person,1.0,LU,36852.0,20154.0
Annual,Person,1.0,LV,:,74278.0
Annual,Person,1.0,NL,1845000.0,1002942.0
Annual,Person,1.0,NO,601097.0,1120878.0
Annual,Person,1.0,PL,:,1102229.0
Annual,Person,1.0,PT,435533.0,217849.0
Annual,Person,1.0,RO,:,477387.0
Annual,Person,1.0,SE,1515654.0,:
Annual,Person,1.0,SI,:,55466.0
Annual,Person,1.0,SK,:,190093.0
Annual,Person,1.0,UK,5988458.0,3081256.0
Annual,Person,2.0,AT,837116.0,794418.0
Annual,Person,2.0,BE,1169387.0,1120666.0
Annual,Person,2.0,BG,:,639087.0
Annual,Person,2.0,CH,899754.0,:
Annual,Person,2.0,CY,:,60800.0
Annual,Person,2.0,CZ,:,949951.0
Annual,Person,2.0,DE,10863000.0,11585455.0
Annual,Person,2.0,DK,748995.0,738058.0
Annual,Person,2.0,EE,:,132034.0
Annual,Person,2.0,ES,2754017.0,2059494.0
Annual,Person,2.0,FI,597928.0,688035.0
Annual,Person,2.0,FR,6442807.0,7532660.0
Annual,Person,2.0,HU,:,854605.0
Annual,Person,2.0,IE,218524.0,222467.0
Annual,Person,2.0,IS,:,7266.0
Annual,Person,2.0,IT,4920050.0,4542624.0
Annual,Person,2.0,LI,2570.0,1070494.0
Annual,Person,2.0,LT,:,348491.0
Annual,Person,2.0,LU,40895.0,38858.0
Annual,Person,2.0,LV,:,166111.0
Annual,Person,2.0,NL,2024000.0,1963613.0
Annual,Person,2.0,NO,459790.0,1971942.0
Annual,Person,2.0,PL,:,2064735.0
Annual,Person,2.0,PT,797375.0,714698.0
Annual,Person,2.0,RO,:,1346678.0
Annual,Person,2.0,SE,1189601.0,:
Annual,Person,2.0,SI,:,116441.0
Annual,Person,2.0,SK,:,308326.0
Annual,Person,2.0,UK,7482381.0,6919605.0
Annual,Person,3.0,AT,533437.0,680659.0
Annual,Person,3.0,BE,736438.0,874798.0
Annual,Person,3.0,BG,:,727142.0
Annual,Person,3.0,CH,424241.0,:
Annual,Person,3.0,CY,:,38356.0
Annual,Person,3.0,CZ,:,953681.0
Annual,Person,3.0,DE,6014000.0,7452136.0
Annual,Person,3.0,DK,338963.0,417382.0
Annual,Person,3.0,EE,:,131380.0
Annual,Person,3.0,ES,2437772.0,1603578.0
Annual,Person,3.0,FI,332295.0,446637.0
Annual,Person,3.0,FR,3895056.0,3954779.0
Annual,Person,3.0,HU,:,880014.0
Annual,Person,3.0,IE,157840.0,227768.0
Annual,Person,3.0,IS,:,6486.0
Annual,Person,3.0,IT,4410961.0,5430238.0
Annual,Person,3.0,LI,1747.0,807510.0
Annual,Person,3.0,LT,:,272382.0
Annual,Person,3.0,LU,28431.0,35101.0
Annual,Person,3.0,LV,:,186635.0
Annual,Person,3.0,NL,861000.0,1176783.0
Annual,Person,3.0,NO,265885.0,1209096.0
Annual,Person,3.0,PL,:,2654169.0
Annual,Person,3.0,PT,747695.0,950416.0
Annual,Person,3.0,RO,:,1723811.0
Annual,Person,3.0,SE,471182.0,:
Annual,Person,3.0,SI,:,159263.0
Annual,Person,3.0,SK,:,356150.0
Annual,Person,3.0,UK,3675289.0,4754757.0
Annual,Person,4.0,AT,449915.0,774462.0
Annual,Person,4.0,BE,599835.0,966832.0
Annual,Person,4.0,BG,:,806926.0
Annual,Person,4.0,CH,413171.0,:
Annual,Person,4.0,CY,:,49064.0
Annual,Person,4.0,CZ,:,1179851.0
Annual,Person,4.0,DE,4737000.0,7863591.0
Annual,Person,4.0,DK,295711.0,524356.0
Annual,Person,4.0,EE,:,123829.0
Annual,Person,4.0,ES,2728736.0,1820342.0
Annual,Person,4.0,FI,300429.0,485156.0
Annual,Person,4.0,FR,3446617.0,3376424.0
Annual,Person,4.0,HU,:,980295.0
Annual,Person,4.0,IE,170894.0,297651.0
Annual,Person,4.0,IS,:,8324.0
Annual,Person,4.0,IT,4228722.0,6363394.0
Annual,Person,4.0,LI,2002.0,1065604.0
Annual,Person,4.0,LT,:,235978.0
Annual,Person,4.0,LU,24984.0,45250.0
Annual,Person,4.0,LV,:,185697.0
Annual,Person,4.0,NL,997000.0,1654528.0
Annual,Person,4.0,NO,280066.0,1640000.0
Annual,Person,4.0,PL,:,3206399.0
Annual,Person,4.0,PT,681713.0,991023.0
Annual,Person,4.0,RO,:,1798970.0
Annual,Person,4.0,SE,452957.0,:
Annual,Person,4.0,SI,:,234289.0
Annual,Person,4.0,SK,:,517227.0
Annual,Person,4.0,UK,3498990.0,5453976.0
Annual,Person,5.0,AT,179839.0,352019.0
Annual,Person,5.0,BE,222373.0,443869.0
Annual,Person,5.0,BG,:,326827.0
Annual,Person,5.0,CH,136743.0,:
Annual,Person,5.0,CY,:,26337.0
Annual,Person,5.0,CZ,:,338706.0
Annual,Person,5.0,DE,1325000.0,2806545.0
Annual,Person,5.0,DK,82826.0,217314.0
Annual,Person,5.0,EE,:,49366.0
Annual,Person,5.0,ES,1401133.0,918072.0
Annual,Person,5.0,FI,112714.0,246045.0
Annual,Person,5.0,FR,1488631.0,1376277.0
Annual,Person,5.0,HU,:,436515.0
Annual,Person,5.0,IE,130881.0,224835.0
Annual,Person,5.0,IS,:,4005.0
Annual,Person,5.0,IT,1576409.0,2434281.0
Annual,Person,5.0,LI,935.0,585370.0
Annual,Person,5.0,LT,:,75962.0
Annual,Person,5.0,LU,9231.0,21874.0
Annual,Person,5.0,LV,:,95269.0
Annual,Person,5.0,NL,326000.0,725438.0
Annual,Person,5.0,NO,111609.0,718680.0
Annual,Person,5.0,PL,:,1809493.0
Annual,Person,5.0,PT,275956.0,390059.0
Annual,Person,5.0,RO,:,979866.0
Annual,Person,5.0,SE,157478.0,:
Annual,Person,5.0,SI,:,91806.0
Annual,Person,5.0,SK,:,214924.0
Annual,Person,5.0,UK,1249266.0,2526925.0
Annual,Person,6.0,AT,71402.0,144815.0
Annual,Person,6.0,BE,67233.0,156428.0
Annual,Person,6.0,BG,:,160022.0
Annual,Person,6.0,CH,34254.0,:
Annual,Person,6.0,CY,:,20300.0
Annual,Person,6.0,CZ,:,89323.0
Annual,Person,6.0,DE,312000.0,784000.0
Annual,Person,6.0,DK,18319.0,62075.0
Annual,Person,6.0,EE,:,16956.0
Annual,Person,6.0,ES,602423.0,302852.0
Annual,Person,6.0,FI,30596.0,83794.0
Annual,Person,6.0,FR,450833.0,387256.0
Annual,Person,6.0,HU,:,165632.0
Annual,Person,6.0,IE,77187.0,119760.0
Annual,Person,6.0,IS,:,1188.0
Annual,Person,6.0,IT,474343.0,628221.0
Annual,Person,6.0,LI,252.0,155124.0
Annual,Person,6.0,LT,:,36259.0
Annual,Person,6.0,LU,3032.0,8117.0
Annual,Person,6.0,LV,:,43799.0
Annual,Person,6.0,NL,79000.0,216671.0
Annual,Person,6.0,NO,24694.0,229098.0
Annual,Person,6.0,PL,:,924446.0
Annual,Person,6.0,PT,115912.0,158719.0
Annual,Person,6.0,RO,:,548208.0
Annual,Person,6.0,SE,33400.0,:
Annual,Person,6.0,SI,:,39851.0
Annual,Person,6.0,SK,:,71686.0
Annual,Person,6.0,UK,376237.0,893304.0
Annual,Person,GE6,CY,:,13392.0
Annual,Person,GE7,AT,47768.0,96876.0
Annual,Person,GE7,BE,34188.0,98369.0
Annual,Person,GE7,BG,:,103665.0
Annual,Person,GE7,CH,13357.0,:
Annual,Person,GE7,CY,:,7977.0
Annual,Person,GE7,CZ,:,41569.0
Annual,Person,GE7,DE,137000.0,399455.0
Annual,Person,GE7,DK,7596.0,33401.0
Annual,Person,GE7,EE,:,10066.0
Annual,Person,GE7,ES,346687.0,217887.0
Annual,Person,GE7,FI,16541.0,62050.0
Annual,Person,GE7,FR,305021.0,224595.0
Annual,Person,GE7,HU,:,117915.0
Annual,Person,GE7,IE,66184.0,78767.0
Annual,Person,GE7,IS,:,654.0
Annual,Person,GE7,IT,198548.0,280628.0
Annual,Person,GE7,LI,111.0,62280.0
Annual,Person,GE7,LU,1261.0,3461.0
Annual,Person,GE7,LV,:,38206.0
Annual,Person,GE7,NL,29000.0,115070.0
Annual,Person,GE7,NO,8221.0,103117.0
Annual,Person,GE7,PL,:,842776.0
Annual,Person,GE7,PT,91550.0,113625.0
Annual,Person,GE7,RO,:,490183.0
Annual,Person,GE7,SE,9763.0,:
Annual,Person,GE7,SI,:,24964.0
Annual,Person,GE7,SK,:,49575.0
Annual,Person,GE7,UK,151723.0,429533.0
Annual,Person,TOTAL,AT,3013006.0,3309877.0
Annual,Person,TOTAL,BE,3953125.0,4230007.0
Annual,Person,TOTAL,BG,:,3018613.0
Annual,Person,TOTAL,CH,2841850.0,:
