Time frequency,Type of building,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Residential buildings,Number,Austria,2395089.0
Annual,Residential buildings,Number,Belgium,3598738.0
Annual,Residential buildings,Number,Switzerland,2169933.0
Annual,Residential buildings,Number,Germany,24959409.0
Annual,Residential buildings,Number,Denmark,2251112.0
Annual,Residential buildings,Number,Finland,1958054.0
Annual,Residential buildings,Number,France,20308956.0
Annual,Residential buildings,Number,Départements d'outre-mer (NUTS 2010),410152.0
Annual,Residential buildings,Number,Ireland,991477.0
Annual,Residential buildings,Number,Italy,19644085.0
Annual,Residential buildings,Number,Liechtenstein,8981.0
Annual,Residential buildings,Number,Luxembourg,138240.0
Annual,Residential buildings,Number,Netherlands,5682000.0
Annual,Residential buildings,Number,Portugal,3041284.0
Annual,Residential buildings,Number,Sweden,3855336.0
Annual,Residential buildings,Number,United Kingdom,22182586.0
Annual,One-dwelling residential buildings,Number,Austria,933635.0
Annual,One-dwelling residential buildings,Number,Belgium,2734501.0
Annual,One-dwelling residential buildings,Number,Switzerland,595443.0
Annual,One-dwelling residential buildings,Number,Germany,7217682.0
Annual,One-dwelling residential buildings,Number,Denmark,1344034.0
Annual,One-dwelling residential buildings,Number,Finland,862482.0
Annual,One-dwelling residential buildings,Number,France,11433052.0
Annual,One-dwelling residential buildings,Number,Départements d'outre-mer (NUTS 2010),322048.0
Annual,One-dwelling residential buildings,Number,Ireland,942027.0
Annual,One-dwelling residential buildings,Number,Italy,5695071.0
Annual,One-dwelling residential buildings,Number,Liechtenstein,4477.0
Annual,One-dwelling residential buildings,Number,Luxembourg,92334.0
Annual,One-dwelling residential buildings,Number,Netherlands,3870000.0
Annual,One-dwelling residential buildings,Number,Portugal,1807037.0
Annual,One-dwelling residential buildings,Number,Sweden,1746840.0
Annual,One-dwelling residential buildings,Number,United Kingdom,22097768.0
