Time frequency,Unit of measure,Statistical information,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Year,Average,From 50 to 69 years,Females,Austria,57.8
Annual,Year,Average,From 50 to 69 years,Females,Belgium,60.6
Annual,Year,Average,From 50 to 69 years,Females,Bulgaria,57.0
Annual,Year,Average,From 50 to 69 years,Females,Switzerland,62.4
Annual,Year,Average,From 50 to 69 years,Females,Cyprus,61.9
Annual,Year,Average,From 50 to 69 years,Females,Czechia,57.7
Annual,Year,Average,From 50 to 69 years,Females,Germany,61.0
Annual,Year,Average,From 50 to 69 years,Females,Denmark,61.7
Annual,Year,Average,From 50 to 69 years,Females,Euro area - 19 countries  (2015-2022),59.6
Annual,Year,Average,From 50 to 69 years,Females,Estonia,58.7
Annual,Year,Average,From 50 to 69 years,Females,Greece,57.5
Annual,Year,Average,From 50 to 69 years,Females,Spain,61.9
Annual,Year,Average,From 50 to 69 years,Females,European Union - 27 countries (from 2020),58.8
Annual,Year,Average,From 50 to 69 years,Females,European Union - 28 countries (2013-2020),58.8
Annual,Year,Average,From 50 to 69 years,Females,Finland,61.5
Annual,Year,Average,From 50 to 69 years,Females,France,59.3
Annual,Year,Average,From 50 to 69 years,Females,Croatia,55.9
Annual,Year,Average,From 50 to 69 years,Females,Hungary,57.6
Annual,Year,Average,From 50 to 69 years,Females,Ireland,60.8
Annual,Year,Average,From 50 to 69 years,Females,Iceland,64.4
Annual,Year,Average,From 50 to 69 years,Females,Italy,58.4
Annual,Year,Average,From 50 to 69 years,Females,Lithuania,58.9
Annual,Year,Average,From 50 to 69 years,Females,Luxembourg,59.3
Annual,Year,Average,From 50 to 69 years,Females,Latvia,58.9
Annual,Year,Average,From 50 to 69 years,Females,Malta,58.9
Annual,Year,Average,From 50 to 69 years,Females,Netherlands,62.7
Annual,Year,Average,From 50 to 69 years,Females,Norway,65.3
Annual,Year,Average,From 50 to 69 years,Females,Poland,56.1
Annual,Year,Average,From 50 to 69 years,Females,Portugal,60.3
Annual,Year,Average,From 50 to 69 years,Females,Romania,56.1
Annual,Year,Average,From 50 to 69 years,Females,Sweden,63.6
Annual,Year,Average,From 50 to 69 years,Females,Slovenia,55.2
Annual,Year,Average,From 50 to 69 years,Females,Slovakia,56.1
Annual,Year,Average,From 50 to 69 years,Females,United Kingdom,58.6
Annual,Year,Average,From 50 to 69 years,Males,Austria,59.3
Annual,Year,Average,From 50 to 69 years,Males,Belgium,60.9
Annual,Year,Average,From 50 to 69 years,Males,Bulgaria,58.1
Annual,Year,Average,From 50 to 69 years,Males,Switzerland,62.6
Annual,Year,Average,From 50 to 69 years,Males,Cyprus,61.2
Annual,Year,Average,From 50 to 69 years,Males,Czechia,60.8
Annual,Year,Average,From 50 to 69 years,Males,Germany,61.2
Annual,Year,Average,From 50 to 69 years,Males,Denmark,62.2
Annual,Year,Average,From 50 to 69 years,Males,Euro area - 19 countries  (2015-2022),59.6
Annual,Year,Average,From 50 to 69 years,Males,Estonia,60.7
Annual,Year,Average,From 50 to 69 years,Males,Greece,58.0
Annual,Year,Average,From 50 to 69 years,Males,Spain,61.7
