Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Cities,Percentage,Austria,41.9
Annual,Cities,Percentage,Belgium,35.5
Annual,Cities,Percentage,Bulgaria,22.5
Annual,Cities,Percentage,Cyprus,52.5
Annual,Cities,Percentage,Czechia,25.0
Annual,Cities,Percentage,Germany,36.4
Annual,Cities,Percentage,Denmark,46.9
Annual,Cities,Percentage,Estonia,40.6
Annual,Cities,Percentage,Greece,46.9
Annual,Cities,Percentage,Spain,30.5
Annual,Cities,Percentage,European Union (aggregate changing according to the context),35.3 e
Annual,Cities,Percentage,Finland,53.0
Annual,Cities,Percentage,France,33.3
Annual,Cities,Percentage,Croatia,31.9
Annual,Cities,Percentage,Hungary,63.8
Annual,Cities,Percentage,Ireland,38.0
Annual,Cities,Percentage,Lithuania,31.1
Annual,Cities,Percentage,Luxembourg,47.4
Annual,Cities,Percentage,Latvia,29.7
Annual,Cities,Percentage,Malta,28.4
Annual,Cities,Percentage,Netherlands,35.5
Annual,Cities,Percentage,Poland,22.9
Annual,Cities,Percentage,Portugal,23.9
Annual,Cities,Percentage,Romania,46.2
Annual,Cities,Percentage,Sweden,47.6
Annual,Cities,Percentage,Slovenia,31.8
Annual,Cities,Percentage,Slovakia,55.9
Annual,Towns and suburbs,Percentage,Austria,39.2
Annual,Towns and suburbs,Percentage,Belgium,30.2
Annual,Towns and suburbs,Percentage,Bulgaria,16.4
Annual,Towns and suburbs,Percentage,Cyprus,32.5
Annual,Towns and suburbs,Percentage,Czechia,39.3
Annual,Towns and suburbs,Percentage,Germany,30.2
Annual,Towns and suburbs,Percentage,Denmark,44.5
Annual,Towns and suburbs,Percentage,Estonia,42.3
Annual,Towns and suburbs,Percentage,Greece,36.0
Annual,Towns and suburbs,Percentage,Spain,27.5
Annual,Towns and suburbs,Percentage,European Union (aggregate changing according to the context),32.0 e
Annual,Towns and suburbs,Percentage,Finland,54.1
Annual,Towns and suburbs,Percentage,France,30.2
Annual,Towns and suburbs,Percentage,Croatia,28.1
Annual,Towns and suburbs,Percentage,Hungary,54.9
Annual,Towns and suburbs,Percentage,Ireland,49.0
Annual,Towns and suburbs,Percentage,Lithuania,32.7
Annual,Towns and suburbs,Percentage,Luxembourg,48.9
Annual,Towns and suburbs,Percentage,Latvia,31.5
Annual,Towns and suburbs,Percentage,Malta,24.2
Annual,Towns and suburbs,Percentage,Netherlands,31.9
Annual,Towns and suburbs,Percentage,Poland,19.6
Annual,Towns and suburbs,Percentage,Portugal,22.3
Annual,Towns and suburbs,Percentage,Romania,50.9
Annual,Towns and suburbs,Percentage,Sweden,49.4
Annual,Towns and suburbs,Percentage,Slovenia,26.0
Annual,Towns and suburbs,Percentage,Slovakia,51.1
Annual,Rural areas,Percentage,Austria,33.3
Annual,Rural areas,Percentage,Belgium,26.6
Annual,Rural areas,Percentage,Bulgaria,20.8
Annual,Rural areas,Percentage,Cyprus,32.2
Annual,Rural areas,Percentage,Czechia,37.0
Annual,Rural areas,Percentage,Germany,26.3
Annual,Rural areas,Percentage,Denmark,43.3
Annual,Rural areas,Percentage,Estonia,42.3
Annual,Rural areas,Percentage,Greece,28.9
Annual,Rural areas,Percentage,Spain,23.7
Annual,Rural areas,Percentage,European Union (aggregate changing according to the context),29.6 e
Annual,Rural areas,Percentage,Finland,48.0
Annual,Rural areas,Percentage,France,27.0
Annual,Rural areas,Percentage,Croatia,25.3
Annual,Rural areas,Percentage,Hungary,47.9
Annual,Rural areas,Percentage,Ireland,26.2
Annual,Rural areas,Percentage,Lithuania,29.4
Annual,Rural areas,Percentage,Luxembourg,45.4
Annual,Rural areas,Percentage,Latvia,29.7
Annual,Rural areas,Percentage,Malta,: u
Annual,Rural areas,Percentage,Netherlands,26.5
Annual,Rural areas,Percentage,Poland,16.1
Annual,Rural areas,Percentage,Portugal,20.1
Annual,Rural areas,Percentage,Romania,50.3
Annual,Rural areas,Percentage,Sweden,46.7
Annual,Rural areas,Percentage,Slovenia,27.8
Annual,Rural areas,Percentage,Slovakia,48.2
