Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Austria,:,18.5 e,15.4 e,13.8 e,14.7 e,13.5 e,13.4 e,7.5 e,6.5 e,5.1 e,3.5 e,2.6 e,2.2 e,2 e,1.8 e,1.8 e,2.1 p
Annual,Percentage,Belgium,23.4 e,30.5 e,22.2 e,20.1 e,21.7 e,17.4 e,15.7 e,4.3 e,3.8 e,3.2 e,2.7 e,2.3 e,2.1 e,2.1 e,1.6 e,1.5 e,1.6 p
Annual,Percentage,Bulgaria,9.5 e,8.8 e,7.5 e,7.4 e,7.4 e,7.6 e,7.8 e,16 e,14.5 e,12.8 e,10.2 e,7.7 e,6.5 e,5.9 e,4.8 e,3.7 e,2.9 p
Annual,Percentage,Cyprus,:,16.9 e,17.2 e,15.2 e,19.9 e,26 e,16.2 e,38.6 e,36.3 e,35.4 e,30.7 e,20.2 e,18.1 e,11 e,5.6 e,4.5 e,3.7 p
Annual,Percentage,Czechia,14 e,13.6 e,12.1 e,11.9 e,11.8 e,10.4 e,10.8 e,10 e,10.1 e,4 e,2.8 e,2.1 e,1.7 e,1.9 e,1.7 e,1.4 e,1.2 p
Annual,Percentage,Germany,:,34.2 e,26.6 e,25.8 e,25.7 e,23.5 e,20.3 e,3.9 e,3 e,2.6 e,1.8 e,1.4 e,1.2 e,1.2 e,1.1 e,1.1 e,1.3 p
Annual,Percentage,Denmark,:,23.9 e,22.2 e,21.8 e,21.1 e,20.3 e,18.4 e,5.1 e,3.9 e,3.3 e,2.5 e,2.3 e,1.9 e,1.9 e,1.8 e,1.5 e,1.3 p
Annual,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,8.1 e,7.2 e,6.3 e,4.7 e,3.6 e,3.1 e,2.5 e,2 e,1.8 e,1.9 p
Annual,Percentage,Estonia,:,12.2 e,14.2 e,12.4 e,8.1 e,7.1 e,6.8 e,3.2 e,2.2 e,1.7 e,1.9 e,1.3 e,1.6 e,1.6 e,1.1 e,0.8 e,1.1 p
Annual,Percentage,Greece,:,18.5 e,14.6 e,15.4 e,:,26.6 e,14 e,39.7 e,46.8 e,46.3 e,45 e,41.6 e,35.5 e,26.5 e,8.6 e,6.2 e,5 p
Annual,Percentage,Spain,:,18 e,16.4 e,17.2 e,17.4 e,17.9 e,14.9 e,8.1 e,6.3 e,5.7 e,4.4 e,3.7 e,3.1 e,2.8 e,2.9 e,2.7 e,2.7 p
Annual,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,6.7 e,6.8 e,5.2 e,4 e,3.1 e,2.6 e,2.5 e,2 e,1.8 e,1.9 p
Annual,Percentage,Finland,13.7 e,18.2 e,16.8 e,19.6 e,26.1 e,26.3 e,21.7 e,1.6 e,1.5 e,1.4 e,1.2 e,1.5 e,1.4 e,1.5 e,1.2 e,1 e,1.1 p
Annual,Percentage,France,23.2 e,26.7 e,20.7 e,20.1 e,21.1 e,20.1 e,18.1 e,4.2 e,4 e,3.6 e,3.1 e,2.7 e,2.5 e,2.2 e,1.9 e,1.8 e,1.9 p
Annual,Percentage,Croatia,:,:,:,:,:,:,7.5 e,13.6 e,13 e,10.7 e,8.8 e,7.3 e,5.2 e,5.3 e,4.2 e,3 e,2.5 p
Annual,Percentage,Hungary,:,15.5 e,13.4 e,12.3 e,13.5 e,11.5 e,10.7 e,19.4 e,15.2 e,11.9 e,8.4 e,5.4 e,4.2 e,3.6 e,3.2 e,3.1 e,2.5 p
Annual,Percentage,Ireland,:,29.9 e,20.9 e,21.1 e,17.7 e,15.8 e,15 e,21.6 e,14.9 e,13.1 e,9.9 e,5.5 e,3.4 e,3.4 e,2.4 e,1.7 e,1.3 p
Annual,Percentage,Italy,13 e,14.3 e,12.8 e,12.7 e,14.9 e,14.4 e,15 e,16.5 e,16.5 e,15 e,11.2 e,8.4 e,6.7 e,4.5 e,3.5 e,2.9 e,2.7 p
Annual,Percentage,Lithuania,14.9 e,14.4 e,17.8 e,14.2 e,11.3 e,10.2 e,9.6 e,6.8 e,5.6 e,4 e,3.2 e,2.6 e,1.7 e,2.2 e,1.2 e,0.9 e,0.8 p
Annual,Percentage,Luxembourg,:,25.8 e,18.5 e,16.8 e,17.7 e,15.1 e,13.9 e,1.4 e,1.1 e,0.8 e,0.7 e,0.8 e,0.6 e,0.7 e,0.6 e,1.2 e,1.3 p
Annual,Percentage,Latvia,:,12.2 e,13.2 e,12.7 e,10.7 e,10.2 e,9.9 e,9.7 e,6.5 e,6.3 e,5.6 e,5.3 e,3.9 e,4.6 e,2.1 e,1.4 e,1.3 p
Annual,Percentage,Malta,10.8 e,12.4 e,9.5 e,5 e,5.1 e,5 e,6.6 e,6 e,5.1 e,4.1 e,3.1 e,3.1 e,3.2 e,3.6 e,3 e,2.3 e,2 p
Annual,Percentage,Netherlands,:,31.9 e,23.2 e,23.2 e,24.2 e,22.3 e,20.8 e,3.4 e,2.7 e,2.4 e,2.1 e,1.9 e,1.8 e,1.9 e,1.4 e,1.3 e,1.3 p
Annual,Percentage,Poland,9.7 e,10.8 e,9.3 e,10 e,9.9 e,9.1 e,9 e,7.2 e,6.6 e,6.4 e,6.6 e,6.2 e,6.1 e,6 e,5 e,4.3 e,4.1 p
Annual,Percentage,Portugal,15.7 e,18.1 e,16.1 e,16.2 e,19.6 e,15.5 e,14.8 e,16.6 e,17.5 e,17.2 e,13.3 e,9.4 e,6.1 e,4.9 e,3.6 e,3 e,2.7 p
Annual,Percentage,Romania,12.5 e,10.9 e,11 e,10.1 e,10 e,9.7 e,9.7 e,20.7 e,13.4 e,9.7 e,6.6 e,5 e,4.3 e,3.9 e,3.4 e,2.8 e,2.5 p
Annual,Percentage,Sweden,:,26.1 e,22.8 e,22.4 e,24.1 e,22.1 e,21.3 e,1.3 e,1.3 e,1.2 e,1.3 e,1 e,1.1 e,1 e,1 e,0.8 e,1 p
Annual,Percentage,Slovenia,12.7 e,12.7 e,12.9 e,13.2 e,13.3 e,12.9 e,11.3 e,22.8 e,17.9 e,12.3 e,9.2 e,6 e,3.4 e,3 e,2.1 e,1.8 e,1.5 p
Annual,Percentage,Slovakia,13.6 e,12.3 e,10.5 e,10.4 e,9.4 e,8.5 e,8.2 e,5.2 e,4.4 e,4.6 e,3.7 e,3.2 e,2.9 e,2.5 e,2 e,1.7 e,1.8 p
