Time frequency,Demographic indicator,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total fertility rate,Albania,1.65,1.71,1.73,1.73,1.59,1.54,1.48,1.37,:,1.34,1.31,1.21
Annual,Total fertility rate,Armenia,:,:,:,:,1.62,1.62,1.56,1.57,1.6,:,:,:
Annual,Total fertility rate,Austria,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47,1.46,1.44,1.48,1.41
Annual,Total fertility rate,Azerbaijan,:,2.0,1.98,1.97,1.94,1.9,1.75,1.73,1.81,:,:,:
Annual,Total fertility rate,Belgium,1.81 b,1.8,1.76,1.74,1.7,1.68,1.65,1.62,1.6,1.55,1.6,1.53
Annual,Total fertility rate,Bulgaria,1.51,1.5,1.54,1.62,1.64,1.67,1.71,1.73,1.79,1.77,1.8,1.65
Annual,Total fertility rate,Belarus,1.51,1.62,1.67,1.7,1.72,1.73,1.54,1.45,:,:,:,:
Annual,Total fertility rate,Switzerland,1.52 b,1.52,1.52,1.54,1.54,1.54,1.52,1.52,1.48,1.46,1.52,1.39
Annual,Total fertility rate,Cyprus,1.35,1.39,1.3,1.31,1.32,1.37,1.32,1.32,1.33,1.36,1.39,1.37
Annual,Total fertility rate,Czechia,1.43,1.45,1.46,1.53,1.57,1.63,1.69,1.71,1.71,1.74 b,1.83,1.64
Annual,Total fertility rate,Germany,1.39 b,1.41,1.42,1.47,1.5,1.6,1.57,1.57,1.54,1.53,1.58,1.46
Annual,Total fertility rate,Denmark,1.75,1.73,1.67,1.69,1.71,1.79,1.75,1.73,1.7,1.68,1.72,1.55
Annual,Total fertility rate,Euro area - 19 countries  (2015-2022),1.57 b,1.56 b,1.54,1.56 b,1.56 b,1.58,1.56 b,1.53 ep,1.52 bep,1.49 p,1.52 bp,1.45 bp
Annual,Total fertility rate,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,1.52 bp,1.45 bp
Annual,Total fertility rate,Estonia,1.61,1.56,1.52,1.54,1.58 b,1.6,1.59,1.67,1.66,1.58,1.61,1.41
Annual,Total fertility rate,Greece,1.4,1.34,1.29,1.3,1.33,1.38,1.35,1.35,1.34,1.39,1.43,1.32
Annual,Total fertility rate,Spain,1.34,1.32,1.27,1.32,1.33,1.33,1.31,1.26,1.23,1.18,1.18,1.16
Annual,Total fertility rate,European Union - 27 countries (from 2020),1.54 b,1.54 b,1.51,1.54 b,1.54 b,1.57,1.56 b,1.54 ep,1.53 bep,1.51 bep,1.53 bep,1.46 bep
Annual,Total fertility rate,Finland,1.83,1.8,1.75,1.71,1.65,1.57,1.49,1.41,1.35,1.37,1.46,1.32
Annual,Total fertility rate,France,2.01,2.01,1.99,2.00 b,1.96,1.92,1.89,1.87 p,1.86 p,1.83 p,1.84 p,1.79 p
Annual,Total fertility rate,Metropolitan France,2.0,1.99,:,:,:,:,:,:,:,:,:,:
Annual,Total fertility rate,Georgia,:,:,:,1.97,2.21,2.23,2.14,2.09,2.02,1.98,:,1.83
Annual,Total fertility rate,Croatia,1.48,1.51,1.46,1.46,1.4,1.42,1.42,1.47,1.47,1.56,1.63,1.53
Annual,Total fertility rate,Hungary,1.23,1.34 b,1.35,1.44,1.45,1.53,1.54,1.55,1.55,1.59,1.61,1.56 b
Annual,Total fertility rate,Ireland,2.03,1.98,1.93,1.89,1.85,1.81,1.77,1.75 e,1.71 e,1.63,1.78,1.54
Annual,Total fertility rate,Iceland,2.02,2.04,1.93,1.93,1.8,1.74,1.71,1.71,1.74,1.72,1.82,1.59
Annual,Total fertility rate,Italy,1.42,1.42,1.39,1.38,1.36,1.36,1.34,1.31 b,1.27 b,1.24,1.25,1.24
Annual,Total fertility rate,Liechtenstein,1.69,1.51,1.45,1.59,1.4,1.61,1.44,1.58,1.48,1.46,1.53,1.47
Annual,Total fertility rate,Lithuania,1.55,1.6,1.59,1.57,1.63,1.63,1.57,1.53,1.43,1.36,1.36,1.27
Annual,Total fertility rate,Luxembourg,1.52,1.57 b,1.55,1.5,1.47,1.41,1.39 b,1.38,1.34,1.36,1.38,1.31
Annual,Total fertility rate,Latvia,1.33,1.44,1.52,1.65,1.7,1.74,1.69,1.6,1.61,1.55,1.57,1.47
Annual,Total fertility rate,Moldova,1.27,1.28,:,:,:,:,:,:,:,:,:,:
Annual,Total fertility rate,Montenegro,1.65,1.72,1.73,1.75,1.74,1.79,1.78,1.76,1.77,1.75,1.76,1.78
Annual,Total fertility rate,North Macedonia,1.46,1.51,1.49,1.52,1.5,1.5,1.43,1.42,1.34,1.31,1.44 b,1.58 b
Annual,Total fertility rate,Malta,1.45,1.42,1.36,1.38,1.37,1.37,1.26,1.23,1.14,1.13,1.13 p,1.08 p
Annual,Total fertility rate,Netherlands,1.76,1.72,1.68,1.71,1.66,1.66,1.62,1.59,1.57,1.54,1.62,1.49
Annual,Total fertility rate,Norway,1.88,1.85,1.78,1.75,1.72,1.71,1.62,1.56,1.53,1.48,1.55,1.41
Annual,Total fertility rate,Poland,1.33,1.33,1.29,1.32,1.32,1.39,1.48,1.46 e,1.44,1.39 ep,1.33 ep,1.29 b
Annual,Total fertility rate,Portugal,1.35,1.28,1.21,1.24,1.31,1.37,1.38,1.42,1.44,1.42,1.35,1.43
Annual,Total fertility rate,Romania,1.47,1.52,1.46,1.56,1.62,1.69,1.78,1.76,1.77 e,1.80 e,1.81 e,1.71 e
Annual,Total fertility rate,Serbia,1.40 b,1.45,1.43,1.46,1.46,1.46,1.49,1.49,1.52,1.48,1.52,1.59 b
Annual,Total fertility rate,Sweden,1.9,1.91,1.89,1.88,1.85,1.85,1.78,1.76,1.71,1.67,1.67,1.53
Annual,Total fertility rate,Slovenia,1.56,1.58,1.55,1.58,1.57,1.58,1.62,1.6,1.61,1.59,1.64,1.55
Annual,Total fertility rate,Slovakia,1.45,1.34,1.34,1.37,1.4,1.48,1.52,1.54,1.57,1.59,1.63,1.57
Annual,Total fertility rate,San Marino,:,1.26,:,:,:,:,:,:,:,:,:,:
Annual,Total fertility rate,Türkiye,2.03,2.09,2.08,2.17,2.14,2.11,2.07,1.99,1.88,:,:,1.63
Annual,Total fertility rate,Ukraine,1.46,1.53,:,1.46,1.36,1.35,1.26,1.2,1.14,:,:,:
Annual,Total fertility rate,United Kingdom,1.91,1.92,1.83,1.81,1.8,1.79,1.74,1.68,:,:,:,:
Annual,Total fertility rate,Kosovo*,:,:,:,:,: p,1.66 p,1.65,1.61,1.55,:,:,:
