Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Austria,0.32,0.22,0.24,0.15,0.24,0.15,0.19,0.08,0.17,0.2,0.18
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Belgium,0.29,0.22,0.29,0.23,0.18,0.13,0.18,0.16,0.17,0.14,0.04
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Bulgaria,0.06,:,0.08,0.1,0.09,0.12,0.09,0.06,0.14,0.2,0.07
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Switzerland,0.31,0.37,0.28,0.28,0.14,0.09,0.23,0.11,0.07,0.12,0.2
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Cyprus,:,:,:,0.48,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Czechia,0.03,0.03,:,0.09,0.02,0.1,0.04,0.06,0.0,0.07,0.06
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Germany,0.2,0.17,0.15,0.19,0.15,0.14,0.16,0.12,0.12,0.1,0.1
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Denmark,0.07,0.11,0.22,0.17,0.15,0.1,0.13,0.17,0.07,0.1,0.1
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Estonia,1.71,2.08,1.87,1.64,1.58,2.77,2.03,1.96,1.47,1.95,1.99
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Greece,0.09,0.14,0.13,0.13,0.09,0.12,0.31,0.17,0.1,0.12,0.07
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Spain,0.77,0.81,0.58,0.67,0.47,0.44,0.4,0.31,0.3,0.27,0.27
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,European Union - 27 countries (from 2020),0.4,0.38,0.36,0.35,0.31,0.27,0.27,0.22,0.21,0.19,0.19
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Finland,0.04,0.04,0.04,0.12,:,0.12,0.0,0.04,0.03,0.0,0.04
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,France,0.35,0.37,0.45,0.31,0.29,0.23,0.19,0.18,0.19,0.17,0.18
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Croatia,0.05,0.05 d,0.14 d,:,0.05,:,0.0,0.04,0.09,0.0,0.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Hungary,0.05 d,0.02 d,:,0.02,0.02,0.02,0.08,0.0,0.06,0.02,0.02
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Ireland,0.18,0.03,0.11,0.04,0.13,0.23,0.08,0.0,0.13,0.09,0.04
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Iceland,0.77,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Italy,0.56,0.58,0.48,0.46,0.48,0.29,0.36,0.26,0.25,0.24,0.25
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Liechtenstein,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Lithuania,0.18,0.32,0.2,0.32,0.21,0.39,0.13,0.33,0.33,0.48,0.41
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Luxembourg,:,0.68,0.68,:,:,0.33,0.42,0.0,0.0,0.45,0.29
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Latvia,2.04,2.22,4.33,3.12,2.61,1.68,2.98,2.36,2.46,1.32,1.93
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Malta,:,:,:,0.41,0.37,0.44,0.0,0.0,0.0,0.46,0.0
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Netherlands,0.1,0.07,0.04,0.1,0.04,0.18,0.04,0.05,0.05,0.1,0.05
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Norway,0.09,0.08,:,0.12,0.2,0.08,0.08,0.21,0.08,0.12,0.12
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Poland,0.18,0.14,0.16,0.17,0.18,0.08,0.11,0.09,0.08,0.12,0.09
Annual,Rate,Females,Total,Human immunodeficiency virus [HIV] disease,Portugal,2.14,1.9,1.71,1.8,1.57,1.36,1.28,1.27,1.28,0.99,0.82
