Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Municipal waste per capita (Kg/inhab),Algeria,260.5 i,:,:,:,273.1 i,:,:,:,:,284.2 i,280.5 i,297.1 i,315.1 i,:
Annual,Municipal waste per capita (Kg/inhab),Egypt,274.3 i,229.6 i,274.2 i,274.0 i,273.3 i,277.9 i,:,:,435.6 i,:,399.8 i,:,:,:
Annual,Municipal waste per capita (Kg/inhab),Israel,594.8 di,604.6 di,604.8 di,612.1 di,613.4 di,612.2 di,616.7 di,617.3 di,608.9 di,609.2 di,612.5 di,621.7 di,630.3 di,643.1 di
Annual,Municipal waste per capita (Kg/inhab),Jordan,421.5 di,401.1 di,372.3 di,345.7 di,305.4 di,318.8 di,302.3 di,:,345.5 di,343.2 di,392.8 di,:,347.8 di,:
Annual,Municipal waste per capita (Kg/inhab),Morocco,:,:,:,:,:,155.4 i,:,:,:,:,:,:,:,:
Annual,Municipal waste per capita (Kg/inhab),Palestine*,283.9 i,287.4 i,:,276.9 i,218.8 i,:,192.7 i,:,172.3 i,:,207.8 i,:,:,:
Annual,Municipal waste per capita (Kg/inhab),Tunisia,204.9 di,204.9 di,203.9 di,203.9 di,:,:,:,224.8 di,:,:,:,:,:,:
Annual,Percentage of total population served by municipal waste collection (%),Algeria,:,80.0,:,:,80.0,:,:,:,:,85.0,85.0,80.5,80.5,80.5
Annual,Percentage of total population served by municipal waste collection (%),Lebanon,:,:,:,:,:,100.0,:,:,:,:,:,:,:,:
Annual,Percentage of total population served by municipal waste collection (%),Palestine*,98.6 de,90.3 de,:,87.7 de,88.4 de,:,92.5 de,:,91.5 de,:,94.5 de,:,:,:
Annual,Percentage of total population served by municipal waste collection (%),Tunisia,65.2,65.4,65.6,65.8,:,:,:,:,:,:,:,:,:,:
Annual,Percentage of urban population served by municipal waste collection (%),Algeria,:,:,:,:,85.0,:,:,:,:,90.0,90.0,87.5,87.5,87.5
Annual,Percentage of urban population served by municipal waste collection (%),Egypt,:,:,:,:,:,65.0 i,:,:,:,:,:,:,:,:
Annual,Percentage of urban population served by municipal waste collection (%),Lebanon,:,:,:,:,:,100.0,:,:,:,:,:,:,:,:
Annual,Percentage of urban population served by municipal waste collection (%),Tunisia,100.0,100.0,100.0,100.0,:,:,:,:,:,:,:,:,:,:
Annual,Percentage of rural population served by municipal waste collection (%),Algeria,:,:,:,:,:,:,:,:,:,70.0,70.0,67.5,67.5,67.5
Annual,Percentage of rural population served by municipal waste collection (%),Egypt,:,:,:,:,:,35.0 i,:,:,:,:,:,:,:,:
Annual,Percentage of rural population served by municipal waste collection (%),Lebanon,:,:,:,:,:,100.0,:,:,:,:,:,:,:,:
Annual,Percentage of rural population served by municipal waste collection (%),Tunisia,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
